RDA element,alignment,LRM element
criminal defendant corporate body,has broader,was created by work
criminal defendant corporate body of,has broader,created work
criminal defendant person,has broader,was created by work
criminal defendant person of,has broader,created work
critique of expression,has broader,has as subject
critique of manifestation,has broader,has as subject
critique of RDA entity,has broader,has as subject
critique of work,has broader,has as subject
current owner agent,has broader,is owned by
current owner agent of,has broader,owns
current owner collective agent,has broader,is owned by
current owner collective agent of,has broader,owns
current owner corporate body,has broader,is owned by
current owner corporate body of,has broader,owns
current owner family,has broader,is owned by
current owner family of,has broader,owns
current owner person,has broader,is owned by
current owner person of,has broader,owns
custodial history of item,has broader,has note
custodian agent,has broader,is owned by
custodian agent of,has broader,owns
custodian collective agent,has broader,is owned by
custodian collective agent of,has broader,owns
custodian corporate body,has broader,is owned by
custodian corporate body of,has broader,owns
custodian family,has broader,is owned by
custodian family of,has broader,owns
custodian person,has broader,is owned by
custodian person of,has broader,owns
dancer agent,has broader,was created by expression
dancer agent of,has broader,created expression
dancer collective agent,has broader,was created by expression
dancer collective agent of,has broader,created expression
dancer corporate body,has broader,was created by expression
dancer corporate body of,has broader,created expression
dancer family,has broader,was created by expression
dancer family of,has broader,created expression
dancer person,has broader,was created by expression
dancer person of,has broader,created expression
date of birth,has broader,has association with time-span
date of birth of,has broader,is associated with time-span
date of capture,has broader,has association with time-span
date of capture of,has broader,is associated with time-span
date of capture of representative expression,has broader,has representative expression attribute
date of capture of representative expression of,has broader,is associated with time-span
date of conference,has broader,has association with time-span
date of conference of,has broader,is associated with time-span
date of death,has broader,has association with time-span
date of death of,has broader,is associated with time-span
date of distribution,has broader,has association with time-span
date of distribution of,has broader,is associated with time-span
date of establishment,has broader,has association with time-span
date of establishment of,has broader,is associated with time-span
date of expression,has broader,has association with time-span
date of expression of,has broader,is associated with time-span
date of manifestation,has broader,has association with time-span
date of manifestation of,has broader,is associated with time-span
date of manufacture,has broader,has association with time-span
date of manufacture of,has broader,is associated with time-span
date of production,has broader,has association with time-span
date of production of,has broader,is associated with time-span
date of publication,has broader,has association with time-span
date of publication of,has broader,is associated with time-span
date of representative expression,has broader,has representative expression attribute
date of representative expression of,has broader,is associated with time-span
date of termination,has broader,has association with time-span
date of termination of,has broader,is associated with time-span
date of usage,has broader,has association with time-span
date of usage of,has broader,is associated with time-span
date of work,has broader,has association with time-span
date of work of,has broader,is associated with time-span
declination,has broader,has category of work
dedicatee agent of item,has broader,is associated with res
dedicatee agent of item of,has broader,is associated with res
dedicatee agent of work,has broader,is associated with res
dedicatee agent of work of,has broader,is associated with res
dedicatee collective agent of item,has broader,is associated with res
dedicatee collective agent of item of,has broader,is associated with res
dedicatee collective agent of work,has broader,is associated with res
dedicatee collective agent of work of,has broader,is associated with res
dedicatee corporate body of item,has broader,is associated with res
dedicatee corporate body of item of,has broader,is associated with res
dedicatee corporate body of work,has broader,is associated with res
dedicatee corporate body of work of,has broader,is associated with res
dedicatee family of item,has broader,is associated with res
dedicatee family of item of,has broader,is associated with res
dedicatee family of work,has broader,is associated with res
dedicatee family of work of,has broader,is associated with res
dedicatee person of item,has broader,is associated with res
dedicatee person of item of,has broader,is associated with res
dedicatee person of work,has broader,is associated with res
dedicatee person of work of,has broader,is associated with res
dedicator agent,has broader,was created by work
dedicator agent of,has broader,created work
dedicator collective agent,has broader,was created by work
dedicator collective agent of,has broader,created work
dedicator corporate body,has broader,was created by work
dedicator corporate body of,has broader,created work
dedicator family,has broader,was created by work
dedicator family of,has broader,created work
dedicator person,has broader,was created by work
dedicator person of,has broader,created work
defendant corporate body,has broader,was created by work
defendant corporate body of,has broader,created work
defendant person,has broader,was created by work
defendant person of,has broader,created work
degree committee member,has broader,was created by work
degree committee member of,has broader,created work
degree granting institution,has broader,was created by work
degree granting institution of,has broader,created work
degree supervisor,has broader,was created by work
degree supervisor of,has broader,created work
depositor agent,has broader,is owned by
depositor agent of,has broader,owns
depositor collective agent,has broader,is owned by
depositor collective agent of,has broader,owns
depositor corporate body,has broader,is owned by
depositor corporate body of,has broader,owns
depositor family,has broader,is owned by
depositor family of,has broader,owns
depositor person,has broader,is owned by
depositor person of,has broader,owns
derivation,has equivalent,has derivation nomen
derivation of,has equivalent,is derivation nomen of
derivative expression,has equivalent,has derivation expression
derivative work,has broader,was transformed into
descendant family of family,has broader,succeeds collective agent
descendant family of family of,has broader,precedes collective agent
descendant family of person,has broader,has member
descendant family of person of,has broader,is member of
description of agent,has broader,has as subject
description of collective agent,has broader,has as subject
description of corporate body,has broader,has as subject
description of expression,has broader,has as subject
description of family,has broader,has as subject
description of item,has broader,has as subject
description of manifestation,has broader,has as subject
description of nomen,has broader,has as subject
description of person,has broader,has as subject
description of place,has broader,has as subject
description of RDA entity,has broader,has as subject
description of timespan,has broader,has as subject
description of work,has broader,has as subject
designation of edition,has broader,has appellation
designation of named revision of edition,has broader,has appellation
designation of version,has broader,has note
designer agent,has broader,was created by work
designer agent of,has broader,created work
designer collective agent,has broader,was created by work
designer collective agent of,has broader,created work
designer corporate body,has broader,was created by work
designer corporate body of,has broader,created work
designer family,has broader,was created by work
designer family of,has broader,created work
designer person,has broader,was created by work
designer person of,has broader,created work
details of applied material,has broader,has note
details of aspect ratio designation,has broader,has note
details of base material,has broader,has note
details of bibliographic format,has broader,has note
details of broadcast standard,has broader,has note
details of cartographic content,has broader,has note
details of cartographic data type,has broader,has note
details of configuration of playback channels,has broader,has note
details of digital file characteristic,has broader,has note
details of digital representation of cartographic content,has broader,has note
details of duration,has broader,has note
details of emulsion on microfilm and microfiche,has broader,has note
details of encoding format,has broader,has note
details of file type,has broader,has note
details of font size,has broader,has note
details of form of musical notation,has broader,has note
details of form of notated movement,has broader,has note
details of form of tactile notation,has broader,has note
details of format of notated music,has broader,has note
details of generation,has broader,has note
details of groove characteristic,has broader,has note
details of layout,has broader,has note
details of mount,has broader,has note
details of playing speed,has broader,has note
details of polarity,has broader,has note
details of presentation format,has broader,has note
details of production method,has broader,has note
details of projection characteristic of motion picture film,has broader,has note
details of projection speed,has broader,has note
details of recording medium,has broader,has note
details of reduction ratio designation,has broader,has note
details of regional encoding,has broader,has note
details of script,has broader,has note
details of sound characteristic,has broader,has note
details of special playback characteristic,has broader,has note
details of tape configuration,has broader,has note
details of track configuration,has broader,has note
details of type of recording,has broader,has note
details of video characteristic,has broader,has note
details of video format,has broader,has note
digest of expression,has broader,is associated with res
digest of work,has broader,is a transformation of
digested as expression,has broader,is associated with res
digested as work,has broader,was transformed into
digital file characteristic,has broader,has access conditions
digital representation of cartographic content,has broader,has access conditions
digital transfer of item,has broader,has reproduction item
digital transfer of item of,has broader,is reproduction item of
digital transfer of manifestation,has broader,has reproduction manifestation
digital transfer of manifestation of,has broader,is reproduction manifestation of
dimensions,has broader,has extent of manifestation
dimensions of cartographic image,has broader,has extent of manifestation
dimensions of still image,has broader,has extent of manifestation
director agent,has broader,was created by work
director agent of,has broader,created work
director agent of photography,has broader,was created by work
director agent of photography of,has broader,created work
director collective agent,has broader,was created by work
director collective agent of,has broader,created work
director collective agent of photography,has broader,was created by work
director collective agent of photography of,has broader,created work
director corporate body,has broader,was created by work
director corporate body of,has broader,created work
director corporate body of photography,has broader,was created by work
director corporate body of photography of,has broader,created work
director family,has broader,was created by work
director family of,has broader,created work
director family of photography,has broader,was created by work
director family of photography of,has broader,created work
director person,has broader,was created by work
director person of,has broader,created work
director person of photography,has broader,was created by work
director person of photography of,has broader,created work
dissertation or thesis information,has broader,has note
distribution statement,has broader,has manifestation statement
distributor agent,has equivalent,is distributed by
distributor agent of,has equivalent,distributes
distributor collective agent,has broader,is distributed by
distributor collective agent of,has broader,distributes
distributor corporate body,has broader,is distributed by
distributor corporate body of,has broader,distributes
distributor family,has broader,is distributed by
distributor family of,has broader,distributes
distributor person,has broader,is distributed by
distributor person of,has broader,distributes
DJ agent,has broader,was created by expression
DJ agent of,has broader,created expression
DJ collective agent,has broader,was created by expression
DJ collective agent of,has broader,created expression
DJ corporate body,has broader,was created by expression
DJ corporate body of,has broader,created expression
DJ family,has broader,was created by expression
DJ family of,has broader,created expression
DJ person,has broader,was created by expression
DJ person of,has broader,created expression
donor agent,has broader,is owned by
donor agent of,has broader,owns
donor collective agent,has broader,is owned by
donor collective agent of,has broader,owns
donor corporate body,has broader,is owned by
donor corporate body of,has broader,owns
donor family,has broader,is owned by
donor family of,has broader,owns
donor person,has broader,is owned by
donor person of,has broader,owns
draftsman agent,has broader,was created by expression
draftsman agent of,has broader,created expression
draftsman collective agent,has broader,was created by expression
draftsman collective agent of,has broader,created expression
draftsman corporate body,has broader,was created by expression
draftsman corporate body of,has broader,created expression
draftsman family,has broader,was created by expression
draftsman family of,has broader,created expression
draftsman person,has broader,was created by expression
draftsman person of,has broader,created expression
dramatization of expression,has broader,is associated with res
dramatization of work,has broader,is a transformation of
dramatized as expression,has broader,is associated with res
dramatized as work,has broader,was transformed into
dubbed version,has broader,has derivation expression
dubbed version of,has broader,is derivation expression of
dubbing director agent,has broader,was created by expression
dubbing director agent of,has broader,created expression
dubbing director collective agent,has broader,was created by expression
dubbing director collective agent of,has broader,created expression
dubbing director corporate body,has broader,was created by expression
dubbing director corporate body of,has broader,created expression
dubbing director family,has broader,was created by expression
dubbing director family of,has broader,created expression
dubbing director person,has broader,was created by expression
dubbing director person of,has broader,created expression
duration,has broader,has extent of expression
duration of representative expression,has broader,has representative expression attribute
edition statement,has broader,has manifestation statement
editor agent,has broader,was created by expression
editor agent of,has broader,created expression
editor agent of moving image work,has broader,was created by expression
editor agent of moving image work of,has broader,created expression
editor collective agent,has broader,was created by expression
editor collective agent of,has broader,created expression
editor collective agent of moving image work,has broader,was created by expression
editor collective agent of moving image work of,has broader,created expression
editor corporate body,has broader,was created by expression
editor corporate body of,has broader,created expression
editor corporate body of moving image work,has broader,was created by expression
editor corporate body of moving image work of,has broader,created expression
editor family,has broader,was created by expression
editor family of,has broader,created expression
editor family of moving image work,has broader,was created by expression
editor family of moving image work of,has broader,created expression
editor person,has broader,was created by expression
editor person of,has broader,created expression
editor person of moving image work,has broader,was created by expression
editor person of moving image work of,has broader,created expression
editorial director agent,has broader,was created by work
editorial director agent of,has broader,created work
editorial director collective agent,has broader,was created by work
editorial director collective agent of,has broader,created work
editorial director corporate body,has broader,was created by work
editorial director corporate body of,has broader,created work
editorial director family,has broader,was created by work
editorial director family of,has broader,created work
editorial director person,has broader,was created by work
editorial director person of,has broader,created work
electronic reproduction of item,has broader,has reproduction item
electronic reproduction of item of,has broader,is reproduction item of
electronic reproduction of manifestation,has broader,has reproduction manifestation
electronic reproduction of manifestation of,has broader,is reproduction manifestation of
employee,has broader,has member
employer,has broader,is member of
emulsion on microfilm and microfiche,has broader,has category of carrier
enacting jurisdiction,has broader,was created by work
enacting jurisdiction of,has broader,created work
encoded bitrate,has broader,has access conditions
encoding format,has broader,has access conditions
ending,has equivalent,has ending
ending of,has broader,has association with time-span
engraver agent,has broader,was manufactured by
engraver agent of,has broader,manufactured
engraver collective agent,has broader,was manufactured by
engraver collective agent of,has broader,manufactured
engraver corporate body,has broader,was manufactured by
engraver corporate body of,has broader,manufactured
engraver family,has broader,was manufactured by
engraver family of,has broader,manufactured
engraver person,has broader,was manufactured by
engraver person of,has broader,manufactured
enrolled student,has broader,is associated with res
epoch,has broader,has category of work
epoch of,has broader,is associated with time-span
equinox,has broader,has category of work
equinox of,has broader,is associated with time-span
equipment or system requirement,has broader,has access conditions
equivalent item,has broader,is associated with res
equivalent manifestation,has broader,has reproduction manifestation
equivalent to,has equivalent,is equivalent to
errata expression,has broader,is associated with res
errata to expression,has broader,is associated with res
errata to work,has broader,is accompanied or complemented by
errata work,has broader,accompanies or complements
etcher agent,has broader,was manufactured by
etcher agent of,has broader,manufactured
etcher collective agent,has broader,was manufactured by
etcher collective agent of,has broader,manufactured
etcher corporate body,has broader,was manufactured by
etcher corporate body of,has broader,manufactured
etcher family,has broader,was manufactured by
etcher family of,has broader,manufactured
etcher person,has broader,was manufactured by
etcher person of,has broader,manufactured
evaluation of expression,has broader,has as subject
evaluation of manifestation,has broader,has as subject
evaluation of RDA entity,has broader,has as subject
evaluation of work,has broader,has as subject
exemplar of manifestation,has equivalent,is exemplified by
expanded as expression,has broader,is associated with res
expanded as work,has broader,was transformed into
expanded version of expression,has broader,is associated with res
expanded version of work,has broader,is a transformation of
expression analysed in,has broader,is subject of
expression commentary in,has broader,is subject of
expression critiqued by,has broader,is subject of
expression described by,has broader,is subject of
expression described with metadata by,has broader,is subject of
expression evaluated by,has broader,is subject of
expression manifested,has equivalent,embodies
expression of derivative work,has equivalent,is associated with res
expression of source work,has broader,is associated with res
expression of work,has equivalent,is realized through
expression reviewed by,has broader,is subject of
extension plan,has broader,has category of work
extent of expression,has equivalent,has extent of expression
extent of manifestation,has equivalent,has extent of manifestation
extent of representative expression,has broader,has representative expression attribute
facsimile of item,has broader,has reproduction item
facsimile of item of,has broader,is reproduction item of
facsimile of manifestation,has broader,has reproduction manifestation
facsimile of manifestation of,has broader,is reproduction manifestation of
facsimile part,has broader,is reproduction manifestation of
facsimile part of,has broader,has reproduction manifestation
family described by,has broader,is subject of
family described with metadata by,has broader,is subject of
family history,has broader,has note
family member of collective agent,has broader,has member
family member of collective agent of,has broader,is member of
family member of corporate body,has broader,has member
family member of corporate body of,has broader,is member of
family member of family,has broader,has member
family member of family of,has broader,is member of
fellow student,has broader,is associated with res
field of activity of agent,has equivalent,has field of activity
field of activity of collective agent,has broader,has field of activity
field of activity of corporate body,has broader,has field of activity
field of activity of family,has broader,has field of activity
field of activity of person,has broader,has field of activity
file size,has broader,has access conditions
file type,has broader,has access conditions
film director agent,has broader,was created by work
film director agent of,has broader,created work
film director collective agent,has broader,was created by work
film director collective agent of,has broader,created work
film director corporate body,has broader,was created by work
film director corporate body of,has broader,created work
film director family,has broader,was created by work
film director family of,has broader,created work
film director person,has broader,was created by work
film director person of,has broader,created work
film distributor agent,has broader,is distributed by
film distributor agent of,has broader,distributes
film distributor collective agent,has broader,is distributed by
film distributor collective agent of,has broader,distributes
film distributor corporate body,has broader,is distributed by
film distributor corporate body of,has broader,distributes
film distributor family,has broader,is distributed by
film distributor family of,has broader,distributes
film distributor person,has broader,is distributed by
film distributor person of,has broader,distributes
film producer agent,has broader,was created by work
film producer agent of,has broader,created work
film producer collective agent,has broader,was created by work
film producer collective agent of,has broader,created work
film producer corporate body,has broader,was created by work
film producer corporate body of,has broader,created work
film producer family,has broader,was created by work
film producer family of,has broader,created work
film producer person,has broader,was created by work
film producer person of,has broader,created work
filmed with item,has broader,is associated with res
filmed with manifestation,has broader,is associated with res
filmmaker agent,has broader,was created by work
filmmaker agent of,has broader,created work
filmmaker collective agent,has broader,was created by work
filmmaker collective agent of,has broader,created work
filmmaker corporate body,has broader,was created by work
filmmaker corporate body of,has broader,created work
filmmaker family,has broader,was created by work
filmmaker family of,has broader,created work
filmmaker person,has broader,was created by work
filmmaker person of,has broader,created work
finding aid,has broader,is subject of
finding aid of,has broader,has as subject
fingerprint,has broader,has appellation
fingerprint of,has broader,is appellation of
first alphanumeric designation of alternative sequence,has broader,has appellation
first alphanumeric designation of alternative sequence of,has broader,is appellation of
first alphanumeric designation of sequence,has broader,has appellation
first alphanumeric designation of sequence of,has broader,is appellation of
first chronological designation of alternative sequence,has broader,has appellation
first chronological designation of alternative sequence of,has broader,is appellation of
first chronological designation of sequence,has broader,has appellation
first chronological designation of sequence of,has broader,is appellation of
font point size,has broader,has access conditions
font size,has broader,has access conditions
form of musical notation,has broader,has category of expression
form of notated movement,has broader,has category of expression
form of notation,has broader,has category of expression
form of tactile notation,has broader,has category of expression
format of notated music,has broader,has category of expression
former owner agent,has broader,is owned by
former owner agent of,has broader,owns
former owner collective agent,has broader,is owned by
former owner collective agent of,has broader,owns
former owner corporate body,has broader,is owned by
former owner corporate body of,has broader,owns
former owner family,has broader,is owned by
former owner family of,has broader,owns
former owner person,has broader,is owned by
former owner person of,has broader,owns
founded corporate body of agent,has broader,is associated with res
founded corporate body of collective agent,has broader,is associated with res
founded corporate body of corporate body,has broader,is associated with res
founded corporate body of family,has broader,is associated with res
founded corporate body of person,has broader,is associated with res
founder agent of work,has broader,was created by work
founder agent of work of,has broader,created work
founder collective agent of work,has broader,was created by work
founder collective agent of work of,has broader,created work
founder corporate body of work,has broader,was created by work
founder corporate body of work of,has broader,created work
founder family of work,has broader,was created by work
founder family of work of,has broader,created work
founder person of work,has broader,was created by work
founder person of work of,has broader,created work
founding agent of corporate body,has broader,is associated with res
founding collective agent of corporate body,has broader,is associated with res
founding corporate body of corporate body,has broader,is associated with res
founding family of corporate body,has broader,is associated with res
founding person of corporate body,has broader,is associated with res
free translation of expression,has broader,is associated with res
free translation of work,has broader,is a transformation of
freely translated as expression,has broader,is associated with res
freely translated as work,has broader,was transformed into
frequency,has broader,has category of work
friend,has broader,is associated with res
fuller form of name,has broader,has appellation
fuller form of name of,has broader,is appellation of
gender,has broader,has category of res
generation,has broader,has category of carrier
given name,has broader,has appellation
given name of,has broader,is appellation of
graduate,has broader,is associated with res
graduate of,has broader,is associated with res
graphic novelization of expression,has broader,is associated with res
graphic novelization of work,has broader,is a transformation of
groove characteristic,has broader,has access conditions
groove pitch,has broader,has access conditions
groove width,has broader,has access conditions
guide expression,has broader,is associated with res
guide to expression,has broader,is associated with res
guide to work,has broader,is accompanied or complemented by
guide work,has broader,accompanies or complements
held with,has broader,is associated with res
hereditary term of honour,has broader,has appellation
hierarchic finding aid,has broader,is subject of
hierarchic finding aid of,has broader,has as subject
hierarchical subordinate,has broader,has part collective agent
hierarchical superior,has broader,is part collective agent of
history of work,has broader,has note
holding,has broader,is associated with res
holding of,has broader,is associated with res
honouree agent of item,has broader,is associated with res
honouree agent of item of,has broader,is associated with res
honouree agent of work,has broader,is associated with res
honouree agent of work of,has broader,is associated with res
honouree collective agent of item,has broader,is associated with res
honouree collective agent of item of,has broader,is associated with res
honouree collective agent of work,has broader,is associated with res
honouree collective agent of work of,has broader,is associated with res
honouree corporate body of item,has broader,is associated with res
honouree corporate body of item of,has broader,is associated with res
honouree corporate body of work,has broader,is associated with res
honouree corporate body of work of,has broader,is associated with res
honouree family of item,has broader,is associated with res
honouree family of item of,has broader,is associated with res
honouree family of work,has broader,is associated with res
honouree family of work of,has broader,is associated with res
honouree person of item,has broader,is associated with res
honouree person of item of,has broader,is associated with res
honouree person of work,has broader,is associated with res
honouree person of work of,has broader,is associated with res
horizontal scale of cartographic content,has broader,has cartographic scale
host agent,has broader,was created by expression
host agent of,has broader,created expression
host collective agent,has broader,was created by expression
host collective agent of,has broader,created expression
host corporate body,has broader,was created by expression
host corporate body of,has broader,created expression
host family,has broader,was created by expression
host family of,has broader,created expression
host person,has broader,was created by expression
host person of,has broader,created expression
hosting institution,has broader,is associated with res
hosting institution of,has broader,is associated with res
identifier for agent,has broader,has appellation
identifier for agent of,has broader,is appellation of
identifier for collective agent,has broader,has appellation
identifier for collective agent of,has broader,is appellation of
identifier for corporate body,has broader,has appellation
identifier for corporate body of,has broader,is appellation of
identifier for expression,has broader,has appellation
identifier for expression of,has broader,is appellation of
identifier for family,has broader,has appellation
identifier for family of,has broader,is appellation of
identifier for item,has broader,has appellation
identifier for item of,has broader,is appellation of
identifier for manifestation,has broader,has appellation
identifier for manifestation of,has broader,is appellation of
identifier for person,has broader,has appellation
identifier for person of,has broader,is appellation of
identifier for place,has broader,has appellation
identifier for place of,has broader,is appellation of
identifier for RDA entity,has broader,has appellation
identifier for RDA entity of,has broader,is appellation of
identifier for timespan,has broader,has appellation
identifier for timespan of,has broader,is appellation of
identifier for work,has broader,has appellation
identifier for work group,has broader,has appellation
identifier for work group of,has broader,is appellation of
identifier for work of,has broader,is appellation of
illuminator agent,has broader,was modified by
illuminator agent of,has broader,modified
illuminator collective agent,has broader,was modified by
illuminator collective agent of,has broader,modified
illuminator corporate body,has broader,was modified by
illuminator corporate body of,has broader,modified
illuminator family,has broader,was modified by
illuminator family of,has broader,modified
illuminator person,has broader,was modified by
illuminator person of,has broader,modified
illustrations expression,has broader,is associated with res
illustrations for expression,has broader,is associated with res
illustrations for work,has broader,is accompanied or complemented by
illustrations work,has broader,accompanies or complements
illustrative content,has broader,has note
imitated as expression,has broader,is associated with res
imitated as work,has broader,was transformed into
imitation of expression,has broader,is associated with res
imitation of work,has broader,is a transformation of
immediate source of acquisition of item,has broader,has note
incidental music expression,has broader,is associated with res
incidental music for expression,has broader,is associated with res
incidental music for work,has broader,accompanies or complements
incidental music work,has broader,accompanies or complements
index,has broader,is associated with res
index for,has broader,is associated with res
inscriber,has broader,was modified by
inscriber of,has broader,modified
insert,has broader,is associated with res
inserted in,has broader,is associated with res
inspiration for,has equivalent,is inspiration for
inspired by,has equivalent,is inspired by
instructor agent,has broader,was created by expression
instructor agent of,has broader,created expression
instructor collective agent,has broader,was created by expression
instructor collective agent of,has broader,created expression
instructor corporate body,has broader,was created by expression
instructor corporate body of,has broader,created expression
instructor family,has broader,was created by expression
instructor family of,has broader,created expression
instructor person,has broader,was created by expression
instructor person of,has broader,created expression
instrumental conductor agent,has broader,was created by expression
instrumental conductor agent of,has broader,created expression
instrumental conductor collective agent,has broader,was created by expression
instrumental conductor collective agent of,has broader,created expression
instrumental conductor corporate body,has broader,was created by expression
instrumental conductor corporate body of,has broader,created expression
instrumental conductor family,has broader,was created by expression
instrumental conductor family of,has broader,created expression
instrumental conductor person,has broader,was created by expression
instrumental conductor person of,has broader,created expression
instrumentalist agent,has broader,was created by expression
instrumentalist agent of,has broader,created expression
instrumentalist collective agent,has broader,was created by expression
instrumentalist collective agent of,has broader,created expression
instrumentalist corporate body,has broader,was created by expression
instrumentalist corporate body of,has broader,created expression
instrumentalist family,has broader,was created by expression
instrumentalist family of,has broader,created expression
instrumentalist person,has broader,was created by expression
instrumentalist person of,has broader,created expression
intended audience of expression,has equivalent,has intended audience of expression
intended audience of manifestation,has broader,has intended audience of manifestation
intended audience of nomen,has equivalent,has intended audience of nomen
intended audience of representative expression,has broader,has representative expression attribute
interactivity mode,has broader,has category of expression
interviewee agent of expression,has broader,was created by expression
interviewee agent of expression of,has broader,created expression
interviewee agent of work,has broader,was created by work
interviewee agent of work of,has broader,created work
interviewee collective agent of expression,has broader,was created by expression
interviewee collective agent of expression of,has broader,created expression
interviewee collective agent of work,has broader,was created by work
interviewee collective agent of work of,has broader,created work
interviewee corporate body of expression,has broader,was created by expression
interviewee corporate body of expression of,has broader,created expression
interviewee corporate body of work,has broader,was created by work
interviewee corporate body of work of,has broader,created work
interviewee family of expression,has broader,was created by expression
interviewee family of expression of,has broader,created expression
interviewee family of work,has broader,was created by work
interviewee family of work of,has broader,created work
interviewee person of expression,has broader,was created by expression
interviewee person of expression of,has broader,created expression
interviewee person of work,has broader,was created by work
interviewee person of work of,has broader,created work
interviewer agent of expression,has broader,was created by expression
interviewer agent of expression of,has broader,created expression
interviewer agent of work,has broader,was created by work
interviewer agent of work of,has broader,created work
interviewer collective agent of expression,has broader,was created by expression
interviewer collective agent of expression of,has broader,created expression
interviewer collective agent of work,has broader,was created by work
interviewer collective agent of work of,has broader,created work
interviewer corporate body of expression,has broader,was created by expression
interviewer corporate body of expression of,has broader,created expression
interviewer corporate body of work,has broader,was created by work
interviewer corporate body of work of,has broader,created work
interviewer family of expression,has broader,was created by expression
interviewer family of expression of,has broader,created expression
interviewer family of work,has broader,was created by work
interviewer family of work of,has broader,created work
interviewer person of expression,has broader,was created by expression
interviewer person of expression of,has broader,created expression
interviewer person of work,has broader,was created by work
interviewer person of work of,has broader,created work
inventor agent,has broader,was created by work
inventor agent of,has broader,created work
inventor collective agent,has broader,was created by work
inventor collective agent of,has broader,created work
inventor corporate body,has broader,was created by work
inventor corporate body of,has broader,created work
inventor family,has broader,was created by work
inventor family of,has broader,created work
inventor person,has broader,was created by work
inventor person of,has broader,created work
ISSN,has broader,has appellation
ISSN of,has broader,is appellation of
issue,has broader,is inspiration for
issue of,has broader,is inspired by
issuing agent,has broader,was created by work
issuing agent of,has broader,created work
issuing collective agent,has broader,was created by work
issuing collective agent of,has broader,created work
issuing corporate body,has broader,was created by work
issuing corporate body of,has broader,created work
issuing family,has broader,was created by work
issuing family of,has broader,created work
issuing person,has broader,was created by work
issuing person of,has broader,created work
item analysed in,has broader,is subject of
item commentary in,has broader,is subject of
item described by,has broader,is subject of
item described with metadata by,has broader,is subject of
jointly held conference,has broader,is associated with res
judge,has broader,was created by work
judge of,has broader,created work
jurisdiction governed,has broader,is associated with res
jurisdiction governed of,has broader,is associated with place
key of expression,has equivalent,has key
key of representative expression,has broader,has representative expression attribute
key title,has broader,has appellation
key title of,has broader,is appellation of
landscape architect agent,has broader,was created by work
landscape architect agent of,has broader,created work
landscape architect collective agent,has broader,was created by work
landscape architect collective agent of,has broader,created work
landscape architect corporate body,has broader,was created by work
landscape architect corporate body of,has broader,created work
landscape architect family,has broader,was created by work
landscape architect family of,has broader,created work
landscape architect person,has broader,was created by work
landscape architect person of,has broader,created work
language of agent,has equivalent,has language of agent
language of collective agent,has broader,has language of agent
language of corporate body,has broader,has language of agent
language of expression,has equivalent,has language of expression
language of family,has broader,has language of agent
language of nomen,has equivalent,has language of nomen
language of person,has broader,has language of agent
language of representative expression,has broader,has representative expression attribute
language version,has broader,was transformed into
language version of,has broader,is a transformation of
last alphanumeric designation of alternative sequence,has broader,has appellation
last alphanumeric designation of alternative sequence of,has broader,is appellation of
last alphanumeric designation of sequence,has broader,has appellation
last alphanumeric designation of sequence of,has broader,is appellation of
last chronological designation of alternative sequence,has broader,has appellation
last chronological designation of alternative sequence of,has broader,is appellation of
last chronological designation of sequence,has broader,has appellation
last chronological designation of sequence of,has broader,is appellation of
latitude,has broader,has category of work
layout,has broader,has category of carrier
letterer agent,has broader,was created by expression
letterer agent of,has broader,created expression
letterer collective agent,has broader,was created by expression
letterer collective agent of,has broader,created expression
letterer corporate body,has broader,was created by expression
letterer corporate body of,has broader,created expression
letterer family,has broader,was created by expression
letterer family of,has broader,created expression
letterer person,has broader,was created by expression
letterer person of,has broader,created expression
librettist agent,has broader,was created by work
librettist agent of,has broader,created work
librettist collective agent,has broader,was created by work
librettist collective agent of,has broader,created work
librettist corporate body,has broader,was created by work
librettist corporate body of,has broader,created work
librettist family,has broader,was created by work
librettist family of,has broader,created work
librettist person,has broader,was created by work
librettist person of,has broader,created work
libretto based on expression,has broader,is associated with res
libretto based on work,has broader,is a transformation of
libretto expression,has broader,is associated with res
libretto for expression,has broader,is associated with res
libretto for work,has broader,accompanies or complements
libretto work,has broader,accompanies or complements
lighting designer agent,has broader,was created by expression
lighting designer agent of,has broader,created expression
lighting designer collective agent,has broader,was created by expression
lighting designer collective agent of,has broader,created expression
lighting designer corporate body,has broader,was created by expression
lighting designer corporate body of,has broader,created expression
lighting designer family,has broader,was created by expression
lighting designer family of,has broader,created expression
lighting designer person,has broader,was created by expression
lighting designer person of,has broader,created expression
lithographer agent,has broader,was manufactured by
lithographer agent of,has broader,manufactured
lithographer collective agent,has broader,was manufactured by
lithographer collective agent of,has broader,manufactured
lithographer corporate body,has broader,was manufactured by
lithographer corporate body of,has broader,manufactured
lithographer family,has broader,was manufactured by
lithographer family of,has broader,manufactured
lithographer person,has broader,was manufactured by
lithographer person of,has broader,manufactured
local affiliate,has broader,is associated with res
location,has equivalent,has location of place
location of collection,has broader,has association with place
location of collection of,has broader,is associated with place
location of item,has broader,has association with place
location of item of,has broader,is associated with place
longitude,has broader,has category of work
longitude and latitude,has broader,has category of work
longitude and latitude of,has broader,is associated with place
lyricist agent,has broader,was created by work
lyricist agent of,has broader,created work
lyricist collective agent,has broader,was created by work
lyricist collective agent of,has broader,created work
lyricist corporate body,has broader,was created by work
lyricist corporate body of,has broader,created work
