*preferred label[0]_en,alternative label[0]_en,alternative label[1]_en,alternative label[2]_en,alternative label[3]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status,has broader[0],has narrower[0],has narrower[1],has narrower[2],related to[0],related to[1],related to[2],related to[3],related to[4],related to[5]
element subtype,element sub-type,narrower element,,,1109,element subtype,A narrower category of an element.,A narrower category of an element.,,rdaterm:1109,Published,,,,,rdaterm:1041,,,,,
super-element,,,,,1110,super-element,An element that aggregates data values from one or more sub-elements.,An element that aggregates data values from one or more sub-elements.,,rdaterm:1110,Published,,,,,rdaterm:1041,rdaterm:1113,,,,
relationship element,relationship designator,,,,1111,relationship element,An element that relates two RDA entities.,An element that relates two RDA entities.,,rdaterm:1111,Published,rdaterm:1041,,,,rdaterm:1114,,,,,
string encoding scheme,syntax encoding scheme,SES,,,1112,string encoding scheme,A set of string values and an associated set of rules that describe a mapping between that set of strings and a value of an element.,A set of string values and an associated set of rules that describe a mapping between that set of strings and a value of an element.,,rdaterm:1112,Published,,,,,rdaterm:1041,,,,,
sub-element,subelement,,,,1113,sub-element,An element that is a component of a larger element that aggregates data values from two or more elements.,An element that is a component of a larger element that aggregates data values from two or more elements.,,rdaterm:1113,Published,,,,,rdaterm:1041,rdaterm:1110,,,,
entity,res,,,,1114,entity,An abstract class of a physical or conceptual thing in the universe of human discourse.,An abstract class of a physical or conceptual thing in the universe of human discourse.,,rdaterm:1114,Published,,,,,rdaterm:1108,rdaterm:1111,rdaterm:1175,rdaterm:1190,rdaterm:1193,
jurisdiction,,,,,1115,jurisdiction,"A place that is governed by a law, regulation, constitution, court rule, or other legislation enacted by a corporate body that is a government.","A place that is governed by a law, regulation, constitution, court rule, or other legislation enacted by a corporate body that is a government.",,rdaterm:1115,Published,,,,,,,,,,
element supertype,element super-type,broader element,,,1116,element supertype,A broader category of an element.,A broader category of an element.,,rdaterm:1116,Published,,,,,rdaterm:1041,,,,,
choreographic work,,,,,1117,choreographic work,"A work that is realized as notated movement, performed movement, or tactile notated movement.","A work that is realized as notated movement, performed movement, or tactile notated movement.",,rdaterm:1117,Published,,,,,,,,,,
musical work,,,,,1118,musical work,"A work that is realized as notated music, performed music, or tactile notated music.","A work that is realized as notated music, performed music, or tactile notated music.",,rdaterm:1118,Published,,,,,,,,,,
cartographic work,,,,,1119,cartographic work,"A work that is realized as a cartographic dataset, a cartographic image, a cartographic moving image, a cartographic tactile image, a cartographic tactile three-dimensional form, or a cartographic three-dimensional form.","A work that is realized as a cartographic dataset, a cartographic image, a cartographic moving image, a cartographic tactile image, a cartographic tactile three-dimensional form, or a cartographic three-dimensional form.",,rdaterm:1119,Published,,,,,,,,,,
legal work,,,,,1120,legal work,A work that belongs to processes of law and its administration.,A work that belongs to processes of law and its administration.,,rdaterm:1120,Published,,,,,,,,,,
content,,,,,1121,content,The information that is realized by an expression and that is embodied by a manifestation.,The information that is realized by an expression and that is embodied by a manifestation.,,rdaterm:1121,Published,,,,,,,,,,
RDA base carrier category,,,,,1122,RDA base carrier category,"A category used as the basis of the RDA carrier type vocabulary encoding scheme that is constructed by taking a single primary value from the storage medium format, housing format, and intermediation tool carrier attributes of the RDA/ONIX framework for resource categorization.","A category used as the basis of the RDA carrier type vocabulary encoding scheme that is constructed by taking a single primary value from the storage medium format, housing format, and intermediation tool carrier attributes of the RDA/ONIX framework for resource categorization.",,rdaterm:1122,Published,,,,,rdaterm:1105,,,,,
RDA base content category,,,,,1123,RDA base content category,"A category used as the basis of the RDA content type vocabulary encoding scheme that is constructed by taking a single primary value from the character, sensory mode, image dimensionality, and image movement content attributes of the RDA/ONIX framework for resource categorization.","A category used as the basis of the RDA content type vocabulary encoding scheme that is constructed by taking a single primary value from the character, sensory mode, image dimensionality, and image movement content attributes of the RDA/ONIX framework for resource categorization.",,rdaterm:1123,Published,,,,,rdaterm:1105,,,,,
photographic work,,,,,1124,photographic work,A work that is characterized by photography.,A work that is characterized by photography.,,rdaterm:1124,Published,,,,,,,,,,
aggregate,,,,,1125,aggregate,A manifestation that embodies an aggregating expression and one or more expressions that are aggregated.,A manifestation that embodies an aggregating expression and one or more expressions that are aggregated.,,rdaterm:1125,Published,,,,,,,,,,
aggregating expression,,,,,1126,aggregating expression,An expression that is the realization of an aggregating work.,An expression that is the realization of an aggregating work.,,rdaterm:1126,Published,,,,,,,,,,
aggregating work,,,,,1127,aggregating work,"A work that is a plan to select and arrange one or more expressions of one or more works, and embody them in an aggregate.","A work that is a plan to select and arrange one or more expressions of one or more works, and embody them in an aggregate.",,rdaterm:1127,Published,,,,,,,,,,
appellation element,,,,,1128,appellation element,"An element that uses an unstructured description, structured description, or identifier to refer to an instance of an RDA entity within a given scheme or context.","An element that uses an unstructured description, structured description, or identifier to refer to an instance of an RDA entity within a given scheme or context.",,rdaterm:1128,Published,,,,,rdaterm:1183,,,,,
augmenting work,,,,,1129,augmenting work,An aggregating work that adds expressions of one or more supplementary works to an expression of a central work.,An aggregating work that adds expressions of one or more supplementary works to an expression of a central work.,,rdaterm:1129,Published,,,,,,,,,,
coherent description,,,,,1130,coherent description,A set of resource entities that describe an information resource and are related using basic structural elements.,A set of resource entities that describe an information resource and are related using basic structural elements.,,rdaterm:1130,Published,,,,,,,,,,
diachronic work,,,,,1131,diachronic work,A work that is planned to be embodied over time.,A work that is planned to be embodied over time.,,rdaterm:1131,Published,,,,,rdaterm:1157,,,,,
diacritic mark,,,,,1132,diacritic mark,A mark associated with a character that indicates a different phonetic value for the character.,A mark associated with a character that indicates a different phonetic value for the character.,,rdaterm:1132,Published,,,,,,,,,,
integrating work,integrating resource,,,,1133,integrating work,A diachronic work that is planned to be realized by a single expression.,A diachronic work that is planned to be realized by a single expression.,,rdaterm:1133,Published,,,,,,,,,,
official communication,,,,,1134,official communication,A work that is created by an agent who is engaged in formal discourse.,A work that is created by an agent who is engaged in formal discourse.,"Includes a message to a legislature, a proclamation, an executive order that is not a law, a bill, a draft of legislation, an order, a decree, a pastoral letter, a bull, an encyclical, a constitution, an official message to a council or synod, etc. created by an agent such as a ruling executive body, a head of state, a head of government, a head of international body, a governor of dependent or occupied territories, a pope, a patriarch, a bishop, etc.",rdaterm:1134,Published,,,,,,,,,,
published manifestation,,,,,1135,published manifestation,"A manifestation that is created by a publisher or manufacturer, or made available by a distributor.","A manifestation that is created by a publisher or manufacturer, or made available by a distributor.",,rdaterm:1135,Published,,,,,,,,,,
religious work,,,,,1136,religious work,"A work that is held sacred by a religion and its followers, or a work that has a direct association with a sacred work.","A work that is held sacred by a religion and its followers, or a work that has a direct association with a sacred work.",,rdaterm:1136,Published,,,,,rdaterm:1178,,,,,
serial work,serial,main series,,,1137,serial work,A successive work that is planned to be realized by multiple distinct aggregating expressions over an indeterminate timespan.,A successive work that is planned to be realized by multiple distinct aggregating expressions over an indeterminate timespan.,,rdaterm:1137,Published,,,,,,,,,,
string,,,,,1138,string,"A sequence of signs, symbols, or a combination of signs or symbols, intended to be treated as a unit.","A sequence of signs, symbols, or a combination of signs or symbols, intended to be treated as a unit.",,rdaterm:1138,Published,,,,,,,,,,
successive work,,,,,1139,successive work,A diachronic work that is planned to be realized by multiple distinct expressions.,A diachronic work that is planned to be realized by multiple distinct expressions.,,rdaterm:1139,Published,,,,,,,,,,
unpublished manifestation,,,,,1140,unpublished manifestation,A manifestation that is created by a producer.,A manifestation that is created by a producer.,,rdaterm:1140,Published,,,,,,,,,,
information resource,,,,,1141,information resource,A tangible or intangible object that contains information of interest to the users of a collection to which it belongs.,A tangible or intangible object that contains information of interest to the users of a collection to which it belongs.,,rdaterm:1141,Published,,,,,,,,,,
data provenance,,,,,1142,data provenance,Information about the metadata recorded in an element or set of elements.,Information about the metadata recorded in an element or set of elements.,"Metadata about metadata, or metametadata.",rdaterm:1142,Published,,,,,,,,,,
language of description,,,,,1143,language of description,A language that is used by an agent who creates a description of an RDA entity.,A language that is used by an agent who creates a description of an RDA entity.,,rdaterm:1143,Published,,,,,,,,,,
script of description,,,,,1144,script of description,A script that is used by an agent who creates a description of an RDA entity.,A script that is used by an agent who creates a description of an RDA entity.,,rdaterm:1144,Published,,,,,,,,,,
metadata statement,,,,,1145,metadata statement,A piece of metadata that assigns a value to an RDA element that describes an individual instance of an RDA entity.,A piece of metadata that assigns a value to an RDA element that describes an individual instance of an RDA entity.,,rdaterm:1145,Published,,,,,rdaterm:1146,,,,,
metadata description set,,,,,1146,metadata description set,One or more metadata statements that describe and relate individual instances of one or more RDA entities.,One or more metadata statements that describe and relate individual instances of one or more RDA entities.,,rdaterm:1146,Published,,,,,rdaterm:1035,,,,,
content standard,,,,,1147,content standard,A work that provides guidance and instructions for determining the value of a metadata statement.,A work that provides guidance and instructions for determining the value of a metadata statement.,,rdaterm:1147,Published,,,,,,,,,,
transcription standard,,,,,1148,transcription standard,A work that provides guidance and instructions for transcribing the value of a metadata statement.,A work that provides guidance and instructions for transcribing the value of a metadata statement.,,rdaterm:1148,Published,,,,,,,,,,
work group,,,,,1149,work group,A group of two or more works that have a common appellation assigned from a vocabulary encoding scheme.,A group of two or more works that have a common appellation assigned from a vocabulary encoding scheme.,,rdaterm:1149,Published,,,,,,,,,,
augmented work,,,,,1150,augmented work,A work that is realized by an expression that is aggregated with one or more expressions of supplementary works.,A work that is realized by an expression that is aggregated with one or more expressions of supplementary works.,,rdaterm:1150,Published,,,,,,,,,,
metadata work,,,,,1151,metadata work,A work that is a metadata statement or a metadata description set.,A work that is a metadata statement or a metadata description set.,,rdaterm:1151,Published,,,,,,,,,,
amalgamation,,,,,1152,amalgamation,An expression that includes contributions that cannot be separated into other expressions.,An expression that includes contributions that cannot be separated into other expressions.,,rdaterm:1152,Published,,,,,,,,,,
performance,,,,,1153,performance,An amalgamation that is the playing or enactment of a musical or dramatic work.,An amalgamation that is the playing or enactment of a musical or dramatic work.,,rdaterm:1153,Published,,,,,,,,,,
cardinality restriction,,,,,1154,cardinality restriction,A specification of a limitation to the number of relationships between two entities.,A specification of a limitation to the number of relationships between two entities.,,rdaterm:1154,Published,,,,,,,,,,
application profile,,,,,1155,application profile,A specification of the metadata that is used in an application.,A specification of the metadata that is used in an application.,"A specification may include the entities, elements, and vocabulary encoding schemes that are used, and the mandatory and repeatable status of elements.",rdaterm:1155,Published,,,,,,,,,,
WEM lock,,,,,1156,WEM lock,A cardinality restriction of one work that is realized as one and only one expression that is embodied by one and only manifestation.,A cardinality restriction of a work that is realized as one and only one expression that is embodied by one and only one manifestation.,,rdaterm:1156,Published,rdaterm:1154,,,,,,,,,
static work,,,,,1157,static work,A work that is planned to be embodied by a manifestation that results from a single act of publication or production.,A work that is planned to be embodied by a manifestation that results from a single act of publication or production.,,rdaterm:1157,Published,,,,,rdaterm:1131,,,,,
single work,,,,,1158,single work,A work that is planned to realize single or amalgamated content in one distinct expression.,A work that is planned to realize single or amalgamated content in one distinct expression.,,rdaterm:1158,Published,,,,,,,,,,
real-world object,rwo,real world object,,,1159,real-world object,An instance of an entity or a term from a vocabulary encoding scheme that is referenced by an Internationalized Resource Identifier for representation in Resource Description Framework.,An instance of an entity or a term from a vocabulary encoding scheme that is referenced by an Internationalized Resource Identifier for representation in Resource Description Framework.,,rdaterm:1159,Published,,,,,,,,,,
relationship,,,,,1160,relationship,A specific association between two entities.,A specific association between two entities.,,rdaterm:1160,Published,,,,,,,,,,
domain,,,,,1161,domain,The RDA entity that is described by an element.,The RDA entity that is described by an element.,,rdaterm:1161,Published,,,,,,,,,,
range,,,,,1162,range,The RDA entity that is the value of a relationship element.,The RDA entity that is the value of a relationship element.,,rdaterm:1162,Published,,,,,,,,,,
high-level relationship,,,,,1163,high-level relationship,A very broad relationship between two entities.,A very broad relationship between two entities.,,rdaterm:1163,Published,,,,,,,,,,
user task,,,,,1164,user task,A category of activity carried out by a person using a service for resource discovery.,A category of activity carried out by a person using a service for resource discovery.,,rdaterm:1164,Published,,,,,,,,,,
textual work,,,,,1165,textual work,A work that is realized as tactile text or text.,A work that is realized as tactile text or text.,,rdaterm:1165,Published,,,,,,,,,,
notation,,,,,1166,notation,A short alphanumeric string that serves as an identifier for an entry in a vocabulary encoding scheme.,A short alphanumeric string that serves as an identifier for an entry in a vocabulary encoding scheme.,,rdaterm:1166,Published,,,,,,,,,,
collection aggregate,,,,,1167,collection aggregate,An aggregate that embodies expressions of two or more independent works.,An aggregate that embodies expressions of two or more independent works.,,rdaterm:1167,Published,rdaterm:1125,,,,,,,,,
augmentation aggregate,,,,,1168,augmentation aggregate,"An aggregate that embodies expressions of two or more works, where expressions of one or more works are supplemented by expressions of one or more other works.","An aggregate that embodies expressions of two or more works, where expressions of one or more works are supplemented by expressions of one or more other works.",,rdaterm:1168,Published,rdaterm:1125,,,,,,,,,
parallel aggregate,,,,,1169,parallel aggregate,An aggregate that embodies expressions of a single work.,An aggregate that embodies expressions of a single work.,,rdaterm:1169,Published,rdaterm:1125,,,,,,,,,
still image work,,,,,1170,still image work,A work that is realized as a still image or a tactile image.,A work that is realized as a still image or a tactile image.,,rdaterm:1170,Published,,,,,,,,,,
moving image work,,,,,1171,moving image work,A work that is realized as a three-dimensional moving image or a two-dimensional moving image.,A work that is realized as a three-dimensional moving image or a two-dimensional moving image.,,rdaterm:1171,Published,,,,,,,,,,
object work,,,,,1172,object work,A work that is realized as a tactile three-dimensional form or a three-dimensional form.,A work that is realized as a tactile three-dimensional form or a three-dimensional form.,,rdaterm:1172,Published,,,,,,,,,,
vocal work,,,,,1173,vocal work,A work that is realized as spoken word.,A work that is realized as spoken word.,,rdaterm:1173,Published,,,,,,,,,,
computer content,digital resource,,,,1174,computer content,A work that is realized as a computer dataset or a computer program.,A work that is realized as a computer dataset or a computer program.,,rdaterm:1174,Published,,,,,,,,,,
instance,,,,,1175,instance,A single or individual example of an entity.,A single or individual example of an entity.,,rdaterm:1175,Published,,,,,rdaterm:1114,,,,,
common title,,,,,1176,common title,A title of manifestation of a manifestation that has parts or iterations.,A title of manifestation of a manifestation that has parts or iterations.,A common title may be found with numbering within sequence and an individual title of a part or iteration.,rdaterm:1176,Published,,,,,,,,,,
class,,,,,1177,class,"A set of things that have broad attributes, behaviours, relationships, or semantics in common.","A set of things that have broad attributes, behaviours, relationships, or semantics in common.",,rdaterm:1177,Published,,,,,,,,,,
liturgical work,,,,,1178,liturgical work,A work that is characterized as related to a public religious service or ritual.,A work that is characterized as related to a public religious service or ritual.,,rdaterm:1178,Published,,,,,rdaterm:1136,,,,,
term of address,honourific,,,,1179,term of address,A word or phrase that conveys esteem or respect when referring to a person.,A word or phrase that conveys esteem or respect when referring to a person.,,rdaterm:1179,Published,,,,,,,,,,
alignment,,,,,1180,alignment,A set of associations between the elements of two different ontologies or between the concepts of two different vocabulary encoding schemes.,A set of associations between the elements of two different ontologies or between the concepts of two different vocabulary encoding schemes.,,rdaterm:1180,Published,,,,,,,,,,
conceptual model,,,,,1181,conceptual model,A representation of a system that is used to understand or simulate how components interact within the system.,A representation of a system that is used to understand or simulate how components interact within the system.,,rdaterm:1181,Published,,,,,,,,,,
element set (Deprecated),,,,,1182,element set (Deprecated),A linked data vocabulary for classes and properties that are used to describe one or more entities of interest. (Deprecated),A linked data vocabulary for classes and properties that are used to describe one or more entities of interest. (Deprecated),,rdaterm:1182,Deprecated,,,,,rdaterm:1041,,,,,
label,,,,,1183,label,A string that is used to distinguish one entity from another.,A string that is used to distinguish one entity from another.,,rdaterm:1183,Published,,,,,rdaterm:1128,,,,,
mapping,,,,,1184,mapping,A semantic relationship between two elements or concepts represented in Resource Description Framework.,A semantic relationship between two elements or concepts represented in Resource Description Framework.,,rdaterm:1184,Published,,,,,,,,,,
ontology,,,,,1185,ontology,"A formal naming and definition of the types, properties, and interrelationships of the entities that exist for a particular universe of discourse.","A formal naming and definition of the types, properties, and interrelationships of the entities that exist for a particular universe of discourse.",,rdaterm:1185,Published,,,,,,,,,,
property,,,,,1186,property,"A specific aspect, characteristic, attribute, or relationship used to describe an entity in Resource Description Framework.","A specific aspect, characteristic, attribute, or relationship used to describe an entity in Resource Description Framework.",,rdaterm:1186,Published,,,,,rdaterm:1041,,,,,
semantic map,,,,,1187,semantic map,A set of mappings between the elements of two different ontologies or between the concepts of two different vocabulary encoding schemes.,A set of mappings between the elements of two different ontologies or between the concepts of two different vocabulary encoding schemes.,,rdaterm:1187,Published,,,,,,,,,,
value vocabulary (Deprecated),,,,,1188,value vocabulary (Deprecated),A linked data vocabulary for terms that are used as a value of an element. (Deprecated),A linked data vocabulary for terms that are used as a value of an element. (Deprecated),,rdaterm:1188,Deprecated,,,,,,,,,,
linked data vocabulary,,,,,1189,linked data vocabulary,"A stuctured set of labels, definitions, and scope notes for entities, elements, and concepts represented in Resource Description Framework.","A stuctured set of labels, definitions, and scope notes for entities, elements, and concepts represented in Resource Description Framework.",,rdaterm:1189,Published,,,,,,,,,,
entity subtype,entity sub-type,sub-class,subclass,narrower entity,1190,entity subtype,A narrower category of an entity.,A narrower category of an entity.,,rdaterm:1190,Published,,,,,rdaterm:1114,,,,,
sub-property,subproperty,,,,1191,sub-property,A narrower category of a property.,A narrower category of a property.,,rdaterm:1191,Published,,,,,,,,,,
shortcut,short-cut,short cut,,,1192,shortcut,An element that relates two RDA entities that are indirectly associated through one or more other RDA entities.,An element that relates two RDA entities that are indirectly associated through one or more other RDA entities.,,rdaterm:1192,Published,,,,,,,,,,
entity supertype,entity super-type,super-class,superclass,broader entity,1193,entity supertype,A broader category of an entity.,A broader category of an entity.,,rdaterm:1193,Published,,,,,rdaterm:1114,,,,,
entity boundary,boundary,,,,1194,entity boundary,A set of criteria that is applied by an agent who creates metadata to determine if a new entity is being described.,A set of criteria that is applied by an agent who creates metadata to determine if a new entity is being described.,,rdaterm:1194,Published,,,,,,,,,,
conformance,,,,,1195,conformance,"Adherence to guidance, instructions, and other specifications.","Adherence to guidance, instructions, and other specifications.",,rdaterm:1195,Published,,,,,,,,,,
indirect conformance,"conformance, indirect",latent conformance,"conformance, latent",,1196,indirect conformance,Conformance with a secondary set of specifications which themselves are conformant with a primary set of specifications.,Conformance with a secondary set of specifications which themselves are conformant with a primary set of specifications.,,rdaterm:1196,Published,,,,,,,,,,
title,,,,,1197,title,An appellation of a resource entity in natural language and phrasing that is used in common discourse.,An appellation of a resource entity in natural language and phrasing that is used in common discourse.,,rdaterm:1197,Published,rdaterm:1205,rdaterm:1202,rdaterm:1198,,rdaterm:1062,,,,,
variant title,,,,,1198,variant title,A title that is not selected for preference in a specific application or context.,A title that is not selected for preference in a specific application or context.,,rdaterm:1198,Published,rdaterm:1197,,,,,,,,,
preferred title,,,,,1202,preferred title,A title that is selected for preference in the construction of an authorized access point.,A title that is selected for preference in the construction of an authorized access point.,,rdaterm:1202,Published,rdaterm:1197,,,,,,,,,
direct conformance,"conformance, direct",,,,1203,direct conformance,Conformance with a primary set of specifications.,Conformance with a primary set of specifications.,,rdaterm:1203,Published,,,,,,,,,,
partial conformance,"conformance, partial",,,,1204,partial conformance,"Conformance with some, but not all, of a set of specifications.","Conformance with some, but not all, of a set of specifications.",,rdaterm:1204,Published,,,,,,,,,,
appellation,,,,,1205,appellation,A combination of signs that is used to label an entity for identification and reference.,A combination of signs that is used to label an entity for identification and reference.,"Signs include character sets, symbols, notations, and sounds.",rdaterm:1205,Published,,rdaterm:1001,rdaterm:1062,rdaterm:1197,,,,,,
application (Deprecated),,,,,1206,application (Deprecated),,,,rdaterm:1206,Deprecated,,,,,,,,,,
minimum description,,,,,1207,minimum description,A description that is the least data required for a well-formed metadata description set.,A description that is the least data required for a well-formed metadata description set.,,rdaterm:1207,Published,rdaterm:1035,,,,rdaterm:1208,,,,,
effective description,,,,,1208,effective description,A description that is the data required for an application.,A description that is the data required for an application.,,rdaterm:1208,Published,rdaterm:1035,,,,rdaterm:1207,,,,,
dramatic work,,,,,1209,dramatic work,A work that is a textual work that is intended for performance on the stage.,A work that is a textual work that is intended for performance on the stage.,,rdaterm:1209,Published,rdaterm:1165,,,,,,,,,
