RDA element label,Alignment,Recording method
creator corporate body of expression of,has valid recording method,unstructured description
creator corporate body of expression of,has valid recording method,structured description
creator corporate body of expression of,has valid recording method,identifier
creator corporate body of expression of,has valid recording method,IRI
creator corporate body of manifestation,has valid recording method,unstructured description
creator corporate body of manifestation,has valid recording method,structured description
creator corporate body of manifestation,has valid recording method,identifier
creator corporate body of manifestation,has valid recording method,IRI
creator corporate body of manifestation of,has valid recording method,unstructured description
creator corporate body of manifestation of,has valid recording method,structured description
creator corporate body of manifestation of,has valid recording method,identifier
creator corporate body of manifestation of,has valid recording method,IRI
creator corporate body of work,has valid recording method,unstructured description
creator corporate body of work,has valid recording method,structured description
creator corporate body of work,has valid recording method,identifier
creator corporate body of work,has valid recording method,IRI
creator corporate body of work of,has valid recording method,unstructured description
creator corporate body of work of,has valid recording method,structured description
creator corporate body of work of,has valid recording method,identifier
creator corporate body of work of,has valid recording method,IRI
creator family of expression,has valid recording method,unstructured description
creator family of expression,has valid recording method,structured description
creator family of expression,has valid recording method,identifier
creator family of expression,has valid recording method,IRI
creator family of expression of,has valid recording method,unstructured description
creator family of expression of,has valid recording method,structured description
creator family of expression of,has valid recording method,identifier
creator family of expression of,has valid recording method,IRI
creator family of manifestation,has valid recording method,unstructured description
creator family of manifestation,has valid recording method,structured description
creator family of manifestation,has valid recording method,identifier
creator family of manifestation,has valid recording method,IRI
creator family of manifestation of,has valid recording method,unstructured description
creator family of manifestation of,has valid recording method,structured description
creator family of manifestation of,has valid recording method,identifier
creator family of manifestation of,has valid recording method,IRI
creator family of work,has valid recording method,unstructured description
creator family of work,has valid recording method,structured description
creator family of work,has valid recording method,identifier
creator family of work,has valid recording method,IRI
creator family of work of,has valid recording method,unstructured description
creator family of work of,has valid recording method,structured description
creator family of work of,has valid recording method,identifier
creator family of work of,has valid recording method,IRI
creator person of expression,has valid recording method,unstructured description
creator person of expression,has valid recording method,structured description
creator person of expression,has valid recording method,identifier
creator person of expression,has valid recording method,IRI
creator person of expression of,has valid recording method,unstructured description
creator person of expression of,has valid recording method,structured description
creator person of expression of,has valid recording method,identifier
creator person of expression of,has valid recording method,IRI
creator person of manifestation,has valid recording method,unstructured description
creator person of manifestation,has valid recording method,structured description
creator person of manifestation,has valid recording method,identifier
creator person of manifestation,has valid recording method,IRI
creator person of manifestation of,has valid recording method,unstructured description
creator person of manifestation of,has valid recording method,structured description
creator person of manifestation of,has valid recording method,identifier
creator person of manifestation of,has valid recording method,IRI
creator person of work,has valid recording method,unstructured description
creator person of work,has valid recording method,structured description
creator person of work,has valid recording method,identifier
creator person of work,has valid recording method,IRI
creator person of work of,has valid recording method,unstructured description
creator person of work of,has valid recording method,structured description
creator person of work of,has valid recording method,identifier
creator person of work of,has valid recording method,IRI
criminal defendant corporate body,has valid recording method,unstructured description
criminal defendant corporate body,has valid recording method,structured description
criminal defendant corporate body,has valid recording method,identifier
criminal defendant corporate body,has valid recording method,IRI
criminal defendant corporate body of,has valid recording method,unstructured description
criminal defendant corporate body of,has valid recording method,structured description
criminal defendant corporate body of,has valid recording method,identifier
criminal defendant corporate body of,has valid recording method,IRI
criminal defendant person,has valid recording method,unstructured description
criminal defendant person,has valid recording method,structured description
criminal defendant person,has valid recording method,identifier
criminal defendant person,has valid recording method,IRI
criminal defendant person of,has valid recording method,unstructured description
criminal defendant person of,has valid recording method,structured description
criminal defendant person of,has valid recording method,identifier
criminal defendant person of,has valid recording method,IRI
critique of expression,has valid recording method,unstructured description
critique of expression,has valid recording method,structured description
critique of expression,has valid recording method,identifier
critique of expression,has valid recording method,IRI
critique of manifestation,has valid recording method,unstructured description
critique of manifestation,has valid recording method,structured description
critique of manifestation,has valid recording method,identifier
critique of manifestation,has valid recording method,IRI
critique of RDA entity,has valid recording method,unstructured description
critique of RDA entity,has valid recording method,structured description
critique of RDA entity,has valid recording method,identifier
critique of RDA entity,has valid recording method,IRI
critique of work,has valid recording method,unstructured description
critique of work,has valid recording method,structured description
critique of work,has valid recording method,identifier
critique of work,has valid recording method,IRI
current owner agent,has valid recording method,unstructured description
current owner agent,has valid recording method,structured description
current owner agent,has valid recording method,identifier
current owner agent,has valid recording method,IRI
current owner agent of,has valid recording method,unstructured description
current owner agent of,has valid recording method,structured description
current owner agent of,has valid recording method,identifier
current owner agent of,has valid recording method,IRI
current owner collective agent,has valid recording method,unstructured description
current owner collective agent,has valid recording method,structured description
current owner collective agent,has valid recording method,identifier
current owner collective agent,has valid recording method,IRI
current owner collective agent of,has valid recording method,unstructured description
current owner collective agent of,has valid recording method,structured description
current owner collective agent of,has valid recording method,identifier
current owner collective agent of,has valid recording method,IRI
current owner corporate body,has valid recording method,unstructured description
current owner corporate body,has valid recording method,structured description
current owner corporate body,has valid recording method,identifier
current owner corporate body,has valid recording method,IRI
current owner corporate body of,has valid recording method,unstructured description
current owner corporate body of,has valid recording method,structured description
current owner corporate body of,has valid recording method,identifier
current owner corporate body of,has valid recording method,IRI
current owner family,has valid recording method,unstructured description
current owner family,has valid recording method,structured description
current owner family,has valid recording method,identifier
current owner family,has valid recording method,IRI
current owner family of,has valid recording method,unstructured description
current owner family of,has valid recording method,structured description
current owner family of,has valid recording method,identifier
current owner family of,has valid recording method,IRI
current owner person,has valid recording method,unstructured description
current owner person,has valid recording method,structured description
current owner person,has valid recording method,identifier
current owner person,has valid recording method,IRI
current owner person of,has valid recording method,unstructured description
current owner person of,has valid recording method,structured description
current owner person of,has valid recording method,identifier
current owner person of,has valid recording method,IRI
custodial history of item,has valid recording method,unstructured description
custodial history of item,has valid recording method,structured description
custodian agent,has valid recording method,unstructured description
custodian agent,has valid recording method,structured description
custodian agent,has valid recording method,identifier
custodian agent,has valid recording method,IRI
custodian agent of,has valid recording method,unstructured description
custodian agent of,has valid recording method,structured description
custodian agent of,has valid recording method,identifier
custodian agent of,has valid recording method,IRI
custodian collective agent,has valid recording method,unstructured description
custodian collective agent,has valid recording method,structured description
custodian collective agent,has valid recording method,identifier
custodian collective agent,has valid recording method,IRI
custodian collective agent of,has valid recording method,unstructured description
custodian collective agent of,has valid recording method,structured description
custodian collective agent of,has valid recording method,identifier
custodian collective agent of,has valid recording method,IRI
custodian corporate body,has valid recording method,unstructured description
custodian corporate body,has valid recording method,structured description
custodian corporate body,has valid recording method,identifier
custodian corporate body,has valid recording method,IRI
custodian corporate body of,has valid recording method,unstructured description
custodian corporate body of,has valid recording method,structured description
custodian corporate body of,has valid recording method,identifier
custodian corporate body of,has valid recording method,IRI
custodian family,has valid recording method,unstructured description
custodian family,has valid recording method,structured description
custodian family,has valid recording method,identifier
custodian family,has valid recording method,IRI
custodian family of,has valid recording method,unstructured description
custodian family of,has valid recording method,structured description
custodian family of,has valid recording method,identifier
custodian family of,has valid recording method,IRI
custodian person,has valid recording method,unstructured description
custodian person,has valid recording method,structured description
custodian person,has valid recording method,identifier
custodian person,has valid recording method,IRI
custodian person of,has valid recording method,unstructured description
custodian person of,has valid recording method,structured description
custodian person of,has valid recording method,identifier
custodian person of,has valid recording method,IRI
dancer agent,has valid recording method,unstructured description
dancer agent,has valid recording method,structured description
dancer agent,has valid recording method,identifier
dancer agent,has valid recording method,IRI
dancer agent of,has valid recording method,unstructured description
dancer agent of,has valid recording method,structured description
dancer agent of,has valid recording method,identifier
dancer agent of,has valid recording method,IRI
dancer collective agent,has valid recording method,unstructured description
dancer collective agent,has valid recording method,structured description
dancer collective agent,has valid recording method,identifier
dancer collective agent,has valid recording method,IRI
dancer collective agent of,has valid recording method,unstructured description
dancer collective agent of,has valid recording method,structured description
dancer collective agent of,has valid recording method,identifier
dancer collective agent of,has valid recording method,IRI
dancer corporate body,has valid recording method,unstructured description
dancer corporate body,has valid recording method,structured description
dancer corporate body,has valid recording method,identifier
dancer corporate body,has valid recording method,IRI
dancer corporate body of,has valid recording method,unstructured description
dancer corporate body of,has valid recording method,structured description
dancer corporate body of,has valid recording method,identifier
dancer corporate body of,has valid recording method,IRI
dancer family,has valid recording method,unstructured description
dancer family,has valid recording method,structured description
dancer family,has valid recording method,identifier
dancer family,has valid recording method,IRI
dancer family of,has valid recording method,unstructured description
dancer family of,has valid recording method,structured description
dancer family of,has valid recording method,identifier
dancer family of,has valid recording method,IRI
dancer person,has valid recording method,unstructured description
dancer person,has valid recording method,structured description
dancer person,has valid recording method,identifier
dancer person,has valid recording method,IRI
dancer person of,has valid recording method,unstructured description
dancer person of,has valid recording method,structured description
dancer person of,has valid recording method,identifier
dancer person of,has valid recording method,IRI
date of birth,has valid recording method,unstructured description
date of birth,has valid recording method,structured description
date of birth,has valid recording method,identifier
date of birth,has valid recording method,IRI
date of birth of,has valid recording method,unstructured description
date of birth of,has valid recording method,structured description
date of birth of,has valid recording method,identifier
date of birth of,has valid recording method,IRI
date of capture,has valid recording method,unstructured description
date of capture,has valid recording method,structured description
date of capture,has valid recording method,identifier
date of capture,has valid recording method,IRI
date of capture of,has valid recording method,unstructured description
date of capture of,has valid recording method,structured description
date of capture of,has valid recording method,identifier
date of capture of,has valid recording method,IRI
date of capture of representative expression,has valid recording method,unstructured description
date of capture of representative expression,has valid recording method,structured description
date of capture of representative expression,has valid recording method,identifier
date of capture of representative expression,has valid recording method,IRI
date of capture of representative expression of,has valid recording method,unstructured description
date of capture of representative expression of,has valid recording method,structured description
date of capture of representative expression of,has valid recording method,identifier
date of capture of representative expression of,has valid recording method,IRI
date of conference,has valid recording method,unstructured description
date of conference,has valid recording method,structured description
date of conference,has valid recording method,identifier
date of conference,has valid recording method,IRI
date of conference of,has valid recording method,unstructured description
date of conference of,has valid recording method,structured description
date of conference of,has valid recording method,identifier
date of conference of,has valid recording method,IRI
date of death,has valid recording method,unstructured description
date of death,has valid recording method,structured description
date of death,has valid recording method,identifier
date of death,has valid recording method,IRI
date of death of,has valid recording method,unstructured description
date of death of,has valid recording method,structured description
date of death of,has valid recording method,identifier
date of death of,has valid recording method,IRI
date of distribution,has valid recording method,unstructured description
date of distribution,has valid recording method,structured description
date of distribution,has valid recording method,identifier
date of distribution,has valid recording method,IRI
date of distribution of,has valid recording method,unstructured description
date of distribution of,has valid recording method,structured description
date of distribution of,has valid recording method,identifier
date of distribution of,has valid recording method,IRI
date of establishment,has valid recording method,unstructured description
date of establishment,has valid recording method,structured description
date of establishment,has valid recording method,identifier
date of establishment,has valid recording method,IRI
date of establishment of,has valid recording method,unstructured description
date of establishment of,has valid recording method,structured description
date of establishment of,has valid recording method,identifier
date of establishment of,has valid recording method,IRI
date of expression,has valid recording method,unstructured description
date of expression,has valid recording method,structured description
date of expression,has valid recording method,identifier
date of expression,has valid recording method,IRI
date of expression of,has valid recording method,unstructured description
date of expression of,has valid recording method,structured description
date of expression of,has valid recording method,identifier
date of expression of,has valid recording method,IRI
date of manifestation,has valid recording method,unstructured description
date of manifestation,has valid recording method,structured description
date of manifestation,has valid recording method,identifier
date of manifestation,has valid recording method,IRI
date of manifestation of,has valid recording method,unstructured description
date of manifestation of,has valid recording method,structured description
date of manifestation of,has valid recording method,identifier
date of manifestation of,has valid recording method,IRI
date of manufacture,has valid recording method,unstructured description
date of manufacture,has valid recording method,structured description
date of manufacture,has valid recording method,identifier
date of manufacture,has valid recording method,IRI
date of manufacture of,has valid recording method,unstructured description
date of manufacture of,has valid recording method,structured description
date of manufacture of,has valid recording method,identifier
date of manufacture of,has valid recording method,IRI
date of production,has valid recording method,unstructured description
date of production,has valid recording method,structured description
date of production,has valid recording method,identifier
date of production,has valid recording method,IRI
date of production of,has valid recording method,unstructured description
date of production of,has valid recording method,structured description
date of production of,has valid recording method,identifier
date of production of,has valid recording method,IRI
date of publication,has valid recording method,unstructured description
date of publication,has valid recording method,structured description
date of publication,has valid recording method,identifier
date of publication,has valid recording method,IRI
date of publication of,has valid recording method,unstructured description
date of publication of,has valid recording method,structured description
date of publication of,has valid recording method,identifier
date of publication of,has valid recording method,IRI
date of representative expression,has valid recording method,unstructured description
date of representative expression,has valid recording method,structured description
date of representative expression,has valid recording method,identifier
date of representative expression,has valid recording method,IRI
date of representative expression of,has valid recording method,unstructured description
date of representative expression of,has valid recording method,structured description
date of representative expression of,has valid recording method,identifier
date of representative expression of,has valid recording method,IRI
date of termination,has valid recording method,unstructured description
date of termination,has valid recording method,structured description
date of termination,has valid recording method,identifier
date of termination,has valid recording method,IRI
date of termination of,has valid recording method,unstructured description
date of termination of,has valid recording method,structured description
date of termination of,has valid recording method,identifier
date of termination of,has valid recording method,IRI
date of usage,has valid recording method,unstructured description
date of usage,has valid recording method,structured description
date of usage,has valid recording method,identifier
date of usage,has valid recording method,IRI
date of usage of,has valid recording method,unstructured description
date of usage of,has valid recording method,structured description
date of usage of,has valid recording method,identifier
date of usage of,has valid recording method,IRI
date of work,has valid recording method,unstructured description
date of work,has valid recording method,structured description
date of work,has valid recording method,identifier
date of work,has valid recording method,IRI
date of work of,has valid recording method,unstructured description
date of work of,has valid recording method,structured description
date of work of,has valid recording method,identifier
date of work of,has valid recording method,IRI
declination,has valid recording method,unstructured description
declination,has valid recording method,structured description
dedicatee agent of item,has valid recording method,unstructured description
dedicatee agent of item,has valid recording method,structured description
dedicatee agent of item,has valid recording method,identifier
dedicatee agent of item,has valid recording method,IRI
dedicatee agent of item of,has valid recording method,unstructured description
dedicatee agent of item of,has valid recording method,structured description
dedicatee agent of item of,has valid recording method,identifier
dedicatee agent of item of,has valid recording method,IRI
dedicatee agent of work,has valid recording method,unstructured description
dedicatee agent of work,has valid recording method,structured description
dedicatee agent of work,has valid recording method,identifier
dedicatee agent of work,has valid recording method,IRI
dedicatee agent of work of,has valid recording method,unstructured description
dedicatee agent of work of,has valid recording method,structured description
dedicatee agent of work of,has valid recording method,identifier
dedicatee agent of work of,has valid recording method,IRI
dedicatee collective agent of item,has valid recording method,unstructured description
dedicatee collective agent of item,has valid recording method,structured description
dedicatee collective agent of item,has valid recording method,identifier
dedicatee collective agent of item,has valid recording method,IRI
dedicatee collective agent of item of,has valid recording method,unstructured description
dedicatee collective agent of item of,has valid recording method,structured description
dedicatee collective agent of item of,has valid recording method,identifier
dedicatee collective agent of item of,has valid recording method,IRI
dedicatee collective agent of work,has valid recording method,unstructured description
dedicatee collective agent of work,has valid recording method,structured description
dedicatee collective agent of work,has valid recording method,identifier
dedicatee collective agent of work,has valid recording method,IRI
dedicatee collective agent of work of,has valid recording method,unstructured description
dedicatee collective agent of work of,has valid recording method,structured description
dedicatee collective agent of work of,has valid recording method,identifier
dedicatee collective agent of work of,has valid recording method,IRI
dedicatee corporate body of item,has valid recording method,unstructured description
dedicatee corporate body of item,has valid recording method,structured description
dedicatee corporate body of item,has valid recording method,identifier
dedicatee corporate body of item,has valid recording method,IRI
dedicatee corporate body of item of,has valid recording method,unstructured description
dedicatee corporate body of item of,has valid recording method,structured description
dedicatee corporate body of item of,has valid recording method,identifier
dedicatee corporate body of item of,has valid recording method,IRI
dedicatee corporate body of work,has valid recording method,unstructured description
dedicatee corporate body of work,has valid recording method,structured description
dedicatee corporate body of work,has valid recording method,identifier
dedicatee corporate body of work,has valid recording method,IRI
dedicatee corporate body of work of,has valid recording method,unstructured description
dedicatee corporate body of work of,has valid recording method,structured description
dedicatee corporate body of work of,has valid recording method,identifier
dedicatee corporate body of work of,has valid recording method,IRI
dedicatee family of item,has valid recording method,unstructured description
dedicatee family of item,has valid recording method,structured description
dedicatee family of item,has valid recording method,identifier
dedicatee family of item,has valid recording method,IRI
dedicatee family of item of,has valid recording method,unstructured description
dedicatee family of item of,has valid recording method,structured description
dedicatee family of item of,has valid recording method,identifier
dedicatee family of item of,has valid recording method,IRI
dedicatee family of work,has valid recording method,unstructured description
dedicatee family of work,has valid recording method,structured description
dedicatee family of work,has valid recording method,identifier
dedicatee family of work,has valid recording method,IRI
dedicatee family of work of,has valid recording method,unstructured description
dedicatee family of work of,has valid recording method,structured description
dedicatee family of work of,has valid recording method,identifier
dedicatee family of work of,has valid recording method,IRI
dedicatee person of item,has valid recording method,unstructured description
dedicatee person of item,has valid recording method,structured description
dedicatee person of item,has valid recording method,identifier
dedicatee person of item,has valid recording method,IRI
dedicatee person of item of,has valid recording method,unstructured description
dedicatee person of item of,has valid recording method,structured description
dedicatee person of item of,has valid recording method,identifier
dedicatee person of item of,has valid recording method,IRI
dedicatee person of work,has valid recording method,unstructured description
dedicatee person of work,has valid recording method,structured description
dedicatee person of work,has valid recording method,identifier
dedicatee person of work,has valid recording method,IRI
dedicatee person of work of,has valid recording method,unstructured description
dedicatee person of work of,has valid recording method,structured description
dedicatee person of work of,has valid recording method,identifier
dedicatee person of work of,has valid recording method,IRI
dedicator agent,has valid recording method,unstructured description
dedicator agent,has valid recording method,structured description
dedicator agent,has valid recording method,identifier
dedicator agent,has valid recording method,IRI
dedicator agent of,has valid recording method,unstructured description
dedicator agent of,has valid recording method,structured description
dedicator agent of,has valid recording method,identifier
dedicator agent of,has valid recording method,IRI
dedicator collective agent,has valid recording method,unstructured description
dedicator collective agent,has valid recording method,structured description
dedicator collective agent,has valid recording method,identifier
dedicator collective agent,has valid recording method,IRI
dedicator collective agent of,has valid recording method,unstructured description
dedicator collective agent of,has valid recording method,structured description
dedicator collective agent of,has valid recording method,identifier
dedicator collective agent of,has valid recording method,IRI
dedicator corporate body,has valid recording method,unstructured description
dedicator corporate body,has valid recording method,structured description
dedicator corporate body,has valid recording method,identifier
dedicator corporate body,has valid recording method,IRI
dedicator corporate body of,has valid recording method,unstructured description
dedicator corporate body of,has valid recording method,structured description
dedicator corporate body of,has valid recording method,identifier
dedicator corporate body of,has valid recording method,IRI
dedicator family,has valid recording method,unstructured description
dedicator family,has valid recording method,structured description
dedicator family,has valid recording method,identifier
dedicator family,has valid recording method,IRI
dedicator family of,has valid recording method,unstructured description
dedicator family of,has valid recording method,structured description
dedicator family of,has valid recording method,identifier
dedicator family of,has valid recording method,IRI
dedicator person,has valid recording method,unstructured description
dedicator person,has valid recording method,structured description
dedicator person,has valid recording method,identifier
dedicator person,has valid recording method,IRI
dedicator person of,has valid recording method,unstructured description
dedicator person of,has valid recording method,structured description
dedicator person of,has valid recording method,identifier
dedicator person of,has valid recording method,IRI
defendant corporate body,has valid recording method,unstructured description
defendant corporate body,has valid recording method,structured description
defendant corporate body,has valid recording method,identifier
defendant corporate body,has valid recording method,IRI
defendant corporate body of,has valid recording method,unstructured description
defendant corporate body of,has valid recording method,structured description
defendant corporate body of,has valid recording method,identifier
defendant corporate body of,has valid recording method,IRI
defendant person,has valid recording method,unstructured description
defendant person,has valid recording method,structured description
defendant person,has valid recording method,identifier
defendant person,has valid recording method,IRI
defendant person of,has valid recording method,unstructured description
defendant person of,has valid recording method,structured description
defendant person of,has valid recording method,identifier
defendant person of,has valid recording method,IRI
degree committee member,has valid recording method,unstructured description
degree committee member,has valid recording method,structured description
degree committee member,has valid recording method,identifier
degree committee member,has valid recording method,IRI
degree committee member of,has valid recording method,unstructured description
degree committee member of,has valid recording method,structured description
degree committee member of,has valid recording method,identifier
degree committee member of,has valid recording method,IRI
degree granting institution,has valid recording method,unstructured description
degree granting institution,has valid recording method,structured description
degree granting institution,has valid recording method,identifier
degree granting institution,has valid recording method,IRI
degree granting institution of,has valid recording method,unstructured description
degree granting institution of,has valid recording method,structured description
degree granting institution of,has valid recording method,identifier
degree granting institution of,has valid recording method,IRI
degree supervisor,has valid recording method,unstructured description
degree supervisor,has valid recording method,structured description
degree supervisor,has valid recording method,identifier
degree supervisor,has valid recording method,IRI
degree supervisor of,has valid recording method,unstructured description
degree supervisor of,has valid recording method,structured description
degree supervisor of,has valid recording method,identifier
degree supervisor of,has valid recording method,IRI
depositor agent,has valid recording method,unstructured description
depositor agent,has valid recording method,structured description
depositor agent,has valid recording method,identifier
depositor agent,has valid recording method,IRI
depositor agent of,has valid recording method,unstructured description
depositor agent of,has valid recording method,structured description
depositor agent of,has valid recording method,identifier
depositor agent of,has valid recording method,IRI
depositor collective agent,has valid recording method,unstructured description
depositor collective agent,has valid recording method,structured description
depositor collective agent,has valid recording method,identifier
depositor collective agent,has valid recording method,IRI
depositor collective agent of,has valid recording method,unstructured description
depositor collective agent of,has valid recording method,structured description
depositor collective agent of,has valid recording method,identifier
depositor collective agent of,has valid recording method,IRI
depositor corporate body,has valid recording method,unstructured description
depositor corporate body,has valid recording method,structured description
depositor corporate body,has valid recording method,identifier
depositor corporate body,has valid recording method,IRI
depositor corporate body of,has valid recording method,unstructured description
depositor corporate body of,has valid recording method,structured description
depositor corporate body of,has valid recording method,identifier
depositor corporate body of,has valid recording method,IRI
depositor family,has valid recording method,unstructured description
depositor family,has valid recording method,structured description
depositor family,has valid recording method,identifier
depositor family,has valid recording method,IRI
depositor family of,has valid recording method,unstructured description
depositor family of,has valid recording method,structured description
depositor family of,has valid recording method,identifier
depositor family of,has valid recording method,IRI
depositor person,has valid recording method,unstructured description
depositor person,has valid recording method,structured description
depositor person,has valid recording method,identifier
depositor person,has valid recording method,IRI
depositor person of,has valid recording method,unstructured description
depositor person of,has valid recording method,structured description
depositor person of,has valid recording method,identifier
depositor person of,has valid recording method,IRI
derivation,has valid recording method,unstructured description
derivation,has valid recording method,structured description
derivation,has valid recording method,identifier
derivation,has valid recording method,IRI
derivation of,has valid recording method,unstructured description
derivation of,has valid recording method,structured description
derivation of,has valid recording method,identifier
derivation of,has valid recording method,IRI
derivative expression,has valid recording method,unstructured description
derivative expression,has valid recording method,structured description
derivative expression,has valid recording method,identifier
derivative expression,has valid recording method,IRI
derivative work,has valid recording method,unstructured description
derivative work,has valid recording method,structured description
derivative work,has valid recording method,identifier
derivative work,has valid recording method,IRI
descendant family of family,has valid recording method,unstructured description
descendant family of family,has valid recording method,structured description
descendant family of family,has valid recording method,identifier
descendant family of family,has valid recording method,IRI
descendant family of family of,has valid recording method,unstructured description
descendant family of family of,has valid recording method,structured description
descendant family of family of,has valid recording method,identifier
descendant family of family of,has valid recording method,IRI
descendant family of person,has valid recording method,unstructured description
descendant family of person,has valid recording method,structured description
descendant family of person,has valid recording method,identifier
descendant family of person,has valid recording method,IRI
descendant family of person of,has valid recording method,unstructured description
descendant family of person of,has valid recording method,structured description
descendant family of person of,has valid recording method,identifier
descendant family of person of,has valid recording method,IRI
description of agent,has valid recording method,unstructured description
description of agent,has valid recording method,structured description
description of agent,has valid recording method,identifier
description of agent,has valid recording method,IRI
description of collective agent,has valid recording method,unstructured description
description of collective agent,has valid recording method,structured description
description of collective agent,has valid recording method,identifier
description of collective agent,has valid recording method,IRI
description of corporate body,has valid recording method,unstructured description
description of corporate body,has valid recording method,structured description
description of corporate body,has valid recording method,identifier
description of corporate body,has valid recording method,IRI
description of expression,has valid recording method,unstructured description
description of expression,has valid recording method,structured description
description of expression,has valid recording method,identifier
description of expression,has valid recording method,IRI
description of family,has valid recording method,unstructured description
description of family,has valid recording method,structured description
description of family,has valid recording method,identifier
description of family,has valid recording method,IRI
description of item,has valid recording method,unstructured description
description of item,has valid recording method,structured description
description of item,has valid recording method,identifier
description of item,has valid recording method,IRI
description of manifestation,has valid recording method,unstructured description
description of manifestation,has valid recording method,structured description
description of manifestation,has valid recording method,identifier
description of manifestation,has valid recording method,IRI
description of nomen,has valid recording method,unstructured description
description of nomen,has valid recording method,structured description
description of nomen,has valid recording method,identifier
description of nomen,has valid recording method,IRI
description of person,has valid recording method,unstructured description
description of person,has valid recording method,structured description
description of person,has valid recording method,identifier
description of person,has valid recording method,IRI
description of place,has valid recording method,unstructured description
description of place,has valid recording method,structured description
description of place,has valid recording method,identifier
description of place,has valid recording method,IRI
description of RDA entity,has valid recording method,unstructured description
description of RDA entity,has valid recording method,structured description
description of RDA entity,has valid recording method,identifier
description of RDA entity,has valid recording method,IRI
description of timespan,has valid recording method,unstructured description
description of timespan,has valid recording method,structured description
description of timespan,has valid recording method,identifier
description of timespan,has valid recording method,IRI
description of work,has valid recording method,unstructured description
description of work,has valid recording method,structured description
description of work,has valid recording method,identifier
description of work,has valid recording method,IRI
designation of edition,has valid recording method,unstructured description
designation of named revision of edition,has valid recording method,unstructured description
designation of version,has valid recording method,unstructured description
designation of version,has valid recording method,structured description
designation of version,has valid recording method,identifier
designation of version,has valid recording method,IRI
designer agent,has valid recording method,unstructured description
designer agent,has valid recording method,structured description
designer agent,has valid recording method,identifier
designer agent,has valid recording method,IRI
designer agent of,has valid recording method,unstructured description
designer agent of,has valid recording method,structured description
designer agent of,has valid recording method,identifier
designer agent of,has valid recording method,IRI
designer collective agent,has valid recording method,unstructured description
designer collective agent,has valid recording method,structured description
designer collective agent,has valid recording method,identifier
designer collective agent,has valid recording method,IRI
designer collective agent of,has valid recording method,unstructured description
designer collective agent of,has valid recording method,structured description
designer collective agent of,has valid recording method,identifier
designer collective agent of,has valid recording method,IRI
