RDA element,alignment,LRM element
custodian agent of,broader,owns
custodian collective agent,broader,is owned by
custodian collective agent of,broader,owns
custodian corporate body,broader,is owned by
custodian corporate body of,broader,owns
custodian family,broader,is owned by
custodian family of,broader,owns
custodian person,broader,is owned by
custodian person of,broader,owns
dancer agent,broader,was created by expression
dancer agent of,broader,created expression
dancer collective agent,broader,was created by expression
dancer collective agent of,broader,created expression
dancer corporate body,broader,was created by expression
dancer corporate body of,broader,created expression
dancer family,broader,was created by expression
dancer family of,broader,created expression
dancer person,broader,was created by expression
dancer person of,broader,created expression
date of birth,broader,has association with time-span
date of birth of,broader,is associated with time-span
date of capture,broader,has association with time-span
date of capture of,broader,is associated with time-span
date of capture of representative expression,broader,has representative expression attribute
date of capture of representative expression of,broader,is associated with time-span
date of conference,broader,has association with time-span
date of conference of,broader,is associated with time-span
date of death,broader,has association with time-span
date of death of,broader,is associated with time-span
date of distribution,broader,has association with time-span
date of distribution of,broader,is associated with time-span
date of establishment,broader,has association with time-span
date of establishment of,broader,is associated with time-span
date of expression,broader,has association with time-span
date of expression of,broader,is associated with time-span
date of manifestation,broader,has association with time-span
date of manifestation of,broader,is associated with time-span
date of manufacture,broader,has association with time-span
date of manufacture of,broader,is associated with time-span
date of production,broader,has association with time-span
date of production of,broader,is associated with time-span
date of publication,broader,has association with time-span
date of publication of,broader,is associated with time-span
date of representative expression,broader,has representative expression attribute
date of representative expression of,broader,is associated with time-span
date of termination,broader,has association with time-span
date of termination of,broader,is associated with time-span
date of usage,broader,has association with time-span
date of usage of,broader,is associated with time-span
date of work,broader,has association with time-span
date of work of,broader,is associated with time-span
declination,broader,has category of work
dedicatee agent of item,broader,is associated with res
dedicatee agent of item of,broader,is associated with res
dedicatee agent of work,broader,is associated with res
dedicatee agent of work of,broader,is associated with res
dedicatee collective agent of item,broader,is associated with res
dedicatee collective agent of item of,broader,is associated with res
dedicatee collective agent of work,broader,is associated with res
dedicatee collective agent of work of,broader,is associated with res
dedicatee corporate body of item,broader,is associated with res
dedicatee corporate body of item of,broader,is associated with res
dedicatee corporate body of work,broader,is associated with res
dedicatee corporate body of work of,broader,is associated with res
dedicatee family of item,broader,is associated with res
dedicatee family of item of,broader,is associated with res
dedicatee family of work,broader,is associated with res
dedicatee family of work of,broader,is associated with res
dedicatee person of item,broader,is associated with res
dedicatee person of item of,broader,is associated with res
dedicatee person of work,broader,is associated with res
dedicatee person of work of,broader,is associated with res
dedicator agent,broader,was created by work
dedicator agent of,broader        rdfs:subPropertyOf        lrmer:R1,created work
dedicator collective agent,broader,was created by work
dedicator collective agent of,broader,created work
dedicator corporate body,broader,was created by work
dedicator corporate body of,broader,created work
dedicator family,broader,was created by work
dedicator family of,broader,created work
dedicator person,broader,was created by work
dedicator person of,broader,created work
defendant corporate body,broader,was created by work
defendant corporate body of,broader,created work
defendant person,broader,was created by work
defendant person of,broader,created work
degree committee member,broader,was created by work
degree committee member of,broader,created work
degree granting institution,broader,was created by work
degree granting institution of,broader,created work
degree supervisor,broader,was created by work
degree supervisor of,broader,created work
depositor agent,broader,is owned by
depositor agent of,broader,owns
depositor collective agent,broader,is owned by
depositor collective agent of,broader,owns
depositor corporate body,broader,is owned by
depositor corporate body of,broader,owns
depositor family,broader,is owned by
depositor family of,broader,owns
depositor person,broader,is owned by
depositor person of,broader,owns
derivation,equivalent,has derivation nomen
derivation of,equivalent,is derivation nomen of
derivative expression,equivalent,has derivation expression
derivative work,broader,was transformed into
descendant family of family,broader,succeeds collective agent
descendant family of family of,broader,precedes collective agent
descendant family of person,broader,is associated with res
descendant family of person of,broader,is associated with res
description of agent,broader,has as subject
description of collective agent,broader,has as subject
description of corporate body,broader,has as subject
description of expression,broader,has as subject
description of family,broader,has as subject
description of item,broader,has as subject
description of manifestation,broader,has as subject
description of nomen,broader,has as subject
description of person,broader,has as subject
description of place,broader,has as subject
description of RDA entity,broader,has as subject
description of timespan,broader,has as subject
description of work,broader,has as subject
designation of edition,broader,has appellation
designation of named revision of edition,broader,has appellation
designation of version,broader,has category of expression
designer agent,broader,was created by work
designer agent of,broader        rdfs:subPropertyOf        lrmer:R1,created work
designer collective agent,broader,was created by work
designer collective agent of,broader,created work
designer corporate body,broader,was created by work
designer corporate body of,broader,created work
designer family,broader,was created by work
designer family of,broader,created work
designer person,broader,was created by work
designer person of,broader,created work
details of applied material,broader,has note
details of aspect ratio designation,broader,has note
details of base material,broader,has note
details of bibliographic format,broader,has note
details of broadcast standard,broader,has note
details of cartographic content,broader,has note
details of cartographic data type,broader,has note
details of configuration of playback channels,broader,has note
details of digital file characteristic,broader,has note
details of digital representation of cartographic content,broader,has note
details of duration,broader,has note
details of emulsion on microfilm and microfiche,broader,has note
details of encoding format,broader,has note
details of file type,broader,has note
details of font size,broader,has note
details of form of musical notation,broader,has note
details of form of notated movement,broader,has note
details of form of tactile notation,broader,has note
details of format of notated music,broader,has note
details of generation,broader,has note
details of groove characteristic,broader,has note
details of layout,broader,has note
details of mount,broader,has note
details of playing speed,broader,has note
details of polarity,broader,has note
details of presentation format,broader,has note
details of production method,broader,has note
details of projection characteristic of motion picture film,broader,has note
details of projection speed,broader,has note
details of recording medium,broader,has note
details of reduction ratio designation,broader,has note
details of regional encoding,broader,has note
details of script,broader,has note
details of sound characteristic,broader,has note
details of special playback characteristic,broader,has note
details of tape configuration,broader,has note
details of track configuration,broader,has note
details of type of recording,broader,has note
details of video characteristic,broader,has note
details of video format,broader,has note
digest of expression,broader,is derivation expression of
digest of work,broader,is a transformation of
digested as expression,broader,has derivation expression
digested as work,broader,was transformed into
digital file characteristic,broader,has access conditions
digital representation of cartographic content,broader,has access conditions
digital transfer of item,broader,has reproduction item
digital transfer of item of,broader,is reproduction item of
digital transfer of manifestation,broader,has reproduction manifestation
digital transfer of manifestation of,broader,is reproduction manifestation of
dimensions,broader,has extent of manifestation
dimensions of cartographic image,broader,has extent of manifestation
dimensions of still image,broader,has extent of manifestation
director agent,broader,was created by work
director agent of,broader        rdfs:subPropertyOf        lrmer:R1,created work
director agent of photography,broader,was created by work
director agent of photography of,broader        rdfs:subPropertyOf        lrmer:R2,created work
director collective agent,broader,was created by work
director collective agent of,broader,created work
director collective agent of photography,broader,was created by work
director collective agent of photography of,broader,created work
director corporate body,broader,was created by work
director corporate body of,broader,created work
director corporate body of photography,broader,was created by work
director corporate body of photography of,broader,created work
director family,broader,was created by work
director family of,broader,created work
director family of photography,broader,was created by work
director family of photography of,broader,created work
director person,broader,was created by work
director person of,broader,created work
director person of photography,broader,was created by work
director person of photography of,broader,created work
dissertation or thesis information,broader,has note
distribution statement,broader,has manifestation statement
distributor agent,equivalent,is distributed by
distributor agent of,equivalent,distributes
distributor collective agent,broader,is distributed by
distributor collective agent of,broader,distributes
distributor corporate body,broader,is distributed by
distributor corporate body of,broader,distributes
distributor family,broader,is distributed by
distributor family of,broader,distributes
distributor person,broader,is distributed by
distributor person of,broader,distributes
DJ agent,broader,was created by expression
DJ agent of,broader,created expression
DJ collective agent,broader,was created by expression
DJ collective agent of,broader,created expression
DJ corporate body,broader,was created by expression
DJ corporate body of,broader,created expression
DJ family,broader,was created by expression
DJ family of,broader,created expression
DJ person,broader,was created by expression
DJ person of,broader,created expression
donor agent,broader,is owned by
donor agent of,broader,owns
donor collective agent,broader,is owned by
donor collective agent of,broader,owns
donor corporate body,broader,is owned by
donor corporate body of,broader,owns
donor family,broader,is owned by
donor family of,broader,owns
donor person,broader,is owned by
donor person of,broader,owns
draftsman agent,broader,was created by expression
draftsman agent of,broader,created expression
draftsman collective agent,broader,was created by expression
draftsman collective agent of,broader,created expression
draftsman corporate body,broader,was created by expression
draftsman corporate body of,broader,created expression
draftsman family,broader,was created by expression
draftsman family of,broader,created expression
draftsman person,broader,was created by expression
draftsman person of,broader,created expression
dramatization of expression,broader,has derivation expression
dramatization of work,broader,is a transformation of
dramatized as expression,broader,has derivation expression
dramatized as work,broader,was transformed into
dubbed version,broader,has derivation expression
dubbed version of,broader,is derivation expression of
dubbing director agent,broader,was created by expression
dubbing director agent of,broader,created expression
dubbing director collective agent,broader,was created by expression
dubbing director collective agent of,broader,created expression
dubbing director corporate body,broader,was created by expression
dubbing director corporate body of,broader,created expression
dubbing director family,broader,was created by expression
dubbing director family of,broader,created expression
dubbing director person,broader,was created by expression
dubbing director person of,broader,created expression
duration,broader,has extent of expression
duration of,broader,is associated with time-span
duration of representative expression,broader,has representative expression attribute
duration of representative expression of,broader,is associated with time-span
edition statement,broader,has manifestation statement
editor agent,broader,was created by expression
editor agent of,broader,created expression
editor agent of moving image work,broader,was created by expression
editor agent of moving image work of,broader,created expression
editor collective agent,broader,was created by expression
editor collective agent of,broader,created expression
editor collective agent of moving image work,broader,was created by expression
editor collective agent of moving image work of,broader,created expression
editor corporate body,broader,was created by expression
editor corporate body of,broader,created expression
editor corporate body of moving image work,broader,was created by expression
editor corporate body of moving image work of,broader,created expression
editor family,broader,was created by expression
editor family of,broader,created expression
editor family of moving image work,broader,was created by expression
editor family of moving image work of,broader,created expression
editor person,broader,was created by expression
editor person of,broader,created expression
editor person of moving image work,broader,was created by expression
editor person of moving image work of,broader,created expression
editorial director agent,broader        rdfs:subPropertyOf        lrmer:R3,was created by work
editorial director agent of,broader        rdfs:subPropertyOf        lrmer:R7,created work
editorial director collective agent,broader,was created by work
editorial director collective agent of,broader,created work
editorial director corporate body,broader,was created by work
editorial director corporate body of,broader,created work
editorial director family,broader,was created by work
editorial director family of,broader,created work
editorial director person,broader,was created by work
editorial director person of,broader,created work
electronic reproduction of item,broader,has reproduction item
electronic reproduction of item of,broader,is reproduction item of
electronic reproduction of manifestation,broader,has reproduction manifestation
electronic reproduction of manifestation of,broader,is reproduction manifestation of
employee,broader,has member
employer,broader,is member of
emulsion on microfilm and microfiche,broader,has category of carrier
enacting jurisdiction,broader,was created by work
enacting jurisdiction of,broader,created work
encoded bitrate,broader,has access conditions
encoding format,broader,has access conditions
ending,equivalent,has ending
ending of,broader,has association with time-span
engraver agent,broader,was manufactured by
engraver agent of,broader,manufactured
engraver collective agent,broader,was manufactured by
engraver collective agent of,broader,manufactured
engraver corporate body,broader,was manufactured by
engraver corporate body of,broader,manufactured
engraver family,broader,was manufactured by
engraver family of,broader,manufactured
engraver person,broader,was manufactured by
engraver person of,broader,manufactured
enrolled student,broader,is associated with res
epoch,broader,has category of work
epoch of,broader,is associated with time-span
equinox,broader,has category of work
equinox of,broader,is associated with time-span
equipment or system requirement,broader,has access conditions
equivalent item,broader,is associated with res
equivalent manifestation,broader,has reproduction manifestation
equivalent to,equivalent,is equivalent to
errata expression,broader,is associated with res
errata to expression,broader,is associated with res
errata to work,broader,is associated with res
errata work,broader,is associated with res
etcher agent,broader,was manufactured by
etcher agent of,broader,manufactured
etcher collective agent,broader,was manufactured by
etcher collective agent of,broader,manufactured
etcher corporate body,broader,was manufactured by
etcher corporate body of,broader,manufactured
etcher family,broader,was manufactured by
etcher family of,broader,manufactured
etcher person,broader,was manufactured by
etcher person of,broader,manufactured
evaluation of expression,broader,has as subject
evaluation of item,broader,has as subject
evaluation of manifestation,broader,has as subject
evaluation of RDA entity,broader,has as subject
evaluation of work,broader,has as subject
exemplar of manifestation,equivalent,is exemplified by
expanded as expression,broader,has derivation expression
expanded as work,broader,was transformed into
expanded version of expression,broader,is derivation expression of
expanded version of work,broader,is a transformation of
expression analysed in,broader,is subject of
expression commentary in,broader,is subject of
expression critiqued in,broader,is subject of
expression described in,broader,is subject of
expression evaluated in,broader,is subject of
expression manifested,equivalent,embodies
expression of work,equivalent,is realized through
expression reviewed in,broader,is subject of
extension plan,broader,has category of work
extent of expression,equivalent,has extent of expression
extent of manifestation,equivalent,has extent of manifestation
extent of representative expression,broader,has representative expression attribute
facsimile of item,broader,has reproduction item
facsimile of item of,broader,is reproduction item of
facsimile of manifestation,broader,has reproduction manifestation
facsimile of manifestation of,broader,is reproduction manifestation of
facsimile part,broader,is reproduction manifestation of
facsimile part of,broader,has reproduction manifestation
family described in,broader,is subject of
family history,broader,has note
family member of collective agent,broader,has member
family member of collective agent of,broader,is member of
family member of corporate body,broader,has member
family member of corporate body of,broader,is member of
family member of family,broader,has member
family member of family of,broader,is member of
fellow student,broader,is associated with res
field of activity of agent,equivalent,has field of activity
field of activity of collective agent,broader,has field of activity
field of activity of corporate body,broader,has field of activity
field of activity of family,broader,has field of activity
field of activity of person,broader,has field of activity
file size,broader,has access conditions
file type,broader,has access conditions
film director agent,broader,was created by work
film director agent of,broader,created work
film director collective agent,broader,was created by work
film director collective agent of,broader,created work
film director corporate body,broader,was created by work
film director corporate body of,broader,created work
film director family,broader,was created by work
film director family of,broader,created work
film director person,broader,was created by work
film director person of,broader,created work
film distributor agent,broader,is distributed by
film distributor agent of,broader,distributes
film distributor collective agent,broader,is distributed by
film distributor collective agent of,broader,distributes
film distributor corporate body,broader,is distributed by
film distributor corporate body of,broader,distributes
film distributor family,broader,is distributed by
film distributor family of,broader,distributes
film distributor person,broader,is distributed by
film distributor person of,broader,distributes
film producer agent,broader,was created by work
film producer agent of,broader,created work
film producer collective agent,broader,was created by work
film producer collective agent of,broader,created work
film producer corporate body,broader,was created by work
film producer corporate body of,broader,created work
film producer family,broader,was created by work
film producer family of,broader,created work
film producer person,broader,was created by work
film producer person of,broader,created work
filmed with item,broader,is associated with res
filmed with manifestation,broader,is associated with res
filmmaker agent,broader,was created by work
filmmaker agent of,broader        rdfs:subPropertyOf        lrmer:R8,created work
filmmaker collective agent,broader,was created by work
filmmaker collective agent of,broader,created work
filmmaker corporate body,broader,was created by work
filmmaker corporate body of,broader,created work
filmmaker family,broader,was created by work
filmmaker family of,broader,created work
filmmaker person,broader,was created by work
filmmaker person of,broader,created work
finding aid expression,broader,is associated with res
finding aid for expression,broader,is associated with res
finding aid for work,broader,is associated with res
finding aid work,broader,is associated with res
fingerprint,broader,has appellation
fingerprint of,broader,is appellation of
first alphanumeric designation of alternative sequence,broader,has appellation
first alphanumeric designation of alternative sequence of,broader,is appellation of
first alphanumeric designation of sequence,broader,has appellation
first alphanumeric designation of sequence of,broader,is appellation of
first chronological designation of alternative sequence,broader,has appellation
first chronological designation of alternative sequence of,broader,is appellation of
first chronological designation of sequence,broader,has appellation
first chronological designation of sequence of,broader,is appellation of
font point size,broader,has access conditions
font size,broader,has access conditions
form of musical notation,broader,has category of expression
form of notated movement,broader,has category of expression
form of notation,broader,has category of expression
form of tactile notation,broader,has category of expression
format of notated music,broader,has category of expression
former owner agent,broader,is owned by
former owner agent of,broader,owns
former owner collective agent,broader,is owned by
former owner collective agent of,broader,owns
former owner corporate body,broader,is owned by
former owner corporate body of,broader,owns
former owner family,broader,is owned by
former owner family of,broader,owns
former owner person,broader,is owned by
former owner person of,broader,owns
founded corporate body of agent,broader,is associated with res
founded corporate body of collective agent,broader,is associated with res
founded corporate body of corporate body,broader,is associated with res
founded corporate body of family,broader,is associated with res
founded corporate body of person,broader,is associated with res
founder agent of work,broader        rdfs:subPropertyOf        lrmer:R4,was created by work
founder agent of work of,broader        rdfs:subPropertyOf        lrmer:R8,created work
founder collective agent of work,broader,was created by work
founder collective agent of work of,broader,created work
founder corporate body of work,broader,was created by work
founder corporate body of work of,broader,created work
founder family of work,broader,was created by work
founder family of work of,broader,created work
founder person of work,broader,was created by work
founder person of work of,broader,created work
founding agent of corporate body,broader,is associated with res
founding collective agent of corporate body,broader,is associated with res
founding corporate body of corporate body,broader,is associated with res
founding family of corporate body,broader,is associated with res
founding person of corporate body,broader,is associated with res
free translation of expression,broader,is derivation expression of
free translation of work,broader,is a transformation of
freely translated as expression,broader,has derivation expression
freely translated as work,broader,was transformed into
frequency,broader,has category of work
friend,broader,is associated with res
fuller form of name,broader,has appellation
fuller form of name of,broader,is appellation of
gender,broader,has category of res
generation,broader,has category of carrier
given name,broader,has appellation
given name of,broader,is appellation of
graduate,broader,is associated with res
graduate of,broader,is associated with res
graphic novelization of expression,broader,has derivation expression
graphic novelization of work,broader,is a transformation of
groove characteristic,broader,has access conditions
groove pitch,broader,has access conditions
groove width,broader,has access conditions
guide expression,broader,is associated with res
guide to expression,broader,is associated with res
guide to work,broader,is associated with res
guide work,broader,is associated with res
hereditary term of honour,broader,has appellation
hierarchical subordinate,broader,has part collective agent
hierarchical superior,broader,is part collective agent of
history of work,broader,has note
honouree agent of item,broader,is associated with res
honouree agent of item of,broader,is associated with res
honouree agent of work,broader,is associated with res
honouree agent of work of,broader,is associated with res
honouree collective agent of item,broader,is associated with res
honouree collective agent of item of,broader,is associated with res
honouree collective agent of work,broader,is associated with res
honouree collective agent of work of,broader,is associated with res
honouree corporate body of item,broader,is associated with res
honouree corporate body of item of,broader,is associated with res
honouree corporate body of work,broader,is associated with res
honouree corporate body of work of,broader,is associated with res
honouree family of item,broader,is associated with res
honouree family of item of,broader,is associated with res
honouree family of work,broader,is associated with res
honouree family of work of,broader,is associated with res
honouree person of item,broader,is associated with res
honouree person of item of,broader,is associated with res
honouree person of work,broader,is associated with res
honouree person of work of,broader,is associated with res
horizontal scale of cartographic content,broader,has extent of expression
host agent,broader,was created by expression
host agent of,broader,created expression
host collective agent,broader,was created by expression
host collective agent of,broader,created expression
host corporate body,broader,was created by expression
host corporate body of,broader,created expression
host family,broader,was created by expression
host family of,broader,created expression
host person,broader,was created by expression
host person of,broader,created expression
hosting institution,broader,is associated with res
hosting institution of,broader,is associated with res
identifier for agent,broader,has appellation
identifier for agent of,broader,is appellation of
identifier for collective agent,broader,has appellation
identifier for collective agent of,broader,is appellation of
identifier for corporate body,broader,has appellation
identifier for corporate body of,broader,is appellation of
identifier for expression,broader,has appellation
identifier for expression of,broader,is appellation of
identifier for family,broader,has appellation
identifier for family of,broader,is appellation of
identifier for item,broader,has appellation
identifier for item of,broader,is appellation of
identifier for manifestation,broader,has appellation
identifier for manifestation of,broader,is appellation of
identifier for person,broader,has appellation
identifier for person of,broader,is appellation of
identifier for place,broader,has appellation
identifier for place of,broader,is appellation of
identifier for RDA entity,broader,has appellation
identifier for RDA entity of,broader,is appellation of
identifier for timespan,broader,has appellation
identifier for timespan of,broader,is appellation of
identifier for work,broader,has appellation
identifier for work group,broader,has appellation
identifier for work group of,broader,is appellation of
identifier for work of,broader,is appellation of
illuminator agent,broader,was modified by
illuminator agent of,broader,modified
illuminator collective agent,broader,was modified by
illuminator collective agent of,broader,modified
illuminator corporate body,broader,was modified by
illuminator corporate body of,broader,modified
illuminator family,broader,was modified by
illuminator family of,broader,modified
illuminator person,broader,was modified by
illuminator person of,broader,modified
illustrations expression,broader,is associated with res
illustrations for expression,broader,is associated with res
illustrations for work,broader,is associated with res
illustrations work,broader,is associated with res
illustrative content,broader,has note
imitated as expression,broader,has derivation expression
imitated as work,broader,was transformed into
imitation of expression,broader,is derivation expression of
imitation of work,broader,is a transformation of
immediate source of acquisition of item,broader,has note
incidental music expression,broader,is associated with res
incidental music for expression,broader,is associated with res
incidental music for work,broader,accompanies or complements
incidental music work,broader,accompanies or complements
index expression,broader,is associated with res
index to expression,broader,is associated with res
index to work,broader,is associated with res
index work,broader,is associated with res
indexed in expression,broader,has derivation expression
indexed in work,broader,was transformed into
indexing for expression,broader,is derivation expression of
indexing for work,broader,is a transformation of
inscriber,broader,was modified by
inscriber of,broader,modified
insert,broader,is associated with res
inserted in,broader,is associated with res
inspiration for,equivalent,is inspiration for
inspired by,equivalent,is inspired by
instructor agent,broader,was created by expression
instructor agent of,broader,created expression
instructor collective agent,broader,was created by expression
instructor collective agent of,broader,created expression
instructor corporate body,broader,was created by expression
instructor corporate body of,broader,created expression
instructor family,broader,was created by expression
instructor family of,broader,created expression
instructor person,broader,was created by expression
instructor person of,broader,created expression
instrumental conductor agent,broader,was created by expression
instrumental conductor agent of,broader,created expression
instrumental conductor collective agent,broader,was created by expression
instrumental conductor collective agent of,broader,created expression
instrumental conductor corporate body,broader,was created by expression
instrumental conductor corporate body of,broader,created expression
instrumental conductor family,broader,was created by expression
instrumental conductor family of,broader,created expression
instrumental conductor person,broader,was created by expression
instrumental conductor person of,broader,created expression
instrumentalist agent,broader,was created by expression
instrumentalist agent of,broader,created expression
instrumentalist collective agent,broader,was created by expression
instrumentalist collective agent of,broader,created expression
instrumentalist corporate body,broader,was created by expression
instrumentalist corporate body of,broader,created expression
instrumentalist family,broader,was created by expression
instrumentalist family of,broader,created expression
instrumentalist person,broader,was created by expression
instrumentalist person of,broader,created expression
intended audience of expression,equivalent,has intended audience of expression
intended audience of manifestation,broader,has intended audience of manifestation
intended audience of nomen,equivalent,has intended audience of nomen
intended audience of representative expression,broader,has representative expression attribute
interactivity mode,broader,has category of expression
interviewee agent of expression,broader,was created by expression
interviewee agent of expression of,broader,created expression
interviewee agent of work,broader,was created by work
interviewee agent of work of,broader        rdfs:subPropertyOf        lrmer:R4,created work
interviewee collective agent of expression,broader,was created by expression
interviewee collective agent of expression of,broader,created expression
interviewee collective agent of work,broader,was created by work
interviewee collective agent of work of,broader,created work
interviewee corporate body of expression,broader,was created by expression
interviewee corporate body of expression of,broader,created expression
interviewee corporate body of work,broader,was created by work
interviewee corporate body of work of,broader,created work
interviewee family of expression,broader,was created by expression
interviewee family of expression of,broader,created expression
interviewee family of work,broader,was created by work
interviewee family of work of,broader,created work
interviewee person of expression,broader,was created by expression
interviewee person of expression of,broader,created expression
interviewee person of work,broader,was created by work
interviewee person of work of,broader,created work
interviewer agent of expression,broader,was created by expression
interviewer agent of expression of,broader,created expression
interviewer agent of work,broader,was created by work
interviewer agent of work of,broader        rdfs:subPropertyOf        lrmer:R2,created work
interviewer collective agent of expression,broader,was created by expression
interviewer collective agent of expression of,broader,created expression
interviewer collective agent of work,broader,was created by work
interviewer collective agent of work of,broader,created work
interviewer corporate body of expression,broader,was created by expression
interviewer corporate body of expression of,broader,created expression
interviewer corporate body of work,broader,was created by work
interviewer corporate body of work of,broader,created work
interviewer family of expression,broader,was created by expression
interviewer family of expression of,broader,created expression
interviewer family of work,broader,was created by work
interviewer family of work of,broader,created work
interviewer person of expression,broader,was created by expression
interviewer person of expression of,broader,created expression
interviewer person of work,broader,was created by work
interviewer person of work of,broader,created work
inventor agent,broader,was created by work
inventor agent of,broader        rdfs:subPropertyOf        lrmer:R1,created work
inventor collective agent,broader,was created by work
inventor collective agent of,broader,created work
inventor corporate body,broader,was created by work
inventor corporate body of,broader,created work
inventor family,broader,was created by work
inventor family of,broader,created work
inventor person,broader,was created by work
inventor person of,broader,created work
ISSN,broader,has appellation
ISSN of,broader,is appellation of
issue,broader,is inspiration for
issue of,broader,is inspired by
issued with,broader,is associated with res
issuing body agent,broader,was created by work
issuing body agent of,broader        rdfs:subPropertyOf        lrmer:R1,created work
issuing body collective agent,broader,was created by work
issuing body collective agent of,broader,created work
issuing body corporate body,broader,was created by work
issuing body corporate body of,broader,created work
issuing body family,broader,was created by work
issuing body family of,broader,created work
issuing body person,broader,was created by work
issuing body person of,broader,created work
item analysed in,broader,is subject of
item commentary in,broader,is subject of
item critiqued in,broader,is subject of
item described in,broader,is subject of
item evaluated in,broader,is subject of
item reviewed in,broader,is subject of
jointly held conference,broader,is associated with res
judge,broader,was created by work
judge of,broader,created work
jurisdiction governed,broader,is associated with res
jurisdiction governed of,broader,is associated with place
key of expression,equivalent,has key
key of representative expression,broader,has representative expression attribute
key title,broader,has appellation
key title of,broader,is appellation of
landscape architect agent,broader,was created by work
landscape architect agent of,broader,created work
landscape architect collective agent,broader,was created by work
landscape architect collective agent of,broader,created work
landscape architect corporate body,broader,was created by work
landscape architect corporate body of,broader,created work
landscape architect family,broader,was created by work
landscape architect family of,broader,created work
landscape architect person,broader,was created by work
landscape architect person of,broader,created work
language of agent,equivalent,has language of agent
language of collective agent,broader,has language of agent
language of corporate body,broader,has language of agent
language of expression,equivalent,has language of expression
language of family,broader,has language of agent
language of nomen,equivalent,has language of nomen
language of person,broader,has language of agent
language of representative expression,broader,has representative expression attribute
language version,broader,was transformed into
language version of,broader,is a transformation of
last alphanumeric designation of alternative sequence,broader,has appellation
last alphanumeric designation of alternative sequence of,broader,is appellation of
last alphanumeric designation of sequence,broader,has appellation
last alphanumeric designation of sequence of,broader,is appellation of
last chronological designation of alternative sequence,broader,has appellation
last chronological designation of alternative sequence of,broader,is appellation of
last chronological designation of sequence,broader,has appellation
last chronological designation of sequence of,broader,is appellation of
latitude,broader,has category of work
layout,broader,has category of carrier
letterer agent,broader,was created by expression
letterer agent of,broader,created expression
letterer collective agent,broader,was created by expression
letterer collective agent of,broader,created expression
letterer corporate body,broader,was created by expression
letterer corporate body of,broader,created expression
letterer family,broader,was created by expression
letterer family of,broader,created expression
letterer person,broader,was created by expression
letterer person of,broader,created expression
librettist agent,broader,was created by work
librettist agent of,broader,created work
librettist collective agent,broader,was created by work
librettist collective agent of,broader,created work
librettist corporate body,broader,was created by work
librettist corporate body of,broader,created work
librettist family,broader,was created by work
librettist family of,broader,created work
librettist person,broader,was created by work
librettist person of,broader,created work
libretto based on expression,broader,has derivation expression
libretto based on work,broader,is a transformation of
libretto expression,broader,is associated with res
libretto for expression,broader,is associated with res
libretto for work,broader,accompanies or complements
libretto work,broader,accompanies or complements
lighting designer agent,broader,was created by expression
lighting designer agent of,broader,created expression
lighting designer collective agent,broader,was created by expression
lighting designer collective agent of,broader,created expression
lighting designer corporate body,broader,was created by expression
lighting designer corporate body of,broader,created expression
lighting designer family,broader,was created by expression
lighting designer family of,broader,created expression
lighting designer person,broader,was created by expression
lighting designer person of,broader,created expression
lithographer agent,broader,was manufactured by
lithographer agent of,broader,manufactured
lithographer collective agent,broader,was manufactured by
lithographer collective agent of,broader,manufactured
lithographer corporate body,broader,was manufactured by
lithographer corporate body of,broader,manufactured
lithographer family,broader,was manufactured by
lithographer family of,broader,manufactured
lithographer person,broader,was manufactured by
lithographer person of,broader,manufactured
local affiliate,broader,is associated with res
location,equivalent,has location of place
longitude,broader,has category of work
longitude and latitude,broader,has category of work
longitude and latitude of,broader,is associated with place
lyricist agent,broader,was created by work
lyricist agent of,broader,created work
lyricist collective agent,broader,was created by work
lyricist collective agent of,broader,created work
lyricist corporate body,broader,was created by work
lyricist corporate body of,broader,created work
lyricist family,broader,was created by work
lyricist family of,broader,created work
lyricist person,broader,was created by work
lyricist person of,broader,created work
lyrics for work,broader,accompanies or complements
lyrics work,broader,accompanies or complements
makeup artist agent,broader,was created by expression
makeup artist agent of,broader,created expression
makeup artist collective agent,broader,was created by expression
makeup artist collective agent of,broader,created expression
makeup artist corporate body,broader,was created by expression
makeup artist corporate body of,broader,created expression
makeup artist family,broader,was created by expression
makeup artist family of,broader,created expression
makeup artist person,broader,was created by expression
makeup artist person of,broader,created expression
manifestation analysed in,broader,is subject of
manifestation commentary in,broader,is subject of
manifestation copyright statement,broader,has manifestation statement
manifestation critiqued in,broader,is subject of
manifestation described in,broader,is subject of
manifestation designation of sequence statement,broader,has manifestation statement
manifestation dissertation statement,broader,has manifestation statement
manifestation distribution statement,broader,has manifestation statement
manifestation edition statement,broader,has manifestation statement
manifestation evaluated in,broader,is subject of
manifestation exemplified,equivalent,exemplifies
manifestation frequency statement,broader,has manifestation statement
manifestation identifier statement,broader,has manifestation statement
manifestation manufacture statement,broader,has manifestation statement
manifestation of expression,equivalent,is embodied in
manifestation of work,broader,is associated with res
manifestation production statement,broader,has manifestation statement
manifestation publication statement,broader,has manifestation statement
manifestation regional encoding statement,broader,has manifestation statement
manifestation reviewed in,broader,is subject of
manifestation series statement,broader,has manifestation statement
manifestation statement,equivalent,has manifestation statement
manifestation title and responsibility statement,broader,has manifestation statement
manufacture statement,broader,has manifestation statement
manufacturer agent,equivalent,was manufactured by
manufacturer agent of,equivalent,manufactured
manufacturer collective agent,broader,was manufactured by
manufacturer collective agent of,broader,manufactured
