RDA element,RDA recording method,Alignment,M21 Bibliographic encoding
source work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
source work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
source work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
source work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
source work,identifier,aligns with,700 ** $0
source work,identifier,aligns with,700 ** $x
source work,identifier,aligns with,710 ** $0
source work,identifier,aligns with,710 ** $x
source work,identifier,aligns with,711 ** $0
source work,identifier,aligns with,711 ** $x
source work,identifier,aligns with,730 ** $0
source work,identifier,aligns with,730 ** $x
source work,identifier,aligns with,787 ** $o
source work,identifier,aligns with,787 ** $r
source work,identifier,aligns with,787 ** $u
source work,identifier,aligns with,787 ** $w
source work,identifier,aligns with,787 ** $x
source work,identifier,aligns with,787 ** $y
source work,IRI,aligns with,700 ** $1
source work,IRI,aligns with,710 ** $1
source work,IRI,aligns with,711 ** $1
source work,IRI,aligns with,730 ** $1
continued by work,unstructured description,aligns with,500 ** $a
continued by work,structured description,aligns with,"785 *0 $a, c, g, m, n, s, t"
continued by work,identifier,aligns with,785 *0 $o
continued by work,identifier,aligns with,785 *0 $r
continued by work,identifier,aligns with,785 *0 $u
continued by work,identifier,aligns with,785 *0 $w
continued by work,identifier,aligns with,785 *0 $x
continued by work,identifier,aligns with,785 *0 $y
augmentation of work,unstructured description,aligns with,500 ** $a
augmentation of work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
augmentation of work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
augmentation of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
augmentation of work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
augmentation of work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
augmentation of work,identifier,aligns with,700 ** $0
augmentation of work,identifier,aligns with,700 ** $x
augmentation of work,identifier,aligns with,710 ** $0
augmentation of work,identifier,aligns with,710 ** $x
augmentation of work,identifier,aligns with,711 ** $0
augmentation of work,identifier,aligns with,711 ** $x
augmentation of work,identifier,aligns with,730 ** $0
augmentation of work,identifier,aligns with,730 ** $x
augmentation of work,identifier,aligns with,787 ** $o
augmentation of work,identifier,aligns with,787 ** $r
augmentation of work,identifier,aligns with,787 ** $u
augmentation of work,identifier,aligns with,787 ** $w
augmentation of work,identifier,aligns with,787 ** $x
augmentation of work,identifier,aligns with,787 ** $y
augmentation of work,IRI,aligns with,700 ** $1
augmentation of work,IRI,aligns with,710 ** $1
augmentation of work,IRI,aligns with,711 ** $1
augmentation of work,IRI,aligns with,730 ** $1
abstracts for work,unstructured description,aligns with,500 ** $a
abstracts for work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
abstracts for work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
abstracts for work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
abstracts for work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
abstracts for work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
abstracts for work,identifier,aligns with,700 ** $0
abstracts for work,identifier,aligns with,700 ** $x
abstracts for work,identifier,aligns with,710 ** $0
abstracts for work,identifier,aligns with,710 ** $x
abstracts for work,identifier,aligns with,711 ** $0
abstracts for work,identifier,aligns with,711 ** $x
abstracts for work,identifier,aligns with,730 ** $0
abstracts for work,identifier,aligns with,730 ** $x
abstracts for work,identifier,aligns with,787 ** $o
abstracts for work,identifier,aligns with,787 ** $r
abstracts for work,identifier,aligns with,787 ** $u
abstracts for work,identifier,aligns with,787 ** $w
abstracts for work,identifier,aligns with,787 ** $x
abstracts for work,identifier,aligns with,787 ** $y
abstracts for work,IRI,aligns with,700 ** $1
abstracts for work,IRI,aligns with,710 ** $1
abstracts for work,IRI,aligns with,711 ** $1
abstracts for work,IRI,aligns with,730 ** $1
indexing for work,unstructured description,aligns with,500 ** $a
indexing for work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
indexing for work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
indexing for work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
indexing for work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
indexing for work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
indexing for work,identifier,aligns with,700 ** $0
indexing for work,identifier,aligns with,700 ** $x
indexing for work,identifier,aligns with,710 ** $0
indexing for work,identifier,aligns with,710 ** $x
indexing for work,identifier,aligns with,711 ** $0
indexing for work,identifier,aligns with,711 ** $x
indexing for work,identifier,aligns with,730 ** $0
indexing for work,identifier,aligns with,730 ** $x
indexing for work,identifier,aligns with,787 ** $o
indexing for work,identifier,aligns with,787 ** $r
indexing for work,identifier,aligns with,787 ** $u
indexing for work,identifier,aligns with,787 ** $w
indexing for work,identifier,aligns with,787 ** $x
indexing for work,identifier,aligns with,787 ** $y
indexing for work,IRI,aligns with,700 ** $1
indexing for work,IRI,aligns with,710 ** $1
indexing for work,IRI,aligns with,711 ** $1
indexing for work,IRI,aligns with,730 ** $1
imitation of work,unstructured description,aligns with,500 ** $a
imitation of work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
imitation of work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
imitation of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
imitation of work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
imitation of work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
imitation of work,identifier,aligns with,700 ** $0
imitation of work,identifier,aligns with,700 ** $x
imitation of work,identifier,aligns with,710 ** $0
imitation of work,identifier,aligns with,710 ** $x
imitation of work,identifier,aligns with,711 ** $0
imitation of work,identifier,aligns with,711 ** $x
imitation of work,identifier,aligns with,730 ** $0
imitation of work,identifier,aligns with,730 ** $x
imitation of work,identifier,aligns with,787 ** $o
imitation of work,identifier,aligns with,787 ** $r
imitation of work,identifier,aligns with,787 ** $u
imitation of work,identifier,aligns with,787 ** $w
imitation of work,identifier,aligns with,787 ** $x
imitation of work,identifier,aligns with,787 ** $y
imitation of work,IRI,aligns with,700 ** $1
imitation of work,IRI,aligns with,710 ** $1
imitation of work,IRI,aligns with,711 ** $1
imitation of work,IRI,aligns with,730 ** $1
parody of work,unstructured description,aligns with,500 ** $a
parody of work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
parody of work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
parody of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
parody of work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
parody of work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
parody of work,identifier,aligns with,700 ** $0
parody of work,identifier,aligns with,700 ** $x
parody of work,identifier,aligns with,710 ** $0
parody of work,identifier,aligns with,710 ** $x
parody of work,identifier,aligns with,711 ** $0
parody of work,identifier,aligns with,711 ** $x
parody of work,identifier,aligns with,730 ** $0
parody of work,identifier,aligns with,730 ** $x
parody of work,identifier,aligns with,787 ** $o
parody of work,identifier,aligns with,787 ** $r
parody of work,identifier,aligns with,787 ** $u
parody of work,identifier,aligns with,787 ** $w
parody of work,identifier,aligns with,787 ** $x
parody of work,identifier,aligns with,787 ** $y
parody of work,IRI,aligns with,700 ** $1
parody of work,IRI,aligns with,710 ** $1
parody of work,IRI,aligns with,711 ** $1
parody of work,IRI,aligns with,730 ** $1
related work of work,unstructured description,aligns with,500 ** $a
related work of work,structured description,aligns with,600 ** $
related work of work,structured description,aligns with,610 ** $
related work of work,structured description,aligns with,611 ** $
related work of work,structured description,aligns with,630 ** $
related work of work,structured description,aligns with,700 ** $
related work of work,structured description,aligns with,710 ** $
related work of work,structured description,aligns with,711 ** $
related work of work,structured description,aligns with,730 ** $
related work of work,structured description,aligns with,760 ** $
related work of work,structured description,aligns with,762 ** $
related work of work,structured description,aligns with,770 ** $
related work of work,structured description,aligns with,772 ** $
related work of work,structured description,aligns with,773 ** $
related work of work,structured description,aligns with,774 ** $
related work of work,structured description,aligns with,780 ** $
related work of work,structured description,aligns with,785 ** $
related work of work,structured description,aligns with,786 ** $
related work of work,structured description,aligns with,787 ** $
related work of work,structured description,aligns with,800 ** $
related work of work,structured description,aligns with,810 ** $
related work of work,structured description,aligns with,811 ** $
related work of work,structured description,aligns with,830 ** $
related work of work,identifier,aligns with,600 ** $0
related work of work,identifier,aligns with,610 ** $0
related work of work,identifier,aligns with,611 ** $0
related work of work,identifier,aligns with,630 ** $0
related work of work,identifier,aligns with,700 ** $0
related work of work,identifier,aligns with,710 ** $0
related work of work,identifier,aligns with,710 ** $x
related work of work,identifier,aligns with,711 ** $0
related work of work,identifier,aligns with,711 ** $x
related work of work,identifier,aligns with,730 ** $0
related work of work,identifier,aligns with,730 ** $x
related work of work,identifier,aligns with,760 ** $o
related work of work,identifier,aligns with,760 ** $w
related work of work,identifier,aligns with,760 ** $x
related work of work,identifier,aligns with,760 ** $y
related work of work,identifier,aligns with,762 ** $o
related work of work,identifier,aligns with,762 ** $w
related work of work,identifier,aligns with,762 ** $x
related work of work,identifier,aligns with,762 ** $y
related work of work,identifier,aligns with,770 ** $o
related work of work,identifier,aligns with,770 ** $r
related work of work,identifier,aligns with,770 ** $u
related work of work,identifier,aligns with,770 ** $w
related work of work,identifier,aligns with,770 ** $x
related work of work,identifier,aligns with,770 ** $y
related work of work,identifier,aligns with,772 ** $o
related work of work,identifier,aligns with,772 ** $r
related work of work,identifier,aligns with,772 ** $u
related work of work,identifier,aligns with,772 ** $w
related work of work,identifier,aligns with,772 ** $x
related work of work,identifier,aligns with,772 ** $y
related work of work,identifier,aligns with,773 ** $o
related work of work,identifier,aligns with,773 ** $r
related work of work,identifier,aligns with,773 ** $u
related work of work,identifier,aligns with,773 ** $w
related work of work,identifier,aligns with,773 ** $x
related work of work,identifier,aligns with,773 ** $y
related work of work,identifier,aligns with,774 ** $o
related work of work,identifier,aligns with,774 ** $r
related work of work,identifier,aligns with,774 ** $u
related work of work,identifier,aligns with,774 ** $w
related work of work,identifier,aligns with,774 ** $x
related work of work,identifier,aligns with,774 ** $y
related work of work,identifier,aligns with,780 ** $o
related work of work,identifier,aligns with,780 ** $r
related work of work,identifier,aligns with,780 ** $u
related work of work,identifier,aligns with,780 ** $w
related work of work,identifier,aligns with,780 ** $x
related work of work,identifier,aligns with,780 ** $y
related work of work,identifier,aligns with,785 ** $o
related work of work,identifier,aligns with,785 ** $r
related work of work,identifier,aligns with,785 ** $u
related work of work,identifier,aligns with,785 ** $w
related work of work,identifier,aligns with,785 ** $x
related work of work,identifier,aligns with,785 ** $y
related work of work,identifier,aligns with,786 ** $o
related work of work,identifier,aligns with,786 ** $r
related work of work,identifier,aligns with,786 ** $u
related work of work,identifier,aligns with,786 ** $w
related work of work,identifier,aligns with,786 ** $x
related work of work,identifier,aligns with,786 ** $y
related work of work,identifier,aligns with,787 ** $o
related work of work,identifier,aligns with,787 ** $r
related work of work,identifier,aligns with,787 ** $u
related work of work,identifier,aligns with,787 ** $w
related work of work,identifier,aligns with,787 ** $x
related work of work,identifier,aligns with,787 ** $y
related work of work,identifier,aligns with,800 ** $0
related work of work,identifier,aligns with,800 ** $w
related work of work,identifier,aligns with,800 ** $x
related work of work,identifier,aligns with,810 ** $0
related work of work,identifier,aligns with,810 ** $w
related work of work,identifier,aligns with,810 ** $x
related work of work,identifier,aligns with,811 ** $0
related work of work,identifier,aligns with,811 ** $w
related work of work,identifier,aligns with,811 ** $x
related work of work,identifier,aligns with,830 ** $0
related work of work,identifier,aligns with,830 ** $w
related work of work,identifier,aligns with,830 ** $x
related work of work,IRI,aligns with,600 ** $1
related work of work,IRI,aligns with,610 ** $1
related work of work,IRI,aligns with,611 ** $1
related work of work,IRI,aligns with,630 ** $1
related work of work,IRI,aligns with,700 ** $1
related work of work,IRI,aligns with,710 ** $1
related work of work,IRI,aligns with,711 ** $1
related work of work,IRI,aligns with,730 ** $1
related work of work,IRI,aligns with,800 ** $1
related work of work,IRI,aligns with,810 ** $1
related work of work,IRI,aligns with,811 ** $1
related work of work,IRI,aligns with,830 ** $1
epoch,unstructured description,aligns with,500 ** $a
epoch,structured description,aligns with,255 ** $e
landscape architect agent,unstructured description,aligns with,500 ** $a
landscape architect agent,structured description,aligns with,"100 ** $a, b, c, d, g, q, u"
landscape architect agent,structured description,aligns with,"110 ** $a, b, c, d, g, u"
landscape architect agent,structured description,aligns with,"700 ** $a, b, c, d, g, q, u"
landscape architect agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
landscape architect agent,identifier,aligns with,100 ** $0
landscape architect agent,identifier,aligns with,110 ** $0
landscape architect agent,identifier,aligns with,700 ** $0
landscape architect agent,identifier,aligns with,710 ** $0
landscape architect agent,IRI,aligns with,100 ** $1
landscape architect agent,IRI,aligns with,110 ** $1
landscape architect agent,IRI,aligns with,700 ** $1
landscape architect agent,IRI,aligns with,710 ** $1
finding aid for work,unstructured description,aligns with,500 ** $a
finding aid for work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
finding aid for work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
finding aid for work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
finding aid for work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
finding aid for work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
finding aid for work,identifier,aligns with,700 ** $0
finding aid for work,identifier,aligns with,700 ** $x
finding aid for work,identifier,aligns with,710 ** $0
finding aid for work,identifier,aligns with,710 ** $x
finding aid for work,identifier,aligns with,711 ** $0
finding aid for work,identifier,aligns with,711 ** $x
finding aid for work,identifier,aligns with,730 ** $0
finding aid for work,identifier,aligns with,730 ** $x
finding aid for work,identifier,aligns with,787 ** $o
finding aid for work,identifier,aligns with,787 ** $r
finding aid for work,identifier,aligns with,787 ** $u
finding aid for work,identifier,aligns with,787 ** $w
finding aid for work,identifier,aligns with,787 ** $x
finding aid for work,identifier,aligns with,787 ** $y
finding aid for work,IRI,aligns with,700 ** $1
finding aid for work,IRI,aligns with,710 ** $1
finding aid for work,IRI,aligns with,711 ** $1
finding aid for work,IRI,aligns with,730 ** $1
sculptor agent,unstructured description,aligns with,500 ** $a
sculptor agent,structured description,aligns with,"100 ** $a, b, c, d, g, q, u"
sculptor agent,structured description,aligns with,"110 ** $a, b, c, d, g, u"
sculptor agent,structured description,aligns with,"700 ** $a, b, c, d, g, q, u"
sculptor agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
sculptor agent,identifier,aligns with,100 ** $0
sculptor agent,identifier,aligns with,110 ** $0
sculptor agent,identifier,aligns with,700 ** $0
sculptor agent,identifier,aligns with,710 ** $0
sculptor agent,IRI,aligns with,100 ** $1
sculptor agent,IRI,aligns with,110 ** $1
sculptor agent,IRI,aligns with,700 ** $1
sculptor agent,IRI,aligns with,710 ** $1
screenwriter agent,unstructured description,aligns with,500 ** $a
screenwriter agent,unstructured description,aligns with,508 ** $a
screenwriter agent,structured description,aligns with,"100 ** $a, b, c, d, g, q, u"
screenwriter agent,structured description,aligns with,"110 ** $a, b, c, d, g, u"
screenwriter agent,structured description,aligns with,"700 ** $a, b, c, d, g, q, u"
screenwriter agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
screenwriter agent,identifier,aligns with,100 ** $0
screenwriter agent,identifier,aligns with,110 ** $0
screenwriter agent,identifier,aligns with,700 ** $0
screenwriter agent,identifier,aligns with,710 ** $0
screenwriter agent,IRI,aligns with,100 ** $1
screenwriter agent,IRI,aligns with,110 ** $1
screenwriter agent,IRI,aligns with,700 ** $1
screenwriter agent,IRI,aligns with,710 ** $1
lyricist agent,unstructured description,aligns with,500 ** $a
lyricist agent,structured description,aligns with,"100 ** $a, b, c, d, g, q, u"
lyricist agent,structured description,aligns with,"110 ** $a, b, c, d, g, u"
lyricist agent,structured description,aligns with,"700 ** $a, b, c, d, g, q, u"
lyricist agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
lyricist agent,identifier,aligns with,100 ** $0
lyricist agent,identifier,aligns with,110 ** $0
lyricist agent,identifier,aligns with,700 ** $0
lyricist agent,identifier,aligns with,710 ** $0
lyricist agent,IRI,aligns with,100 ** $1
lyricist agent,IRI,aligns with,110 ** $1
lyricist agent,IRI,aligns with,700 ** $1
lyricist agent,IRI,aligns with,710 ** $1
librettist agent,unstructured description,aligns with,500 ** $a
librettist agent,structured description,aligns with,"100 ** $a, b, c, d, g, q, u"
librettist agent,structured description,aligns with,"110 ** $a, b, c, d, g, u"
librettist agent,structured description,aligns with,"700 ** $a, b, c, d, g, q, u"
librettist agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
librettist agent,identifier,aligns with,100 ** $0
librettist agent,identifier,aligns with,110 ** $0
librettist agent,identifier,aligns with,700 ** $0
librettist agent,identifier,aligns with,710 ** $0
librettist agent,IRI,aligns with,100 ** $1
librettist agent,IRI,aligns with,110 ** $1
librettist agent,IRI,aligns with,700 ** $1
librettist agent,IRI,aligns with,710 ** $1
replacement in part of work,unstructured description,aligns with,500 ** $a
replacement in part of work,structured description,aligns with,"780 *3 $a, c, g, m, n, s, t"
replacement in part of work,identifier,aligns with,780 *3 $o
replacement in part of work,identifier,aligns with,780 *3 $r
replacement in part of work,identifier,aligns with,780 *3 $u
replacement in part of work,identifier,aligns with,780 *3 $w
replacement in part of work,identifier,aligns with,780 *3 $x
replacement in part of work,identifier,aligns with,780 *3 $y
replacement of work,unstructured description,aligns with,500 ** $a
replacement of work,structured description,aligns with,"780 *2 $a, c, g, m, n, s, t"
replacement of work,identifier,aligns with,780 *2 $o
replacement of work,identifier,aligns with,780 *2 $r
replacement of work,identifier,aligns with,780 *2 $u
replacement of work,identifier,aligns with,780 *2 $w
replacement of work,identifier,aligns with,780 *2 $x
replacement of work,identifier,aligns with,780 *2 $y
dissertation or thesis information,unstructured description,aligns with,502 ** $a
dissertation or thesis information,structured description,aligns with,"502 ** $b, c, d, g, o"
history of work,unstructured description,aligns with,500 ** $a
split into work,unstructured description,aligns with,500 ** $a
split into work,structured description,aligns with,"785 *6 $a, c, g, m, n, s, t"
split into work,identifier,aligns with,785 *6 $o
split into work,identifier,aligns with,785 *6 $r
split into work,identifier,aligns with,785 *6 $u
split into work,identifier,aligns with,785 *6 $w
split into work,identifier,aligns with,785 *6 $x
split into work,identifier,aligns with,785 *6 $y
merged to form work,unstructured description,aligns with,500 ** $a
merged to form work,structured description,aligns with,"785 *7 $a, c, g, m, n, s, t"
merged to form work,identifier,aligns with,785 *7 $o
merged to form work,identifier,aligns with,785 *7 $r
merged to form work,identifier,aligns with,785 *7 $u
merged to form work,identifier,aligns with,785 *7 $w
merged to form work,identifier,aligns with,785 *7 $x
merged to form work,identifier,aligns with,785 *7 $y
merger of work,unstructured description,aligns with,500 ** $a
merger of work,structured description,aligns with,"780 *4 $a, c, g, m, n, s, t"
merger of work,identifier,aligns with,780 *4 $o
merger of work,identifier,aligns with,780 *4 $r
merger of work,identifier,aligns with,780 *4 $u
merger of work,identifier,aligns with,780 *4 $w
merger of work,identifier,aligns with,780 *4 $x
merger of work,identifier,aligns with,780 *4 $y
equinox,unstructured description,aligns with,500 ** $a
equinox,structured description,aligns with,034 ** $p
equinox,structured description,aligns with,255 ** $e
equinox,identifier,aligns with,034 ** $0
equinox,IRI,aligns with,034 ** $1
year degree granted,unstructured description,aligns with,500 ** $a
year degree granted,unstructured description,aligns with,502 ** $a
year degree granted,structured description,aligns with,502 ** $d
coverage of content,unstructured description,aligns with,500 ** $a
coverage of content,unstructured description,aligns with,522 ** $a
coverage of content,structured description,aligns with,"045 ** $b, c"
coverage of content,structured description,aligns with,513 ** $b
coverage of content,structured description,aligns with,"648 ** $a, y, z"
coverage of content,identifier,aligns with,045 ** $a
coverage of content,identifier,aligns with,648 ** $0
coverage of content,IRI,aligns with,648 ** $1
place of origin of work,unstructured description,aligns with,500 ** $a
place of origin of work,unstructured description,aligns with,518 ** $a
place of origin of work,structured description,aligns with,033 ** $p
place of origin of work,structured description,aligns with,110 ** $c
place of origin of work,structured description,aligns with,111 ** $c
place of origin of work,structured description,aligns with,"370 ** $c, f, g"
place of origin of work,structured description,aligns with,518 ** $p
place of origin of work,structured description,aligns with,710 ** $c
place of origin of work,structured description,aligns with,711 ** $c
place of origin of work,identifier,aligns with,"033 ** $b, c, 0"
place of origin of work,identifier,aligns with,370 ** $0
place of origin of work,identifier,aligns with,518 ** $0
place of origin of work,IRI,aligns with,033 ** $1
place of origin of work,IRI,aligns with,370 ** $1
place of origin of work,IRI,aligns with,518 ** $1
date of work,unstructured description,aligns with,500 ** $a
date of work,unstructured description,aligns with,518 ** $a
date of work,structured description,aligns with,033 ** $a
date of work,structured description,aligns with,"045 ** $b, c"
date of work,structured description,aligns with,"046 1* $a, b, c, d, e, k, l, m, n, o, p"
date of work,structured description,aligns with,100 ** $f
date of work,structured description,aligns with,110 ** $f
date of work,structured description,aligns with,111 ** $f
date of work,structured description,aligns with,130 ** $f
date of work,structured description,aligns with,"240 ** $d, f"
date of work,structured description,aligns with,"243 ** $d, f"
date of work,structured description,aligns with,"245 ** $f, g"
date of work,structured description,aligns with,388 ** $a
date of work,structured description,aligns with,518 ** $d
date of work,structured description,aligns with,700 ** $f
date of work,structured description,aligns with,710 ** $f
date of work,structured description,aligns with,711 ** $f
date of work,structured description,aligns with,730 ** $f
date of work,identifier,aligns with,033 ** $0
date of work,identifier,aligns with,045 ** $a
date of work,identifier,aligns with,388 ** $0
date of work,identifier,aligns with,518 ** $0
date of work,IRI,aligns with,033 ** $1
date of work,IRI,aligns with,388 ** $1
date of work,IRI,aligns with,518 ** $1
nature of content,unstructured description,aligns with,513 ** $a
nature of content,unstructured description,aligns with,516 ** $a
nature of content,unstructured description,aligns with,"520 ** $a, b"
nature of content,structured description,aligns with,245 ** $k
preferred title of work,unstructured description,aligns with,100 ** $t
preferred title of work,unstructured description,aligns with,110 ** $t
preferred title of work,unstructured description,aligns with,111 ** $t
preferred title of work,unstructured description,aligns with,130 ** $a
preferred title of work,unstructured description,aligns with,240 ** $a
preferred title of work,unstructured description,aligns with,500 ** $a
preferred title of work,unstructured description,aligns with,700 ** $t
preferred title of work,unstructured description,aligns with,710 ** $t
preferred title of work,unstructured description,aligns with,711 ** $t
preferred title of work,unstructured description,aligns with,730 ** $a
preferred title of work,identifier,aligns with,100 ** $0
preferred title of work,identifier,aligns with,110 ** $0
preferred title of work,identifier,aligns with,111 ** $0
preferred title of work,identifier,aligns with,130 ** $0
preferred title of work,identifier,aligns with,240 ** $0
preferred title of work,identifier,aligns with,700 ** $0
preferred title of work,identifier,aligns with,710 ** $0
preferred title of work,identifier,aligns with,711 ** $0
preferred title of work,identifier,aligns with,730 ** $0
preferred title of work,identifier,aligns with,730 ** $x
preferred title of work,IRI,aligns with,100 ** $1
preferred title of work,IRI,aligns with,110 ** $1
preferred title of work,IRI,aligns with,111 ** $1
preferred title of work,IRI,aligns with,130 ** $1
preferred title of work,IRI,aligns with,240 ** $1
preferred title of work,IRI,aligns with,700 ** $1
preferred title of work,IRI,aligns with,710 ** $1
preferred title of work,IRI,aligns with,711 ** $1
preferred title of work,IRI,aligns with,730 ** $1
absorption of work,unstructured description,aligns with,500 ** $a
absorption of work,structured description,aligns with,"780 *5 $a, c, g, m, n, s, t"
absorption of work,identifier,aligns with,780 *5 $o
absorption of work,identifier,aligns with,780 *5 $r
absorption of work,identifier,aligns with,780 *5 $u
absorption of work,identifier,aligns with,780 *5 $w
absorption of work,identifier,aligns with,780 *5 $x
absorption of work,identifier,aligns with,780 *5 $y
absorption in part of work,unstructured description,aligns with,500 ** $a
absorption in part of work,structured description,aligns with,"780 *6 $a, c, g, m, n, s, t"
absorption in part of work,identifier,aligns with,780 *6 $o
absorption in part of work,identifier,aligns with,780 *6 $r
absorption in part of work,identifier,aligns with,780 *6 $u
absorption in part of work,identifier,aligns with,780 *6 $w
absorption in part of work,identifier,aligns with,780 *6 $x
absorption in part of work,identifier,aligns with,780 *6 $y
continuation of work,unstructured description,aligns with,500 ** $a
continuation of work,structured description,aligns with,"780 *0 $a, c, g, m, n, s, t"
continuation of work,identifier,aligns with,780 *0 $o
continuation of work,identifier,aligns with,780 *0 $r
continuation of work,identifier,aligns with,780 *0 $u
continuation of work,identifier,aligns with,780 *0 $w
continuation of work,identifier,aligns with,780 *0 $x
continuation of work,identifier,aligns with,780 *0 $y
musical theatre adaptation of work,unstructured description,aligns with,500 ** $a
musical theatre adaptation of work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
musical theatre adaptation of work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
musical theatre adaptation of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
musical theatre adaptation of work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
musical theatre adaptation of work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
musical theatre adaptation of work,identifier,aligns with,700 ** $0
musical theatre adaptation of work,identifier,aligns with,700 ** $x
musical theatre adaptation of work,identifier,aligns with,710 ** $0
musical theatre adaptation of work,identifier,aligns with,710 ** $x
musical theatre adaptation of work,identifier,aligns with,711 ** $0
musical theatre adaptation of work,identifier,aligns with,711 ** $x
musical theatre adaptation of work,identifier,aligns with,730 ** $0
musical theatre adaptation of work,identifier,aligns with,730 ** $x
musical theatre adaptation of work,identifier,aligns with,787 ** $o
musical theatre adaptation of work,identifier,aligns with,787 ** $r
musical theatre adaptation of work,identifier,aligns with,787 ** $u
musical theatre adaptation of work,identifier,aligns with,787 ** $w
musical theatre adaptation of work,identifier,aligns with,787 ** $x
musical theatre adaptation of work,identifier,aligns with,787 ** $y
musical theatre adaptation of work,IRI,aligns with,700 ** $1
musical theatre adaptation of work,IRI,aligns with,710 ** $1
musical theatre adaptation of work,IRI,aligns with,711 ** $1
musical theatre adaptation of work,IRI,aligns with,730 ** $1
opera adaptation of work,unstructured description,aligns with,500 ** $a
opera adaptation of work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
opera adaptation of work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
opera adaptation of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
opera adaptation of work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
opera adaptation of work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
opera adaptation of work,identifier,aligns with,700 ** $0
opera adaptation of work,identifier,aligns with,700 ** $x
opera adaptation of work,identifier,aligns with,710 ** $0
opera adaptation of work,identifier,aligns with,710 ** $x
opera adaptation of work,identifier,aligns with,711 ** $0
opera adaptation of work,identifier,aligns with,711 ** $x
opera adaptation of work,identifier,aligns with,730 ** $0
opera adaptation of work,identifier,aligns with,730 ** $x
opera adaptation of work,identifier,aligns with,787 ** $o
opera adaptation of work,identifier,aligns with,787 ** $r
opera adaptation of work,identifier,aligns with,787 ** $u
opera adaptation of work,identifier,aligns with,787 ** $w
opera adaptation of work,identifier,aligns with,787 ** $x
opera adaptation of work,identifier,aligns with,787 ** $y
opera adaptation of work,IRI,aligns with,700 ** $1
opera adaptation of work,IRI,aligns with,710 ** $1
opera adaptation of work,IRI,aligns with,711 ** $1
