,RDA,,,,,,,,LOCAL Policy,,ENCODING,,,,,,,
is motion picture screenplay based on expression,P20130,rdae:P20130,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,3,Published,,
is music for expression,P20244,rdae:P20244,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,,
is music for motion picture expression,P20252,rdae:P20252,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,,
is music for radio program expression,P20250,rdae:P20250,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,,
is music for television program expression,P20248,rdae:P20248,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,,
is music for video expression,P20246,rdae:P20246,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,,
is musical setting of expression,P20159,rdae:P20159,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,3,Published,,
is musical theatre adaptation of expression,P20239,rdae:P20239,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,3,Published,,
is novelization of expression,P20126,rdae:P20126,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,3,Published,,
is opera adaptation of expression,P20240,rdae:P20240,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,3,Published,,
is oratorio adaptation of expression,P20281,rdae:P20281,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,3,Published,,
is parody of expression,P20196,rdae:P20196,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,3,Published,,
is part of expression,P20074,rdae:P20074,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,3,Published,,
is radio adaptation of expression,P20127,rdae:P20127,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,740 $a,**,,,,,
is radio adaptation of expression,P20127,rdae:P20127,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,3,Published,,
is radio script based on expression,P20133,rdae:P20133,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,740 $a,**,,,,,
is radio script based on expression,P20133,rdae:P20133,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,3,Published,,
is remake of expression,P20185,rdae:P20185,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,3,Published,,
is revision of,P20189,rdae:P20189,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,,
is screenplay based on expression,P20129,rdae:P20129,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,,,,,
is screenplay based on expression,P20129,rdae:P20129,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,740 $a,**,24.5,3,Published,,
is screenplay for expression,P20102,rdae:P20102,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,,,,,
is screenplay for expression,P20102,rdae:P20102,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,740 $a,**,24.5,2,Published,,
is screenplay for motion picture expression,P20173,rdae:P20173,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,,,,,
is screenplay for motion picture expression,P20173,rdae:P20173,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,740 $a,**,24.5,2,Published,,
is screenplay for television program expression,P20174,rdae:P20174,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,,,,,
is screenplay for television program expression,P20174,rdae:P20174,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,740 $a,**,24.5,2,Published,,
is screenplay for video expression,P20175,rdae:P20175,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,,,,,
is screenplay for video expression,P20175,rdae:P20175,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,740 $a,**,24.5,2,Published,,
is script for radio program expression,P20176,rdae:P20176,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,,,,,
is script for radio program expression,P20176,rdae:P20176,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,740 $a,**,24.5,2,Published,,
is television adaptation of expression,P20128,rdae:P20128,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,,Published,,
is television adaptation of expression,P20128,rdae:P20128,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,730 $a,,24.5,2,Published,,
is television screenplay based on expression,P20131,rdae:P20131,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,3,Published,,
is television screenplay based on expression,P20131,rdae:P20131,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,730 $a,,24.5,3,Published,,
is translation of,P20141,rdae:P20141,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,,Published,,
is translation of,P20141,rdae:P20141,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,730 $a,,24.5,2,Published,,
is variations based on expression,P20081,rdae:P20081,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,3,Published,,
is verse adaptation of expression,P20124,rdae:P20124,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,3,Published,,
is verse adaptation of expression,P20124,rdae:P20124,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,730 $a,,24.5,3,Published,,
is video adaptation of expression,P20134,rdae:P20134,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,3,Published,,
is video adaptation of expression,P20134,rdae:P20134,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,730 $a,,24.5,3,Published,,
is video screenplay based on expression,P20132,rdae:P20132,Expression,Expression,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,3,Published,,
is video screenplay based on expression,P20132,rdae:P20132,Expression,Expression,0,1,O,Structured,N/A,,MARC 21,730 $a,,24.5,3,Published,,
has award,P20005,rdae:P20005,Expression,N/A,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,650,,7.28,6,Published,SCIS uses 650 rather than MARC 500 or 586,
is abridged as expression,P20166,rdae:P20166,Expression,Expression,0,0,,Unstructured,Normalised,,MARC21,500,,24.5,3,Published,I don't think SCIS would include this? I think this means it is referring to another expression which has abridged this one.,
