Label,CURIE,CURIE (Full),Description,Domain,Range,Min,Max,M/MA/O,Recroding methid,Transcription method,VES,SES,Bib mapping,Authority mapping,Instruction number,Element type,Status,Notes on application,
has descriptive manifestation relationship with (Deprecated),P30211,rdam:P30211,Relates a manifestation to a work that is a description of the manifestation. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has equivalent manifestation relationship with (Deprecated),P30212,rdam:P30212,Relates a manifestation to a manifestation that is equivalent to another manifestation. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has whole-part manifestation relationship with (Deprecated),P30213,rdam:P30213,Relates a manifestation to a manifestation that is contained in or contains another manifestation. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has note on carrier,P30214,rdam:P30214,Relates a manifestation to a note on manifestation that provides information on attributes of a carrier of a manifestation.,Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.21,6,Published,344 $a (structured) may be used in future,
has details of bibliographic format,P30218,rdam:P30218,"Relates a manifestation to details of a proportional relationship between a whole sheet in a printed or manuscript resource and the individual leaves that result if that sheet is left full, cut, or folded.",Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.12.1.4,6,Published,,
has details of broadcast standard,P30219,rdam:P30219,Relates a manifestation to details of a system that is used to format a manifestation of a video for television broadcast.,Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.18.3.4,6,Published,,
has details of digital representation of cartographic content,P30222,rdam:P30222,Relates a manifestation to details of an encoding of geospatial information in a manifestation.,Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.19.8.4,6,Published,,
has details of font size,P30226,rdam:P30226,Relates a manifestation to details of a size of the type that is used to represent the characters and symbols in a manifestation.,Manifestation,N/A,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.13.1.4,6,Published,,
has details of generation of audio recording (Deprecated),P30227,rdam:P30227,Relates a manifestation to details of the relationship between an original audio carrier and the carrier of a reproduction made from the original.,,,,,,,,,,,,,,Deprecated,,
has details of generation of digital resource (Deprecated),P30228,rdam:P30228,Relates a manifestation to details of the relationship between an original carrier of a digital resource and the carrier of a reproduction made from the original.,,,,,,,,,,,,,,Deprecated,,
has details of generation of microform (Deprecated),P30229,rdam:P30229,Relates a manifestation to details of the relationship between an original microform carrier and the carrier of a reproduction made from the original.,,,,,,,,,,,,,,Deprecated,,
has details of generation of motion picture film (Deprecated),P30230,rdam:P30230,Relates a manifestation to details of the relationship between an original carrier of a motion picture film resource and the carrier of a reproduction made from the original.,,,,,,,,,,,,,,Deprecated,,
has details of generation of videotape (Deprecated),P30231,rdam:P30231,Relates a manifestation to details of the relationship between an original carrier of a videotape resource and the carrier of a reproduction made from the original.,,,,,,,,,,,,,,Deprecated,,
has details of layout,P30233,rdam:P30233,"Relates a manifestation to details of an arrangement of text, images, tactile notation, or other content in a manifestation.",Manifestation,N/A,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.11.1.4,6,Published,,
has details of production method for manuscript (Deprecated),P30239,rdam:P30239,Relates a manifestation to details of a process used to produce an original manuscript or a copy. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has details of production method for tactile resource (Deprecated),P30240,rdam:P30240,Relates a manifestation to details of a process used to produce a tactile resource. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has details of recording medium,P30243,rdam:P30243,Relates a manifestation to details of a type of medium that is used to record sound on an audio carrier.,Manifestation,N/A,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.16.3.4,6,Published,,
has details of tape configuration,P30247,rdam:P30247,Relates a manifestation to details of a number of tracks on an audiotape.,Manifestation,N/A,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.16.7.4,6,Published,,
has details of video format,P30251,rdam:P30251,Relates a manifestation to details of a schema or standard that is used to encode the analog video content of a manifestation.,Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.18.2.4,6,Published,,
is subject manifestation of,P30253,rdam:P30253,Relates a manifestation to a work that is about a manifestation.,Manifestation,Work,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,,2,Published,May also be unstructured 500 $a,
has note on identifier for manifestation,P30260,rdam:P30260,Relates a manifestation to a note on manifestation that provides information on an identifier for a manifestation.,Manifestation,N/A,0,>1,MA,Unstructured,Normalised,,MARC 21,500 $a,,2.17.14,6,Published,,
has details of cartographic data type,P30262,rdam:P30262,Relates a manifestation to details of a machine-readable representation of geospatial features.,Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.19.8.5.4,6,Published,,
has related work of manifestation,P30265,rdam:P30265,Relates a manifestation to a work that is associated with a manifestation.,,,,,,,,,,,,,,Published,,
has related person of manifestation,P30268,rdam:P30268,Relates a manifestation to a person who is associated with a manifestation.,Manifestation,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0,1 $a,b,c",,21.6.1.3,1,Published,May also be unstructured 500 $a,
has related family of manifestation,P30269,rdam:P30269,Relates a manifestation to a family who is associated with a manifestation.,Manifestation,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 3 $a,b,c",,21.1.2,1,Published,,
has related corporate body of manifestation,P30270,rdam:P30270,Relates a manifestation to a corporate body who is associated with a manifestation.,Manifestation,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"710 $a,b,c / 711 $a,c,d,e,n",,21.1.2,1,Published,Instruction number supplied,
has related place of manifestation,P30272,rdam:P30272,Relates a manifestation to a place that is associated with a manifestation.,Manifestation,Place,0,>1,MA,Unstructured,Normalised,,MARC 21,264 $a,,2.8.2,1,Published,May also be unstructured 500 $a,
has related timespan of manifestation,P30273,rdam:P30273,Relates a manifestation to a timespan that is associated with a manifestation.,Manifestation,Timespan,1,1,M,Unstructured,Normalised,,MARC 21,264 $c,,2.8.6,1,Published,May also be unstructured 500 $a,
has details of regional encoding,P30275,rdam:P30275,"Relates a manifestation to details of a designation for one or more regions of the world for which a videodisc or video game carrier has been encoded, indicating that playback is restricted to a device configured to decode it.",Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.19.6.4,6,Published,,
has details of regional encoding,P30275,rdam:P30275,"Relates a manifestation to details of a designation for one or more regions of the world for which a videodisc or video game carrier has been encoded, indicating that playback is restricted to a device configured to decode it.",Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,538 $a,,3.19.6.4,6,Published,346 $b (structured) may be used in future,
has name of agent of manifestation,P30297,rdam:P30297,"Relates a manifestation to a nomen that is a name of an agent who is responsible for distributing, printing, duplicating, casting, publishing, releasing, or issuing a published manifestation, or inscribing, fabricating, constructing, or other method of producing an unpublished manifestation.",Manifestation,Nomen,0,1,MA,Unstructured,Normalised,,MARC 21,264 $b,,2.8.4,3,Published,,
has category of manifestation,P30335,rdam:P30335,Relates a manifestation to a type to which a manifestation belongs.,Manifestation,N/A,1,1,M,Structured,,MARC,MARC 21,Leader pos 06?,,,5,Published,,
has contributor person to aggregate,P30336,rdam:P30336,Relates a manifestation to a person who is responsible for creating an expression of a work that is embodied by an aggregate.,Manifestation,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0,1 $a,b,c",,,2,Published,,
has contributor person of cartography,P30338,rdam:P30338,Relates a manifestation to a person who is a contributor to aggregate who creates an expression of a cartographic work that is embodied by an aggregate.,Manifestation,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0,1 $a,b,c",,,2,Published,,
has contributor person of moving image,P30340,rdam:P30340,Relates a manifestation to a person who is a contributor to aggregate who creates an expression of a moving image work that is embodied by an aggregate.,Manifestation,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0,1 $a,b,c",,,2,Published,,
has contributor person of music,P30341,rdam:P30341,Relates a manifestation to a person who is a contributor to aggregate who creates an expression of a musical work that is embodied by an aggregate.,Manifestation,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0,1 $a,b,c",,,2,Published,,
has contributor person of speech,P30342,rdam:P30342,Relates a manifestation to a person who is a contributor to aggregate who creates an expression of a vocal work that is embodied by an aggregate.,Manifestation,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0,1 $a,b,c",,,2,Published,,
has contributor person of still image,P30343,rdam:P30343,Relates a manifestation to a person who is a contributor to aggregate who creates an expression of a still image work that is embodied by an aggregate.,Manifestation,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0,1 $a,b,c",,,2,Published,,
has contributor person of text,P30344,rdam:P30344,Relates a manifestation to a person who is a contributor to aggregate who creates an expression of a textual work that is embodied by an aggregate.,Manifestation,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0,1 $a,b,c",,,2,Published,,
has contributor person of computer content,P30346,rdam:P30346,Relates a manifestation to a person who is a contributor to aggregate who creates an expression of computer content that is embodied by an aggregate.,Manifestation,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0,1 $a,b,c",,,2,Published,,
has broadcaster person,P30347,rdam:P30347,"Relates a manifestation to a person who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",Manifestation,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0,1 $a,b,c",,,2,Published,347 structured description may be used in future,
has film distributor person,P30348,rdam:P30348,Relates a manifestation to a person who is responsible for distributing a moving image manifestation to theatres or other distribution channels.,Manifestation,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,,2,Published,,
has producer person of unpublished manifestation,P30360,rdam:P30360,"Relates a manifestation to a person who is responsible for inscribing, fabricating, constructing, or other method of producing an unpublished manifestation.",Manifestation,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0,1 $a,b,c",,,2,Published,Instruction number supplied,
has publisher person,P30362,rdam:P30362,"Relates a manifestation to a person who is responsible for publishing, releasing, or issuing a published manifestation.",Manifestation,Person,0,1,MA,Unstructured,Normalised,,MARC 21,264 $b,,,2,Published,Instruction number supplied,
has creator person of manifestation,P30363,rdam:P30363,Relates a manifestation to a person who is responsible for the embodiment of one or more expressions.,Manifestation,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0,1 $a,b,c",,,2,Published,,
has contributor corporate body to aggregate,P30394,rdam:P30394,Relates a manifestation to a corporate body who is responsible for creating an expression of a work that is embodied by an aggregate.,Manifestation,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"710 $a,b,c",,,2,Published,,
has contributor corporate body to aggregate,P30394,rdam:P30394,Relates a manifestation to a corporate body who is responsible for creating an expression of a work that is embodied by an aggregate.,,,,,,,,,,,,,,Published,,
has contributor corporate body of cartography,P30396,rdam:P30396,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of a cartographic work that is embodied by an aggregate.,Manifestation,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"710 $a,b,c",,,2,Published,347?,
has contributor corporate body of moving image,P30398,rdam:P30398,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of a moving image work that is embodied by an aggregate.,Manifestation,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"710 $a,b,c",,,2,Published,,
has contributor corporate body of music,P30399,rdam:P30399,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of a musical work that is embodied by an aggregate.,Manifestation,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"710 $a,b,c",,,2,Published,,
has contributor corporate body of speech,P30400,rdam:P30400,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of a vocal work that is embodied by an aggregate.,Manifestation,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"710 $a,b,c",,,2,Published,,
has contributor corporate body of still image,P30401,rdam:P30401,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of a still image work that is embodied by an aggregate.,Manifestation,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"710 $a,b,c",,,2,Published,,
has contributor corporate body of text,P30402,rdam:P30402,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of a textual work that is embodied by an aggregate.,Manifestation,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"710 $a,b,c",,,2,Published,,
has contributor corporate body of computer content,P30404,rdam:P30404,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of computer content that is embodied by an aggregate.,Manifestation,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"710 $a,b,c",,,2,Published,,
has broadcaster corporate body,P30405,rdam:P30405,"Relates a manifestation to a corporate body who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",Manifestation,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"710 $a,b,c",,,2,Published,,
has producer corporate body of unpublished manifestation,P30418,rdam:P30418,"Relates a manifestation to a corporate body who is responsible for inscribing, fabricating, constructing, or other method of producing an unpublished manifestation.",Manifestation,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"710 $a,b,c",,,2,Published,Instruction number supplied; May also be unstructured 500 $a,
has publisher corporate body,P30420,rdam:P30420,"Relates a manifestation to a corporate body who is responsible for publishing, releasing, or issuing a published manifestation.",Manifestation,Corporate body,0,1,MA,Unstructured,Normalised,,MARC 21,264 $b,,,2,Published,Instruction number supplied,
has creator corporate body of manifestation,P30421,rdam:P30421,Relates a manifestation to a corporate body who is responsible for the embodiment of one or more expressions.,Manifestation,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"710 $a,b,c",,,2,Published,,
has contributor family to aggregate,P30423,rdam:P30423,Relates a manifestation to a family who is responsible for creating an expression of a work that is embodied by an aggregate.,Manifestation,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 3 $a,,,2,Published,,
has contributor family of cartography,P30425,rdam:P30425,Relates a manifestation to a family who is a contributor to aggregate who creates an expression of a cartographic work that is embodied by an aggregate.,Manifestation,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 3 $a,,,2,Published,,
has contributor family of moving image,P30427,rdam:P30427,Relates a manifestation to a family who is a contributor to aggregate who creates an expression of a moving image work that is embodied by an aggregate.,Manifestation,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 3 $a,,,2,Published,,
has contributor family of music,P30428,rdam:P30428,Relates a manifestation to a family who is a contributor to aggregate who creates an expression of a musical work that is embodied by an aggregate.,Manifestation,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 3 $a,,,2,Published,,
has contributor family of speech,P30429,rdam:P30429,Relates a manifestation to a family who is a contributor to aggregate who creates an expression of a vocal work that is embodied by an aggregate.,Manifestation,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 3 $a,,,2,Published,,
has contributor family of still image,P30430,rdam:P30430,Relates a manifestation to a family who is a contributor to aggregate who creates an expression of a still image work that is embodied by an aggregate.,Manifestation,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 3 $a,, ,2,Published,,
has contributor family of text,P30431,rdam:P30431,Relates a manifestation to a family who is a contributor to aggregate who creates an expression of a textual work that is embodied by an aggregate.,Manifestation,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 3 $a,,,2,Published,,
has contributor family of computer content,P30433,rdam:P30433,Relates a manifestation to a family who is a contributor to aggregate who creates an expression of computer content that is embodied by an aggregate.,Manifestation,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 3 $a,,,2,Published,,
has broadcaster family,P30434,rdam:P30434,"Relates a manifestation to a family who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",Manifestation,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,,2,Published,,
has producer family of unpublished manifestation,P30447,rdam:P30447,"Relates a manifestation to a family who is responsible for inscribing, fabricating, constructing, or other method of producing an unpublished manifestation.",Manifestation,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 3 $a,,,2,Published,Instruction number supplied; May also be unstructured 500 $a,
has publisher family,P30449,rdam:P30449,"Relates a manifestation to a family who is responsible for publishing, releasing, or issuing a published manifestation.",Manifestation,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 3 $a,,,2,Published,Instruction number supplied,
has creator family of manifestation,P30450,rdam:P30450,Relates a manifestation to a family who is responsible for the embodiment of one or more expressions.,Manifestation,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 3 $a,,,2,Published,,
has accessibility content,P30452,rdam:P30452,Relates a manifestation to an indication of the kinds of expression that provide alternative sensory modes to perceive the main expressions that are embodied by an augmentation aggregate.,Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,7.14,6,Published,,
has illustrative content,P30453,rdam:P30453,Relates a manifestation to an indication of the kinds of expression of image content that supplement the main expressions that are embodied by an augmentation aggregate.,Manifestation,N/A,0,1,MA,Structured,N/A,RDA Illustrative Content,MARC 21,300 $b,,7.15,4,Published,,
has illustrative content,P30453,rdam:P30453,Relates a manifestation to an indication of the kinds of expression of image content that supplement the main expressions that are embodied by an augmentation aggregate.,Manifestation,N/A,0,1,MA,Identifier,N/A,MARC 21,MARC 21,008 /18-21,,7.15,4,Published,,
has sound content,P30454,rdam:P30454,Relates a manifestation to an indication of the presence or absence of sound embodied by a manifestation.,Manifestation,N/A,0,1,MA,Structured,N/A,RDA Sound Content,MARC 21,300 $b,,7.18,4,Published,May also be unstructured 500 $a,
has colour content,P30456,rdam:P30456,Relates a manifestation to an indication of the presence of colour or tone embodied by a manifestation.,Manifestation,N/A,0,1,MA,Structured,N/A,SCIS Standards,MARC 21,300 $b,,7.17,4,Published,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
has parallel statement of responsibility relating to subseries (Deprecated),P30114,rdam:P30114,Relates a manifestation to a statement of responsibility relating to subseries in another language or script. (Deprecated),,,,,,,,,,,,,,Deprecated,,
