,RDA,,,,,,LOCAL Policy,,ENCODING,,,,,,,,
has source work,P10190,rdaw:P10190,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,740,,24.5,2,Published,
has sponsoring corporate body of work,P10605,rdaw:P10605,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has related corporate body of work,P10314,rdaw:P10314,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has sponsoring corporate body of work,P10605,rdaw:P10605,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,2,Published,
has sponsoring family of work,P10606,rdaw:P10606,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has related family of work,P10313,rdaw:P10313,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has sponsoring family of work,P10606,rdaw:P10606,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,2,Published,
has sponsoring person of work,P10607,rdaw:P10607,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has sponsoring person of work,P10607,rdaw:P10607,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,2,Published,
has related person of work,P10312,rdaw:P10312,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has static version,P10382,rdaw:P10382,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,,2,Published,
has static version,P10382,rdaw:P10382,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
has subject,P10256,rdaw:P10256,Work,N/A,1,>1,M,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 / 630 / 650 / 651,100 / 110 / 111 / 130 / 150 / 151,23.5,5,Published,
has subject corporate body,P10263,rdaw:P10263,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,610,110,,2,Published,
has subject expression,P10258,rdaw:P10258,Work,Expression,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,630 ?,130,,2,Published,
has remix artist corporate body,P10543,rdaw:P10543,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has subject family,P10262,rdaw:P10262,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,600,100,,2,Published,
has remix artist family,P10590,rdaw:P10590,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has subject person,P10261,rdaw:P10261,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,600,100,,2,Published,
has remix artist person,P10449,rdaw:P10449,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has subject place,P10321,rdaw:P10321,Work,Place,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,651,151,,2,Published,
has subject timespan,P10322,rdaw:P10322,Work,Timespan,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,650,,,2,Published,
has subject work,P10257,rdaw:P10257,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,630,130,,2,Published,
has screenwriter corporate body,P10523,rdaw:P10523,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has subseries,P10080,rdaw:P10080,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
has screenwriter family,P10570,rdaw:P10570,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has subseries,P10080,rdaw:P10080,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
has screenwriter person,P10429,rdaw:P10429,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has supplement work,P10172,rdaw:P10172,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
has sculptor corporate body,P10521,rdaw:P10521,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has supplement work,P10172,rdaw:P10172,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
has sculptor family,P10568,rdaw:P10568,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has television director corporate body,P10514,rdaw:P10514,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,508,, ,2,Published,
has sculptor person,P10427,rdaw:P10427,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has television director corporate body,P10514,rdaw:P10514,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,510,,2,Published,
has television director family,P10561,rdaw:P10561,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,2,Published,
has television director family,P10561,rdaw:P10561,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 3* $a, c","500 3* $a, c",,2,Published,
has television director person,P10420,rdaw:P10420,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,2,Published,
has source work,P10190,rdaw:P10190,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,730,110 / 510,,,,
has television director person,P10420,rdaw:P10420,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0* ,1* $a, b, c","500 0*, 1* $ a, b, c",,2,Published,
has television producer corporate body,P10518,rdaw:P10518,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,2,Published,
has television producer corporate body,P10518,rdaw:P10518,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,510,,2,Published,
has television producer family,P10565,rdaw:P10565,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,2,Published,
has television producer family,P10565,rdaw:P10565,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 3* $a, c","500 3* $a, c",,2,Published,
has television producer person,P10424,rdaw:P10424,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,2,Published,
has television producer person,P10424,rdaw:P10424,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,"700 0* ,1* $a, b, c","500 0*, 1* $ a, b, c",,2,Published,
has variant access point for work,P10332,rdaw:P10332,Work,Nomen,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,,400 / 410 / 411 / 430,,3,Published,
has variant title of work,P10086,rdaw:P10086,Work,Nomen,0,>1,O,Unstructured,Normalised,,MARC 21,,400 / 410 / 411 / 430,6.2.3,3,Published,
is abridgement of work,P10125,rdaw:P10125,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is abridgement of work,P10125,rdaw:P10125,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is absorbed by work,P10145,rdaw:P10145,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is absorbed by work,P10145,rdaw:P10145,Work,Work,0,1,O,Structured,N/A,,MARC 21,"785 *4 $a, g, t",500 / 510 / 511 / 530,24.5,2,Published,
is absorbed in part by work,P10146,rdaw:P10146,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is absorbed in part by work,P10146,rdaw:P10146,Work,Work,0,1,O,Structured,N/A,,MARC 21,"785 *5 $a, g, t",500 / 510 / 511 / 530,24.5,2,Published,
is absorption in part of work,P10225,rdaw:P10225,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is absorption in part of work,P10225,rdaw:P10225,Work,Work,0,1,O,Structured,N/A,,MARC 21,"785 *6 $a, g, t",500 / 510 / 511 / 530,24.5,2,Published,
is absorption of work,P10224,rdaw:P10224,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is absorption of work,P10224,rdaw:P10224,Work,Work,0,1,O,Structured,N/A,,MARC 21,"780 *5 $a, g, t",500 / 510 / 511 / 530,24.5,2,Published,
is addenda to work,P10177,rdaw:P10177,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is analysis of expression,P10278,rdaw:P10278,Work,Expression,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,500 / 510 / 511 / 530,23.5,2,Published,
is analysis of manifestation,P10272,rdaw:P10272,Work,Manifestation,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,,23.5,2,Published,
is analysis of work,P10140,rdaw:P10140,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,500 / 510 / 511 / 530,23.5,2,Published,
is appendix to work,P10151,rdaw:P10151,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is appendix to work,P10151,rdaw:P10151,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is augmentation of work,P10192,rdaw:P10192,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is augmentation of work,P10192,rdaw:P10192,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is augmented by work,P10108,rdaw:P10108,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is augmented by work,P10108,rdaw:P10108,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is cadenza composed for work,P10029,rdaw:P10029,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is cadenza composed for work,P10029,rdaw:P10029,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is carrier version of,P10390,rdaw:P10390,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,,,2,Published,
is carrier version of,P10390,rdaw:P10390,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is choreographic adaptation of work,P10183,rdaw:P10183,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is choreographic adaptation of work,P10183,rdaw:P10183,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is choreography for work,P10248,rdaw:P10248,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is choreography for work,P10248,rdaw:P10248,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is commemoration of,P10295,rdaw:P10295,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is commemoration of,P10295,rdaw:P10295,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is commentary on expression,P10282,rdaw:P10282,Work,Expression,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,23.5,2,Published,
is commentary on expression,P10282,rdaw:P10282,Work,Expression,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,23.5,2,Published,
is commentary on manifestation,P10276,rdaw:P10276,Work,Manifestation,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,,23.5,2,Published,
is commentary on work,P10187,rdaw:P10187,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,500 / 510 / 511 / 530,23.5,2,Published,
is complemented by work,P10103,rdaw:P10103,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is complemented by work,P10103,rdaw:P10103,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is continuation of work,P10226,rdaw:P10226,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is continuation of work,P10226,rdaw:P10226,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"780 *0 $a, g, t",,24.5,2,Published,
is continued by work,P10191,rdaw:P10191,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is continued by work,P10191,rdaw:P10191,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"785 *0 $a, g, t",,24.5,2,Published,
is critique of expression,P10281,rdaw:P10281,Work,Expression,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,500 / 510 / 511 / 530,23.5,2,Published,
is critique of manifestation,P10275,rdaw:P10275,Work,Manifestation,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,,23.5,2,Published,
is critique of work,P10182,rdaw:P10182,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,500 / 510 / 511 / 530,23.5,2,Published,
is description of corporate body,P10326,rdaw:P10326,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,610 /611,510 / 511,23.5,2,Published,
is description of expression,P10277,rdaw:P10277,Work,Expression,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,500 / 510 / 511 / 530,23.5,2,Published,
is description of family,P10327,rdaw:P10327,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,600 3*,500 3*,23.5,2,Published,
is description of manifestation,P10271,rdaw:P10271,Work,Manifestation,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,,23.5,2,Published,
is description of person,P10325,rdaw:P10325,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,600 ** / 600 1*,500 0* / 500 1*,23.5,2,Published,
is description of place,P10601,rdaw:P10601,Work,Place,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,651,551,,2,Published,
is description of work,P10100,rdaw:P10100,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,500 / 510 / 511 / 530,23.5,2,Published,
is digest of work,P10139,rdaw:P10139,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,3,Published,
is digest of work,P10139,rdaw:P10139,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,3,Published,
is dramatization of work,P10127,rdaw:P10127,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is dramatization of work,P10127,rdaw:P10127,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is errata to work,P10149,rdaw:P10149,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is errata to work,P10149,rdaw:P10149,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is evaluation of expression,P10279,rdaw:P10279,Work,Expression,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,500 / 510 / 511 / 530,23.5,2,Published,
is evaluation of manifestation,P10273,rdaw:P10273,Work,Manifestation,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,,23.5,2,Published,
is evaluation of work,P10153,rdaw:P10153,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,500 / 510 / 511 / 530,23.5,2,Published,
is expanded version of work,P10184,rdaw:P10184,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is expanded version of work,P10184,rdaw:P10184,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is free translation of work,P10143,rdaw:P10143,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is free translation of work,P10143,rdaw:P10143,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is graphic novelization of work,P10252,rdaw:P10252,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is graphic novelization of work,P10252,rdaw:P10252,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is guide to work,P10150,rdaw:P10150,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is guide to work,P10150,rdaw:P10150,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is illustrations for work,P10152,rdaw:P10152,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is illustrations for work,P10152,rdaw:P10152,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is imitation of work,P10196,rdaw:P10196,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is imitation of work,P10196,rdaw:P10196,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is incidental music for work,P10106,rdaw:P10106,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is incidental music for work,P10106,rdaw:P10106,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is inspired by,P10290,rdaw:P10290,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is inspired by,P10290,rdaw:P10290,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is issue of,P10102,rdaw:P10102,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"490, 500, 740*",,24.5,2,Published,Does SCIS prefer to use 490/830 rather than 500/740/730 for an individual issue of a diachronic work?
is issue of,P10102,rdaw:P10102,Work,Work,0,1,O,Structured,N/A,,MARC 21,"700, 710, 711, 730, 830",,24.5,2,Published,"Is SCIS more likely to use 490/830 for individual issues of diachronic works rather than 500/740/730? But something like an individul issue of an annual report or ongoing conference proceedings would warrant a 710 or 711. And in some rare cases serials are given a preferred access point for a person, which would justify a 700."
is language version of,P10388,rdaw:P10388,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,,,2,Published,
is language version of,P10388,rdaw:P10388,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is libretto based on work,P10189,rdaw:P10189,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is libretto based on work,P10189,rdaw:P10189,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is libretto for work,P10030,rdaw:P10030,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is libretto for work,P10030,rdaw:P10030,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is lyrics for work,P10369,rdaw:P10369,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,,2,Published,
is lyrics for work,P10369,rdaw:P10369,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is merger of work,P10213,rdaw:P10213,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is merger of work,P10213,rdaw:P10213,Work,Work,0,1,O,Structured,N/A,,MARC 21,"780 *4 $a, g, t",,24.5,2,Published,
is motion picture adaptation of work,P10129,rdaw:P10129,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is motion picture adaptation of work,P10129,rdaw:P10129,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is motion picture screenplay based on work,P10134,rdaw:P10134,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is motion picture screenplay based on work,P10134,rdaw:P10134,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is music for motion picture work,P10245,rdaw:P10245,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is music for motion picture work,P10245,rdaw:P10245,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is music for radio program work,P10244,rdaw:P10244,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / [511?] / 530,24.5,2,Published,
is music for radio program work,P10244,rdaw:P10244,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is music for television program work,P10242,rdaw:P10242,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / [511?] / 530,24.5,2,Published,
is music for television program work,P10242,rdaw:P10242,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is music for video work,P10240,rdaw:P10240,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / [511?] / 530,24.5,2,Published,
is music for video work,P10240,rdaw:P10240,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is musical setting of work,P10161,rdaw:P10161,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is musical setting of work,P10161,rdaw:P10161,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is musical theatre adaptation of work,P10233,rdaw:P10233,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is musical theatre adaptation of work,P10233,rdaw:P10233,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is novelization of work,P10130,rdaw:P10130,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is novelization of work,P10130,rdaw:P10130,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is opera adaptation of work,P10234,rdaw:P10234,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is opera adaptation of work,P10234,rdaw:P10234,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is oratorio adaptation of work,P10288,rdaw:P10288,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is oratorio adaptation of work,P10288,rdaw:P10288,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is parody of work,P10197,rdaw:P10197,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is parody of work,P10197,rdaw:P10197,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is part of work,P10019,rdaw:P10019,Work,Work,1,O,,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730 / 830,500 / 510 / 511 / 530,24.5,2,Published,
is part of work,P10019,rdaw:P10019,Work,Work,1,O,,Unstructured,Normalised,,MARC 21,490,,24.5,2,Published,
is radio adaptation of work,P10131,rdaw:P10131,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,Interesting that this one only has 530 as MARC authority?
is radio adaptation of work,P10131,rdaw:P10131,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is radio script based on work,P10137,rdaw:P10137,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is radio script based on work,P10137,rdaw:P10137,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is regional version of,P10389,rdaw:P10389,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,,,2,Published,
is regional version of,P10389,rdaw:P10389,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is remake of work,P10185,rdaw:P10185,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is remake of work,P10185,rdaw:P10185,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is replacement in part of work,P10206,rdaw:P10206,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is replacement in part of work,P10206,rdaw:P10206,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"780 *3 $a, g, t",,24.5,2,Published,
is replacement of work,P10207,rdaw:P10207,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is replacement of work,P10207,rdaw:P10207,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"780 *2 $ a, g, t",500 / 510 / 511 / 530,24.5,2,Published,
is review of expression,P10280,rdaw:P10280,Work,Expression,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,500 / 510 / 511 / 530,23.5,2,Published,Other 'subject' type elements generally don't have unstructured description or authority elements. This is the odd one out. cf P10274
is review of expression,P10280,rdaw:P10280,Work,Expression,0,>1,O,Unstructured,Normalised,,MARC 21,500,,23.5,2,Published,
is review of manifestation,P10274,rdaw:P10274,Work,Manifestation,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,,23.5,2,Published,
