*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type,See Also[0]
is reviewed in (expression) (Deprecated),rdae:reviewedInExpression.en,Relates an expression to an expression of a work that contains a brief evaluation of the described expression. (Deprecated),,,,,reviewed in (expression) (Deprecated),An expression of a work that contains a brief evaluation of the described expression. (Deprecated),rdae:P20111,property,rdac:C10006,rdae:P20202,,,Deprecated,,,
is critiqued in (expression) (Deprecated),rdae:critiquedInExpression.en,Relates an expression to an expression of a work that contains a critical evaluation of the described expression. (Deprecated),,,,,critiqued in (expression) (Deprecated),An expression of a work that contains a critical evaluation of the described expression. (Deprecated),rdae:P20112,property,rdac:C10006,rdae:P20202,,,Deprecated,,,
is commentary in (expression) (Deprecated),rdae:commentaryInExpression.en,Relates an expression to an expression of a work that contains a set of explanatory or critical notes on the described expression. (Deprecated),,,,,commentary in (expression) (Deprecated),An expression of a work that contains a set of explanatory or critical notes on the described expression. (Deprecated),rdae:P20113,property,rdac:C10006,rdae:P20202,,,Deprecated,,,
is imitated as expression,rdae:imitatedAsExpression.en,Relates an expression to an expression of a work that copies the style or content of an expression of another work.,,,,,imitated as expression,An expression of a work that copies the style or content of an expression of another work.,rdae:P20114,property,rdac:C10006,rdae:P20203,,,Published,24.5,3,
is expanded as expression,rdae:expandedAsExpression.en,Relates an expression to an expression of a work that enlarges upon the content of an expression of another work.,,,,,expanded as expression,An expression of a work that enlarges upon the content of an expression of another work.,rdae:P20115,property,rdac:C10006,rdae:P20203,,,Published,24.5,3,
is evaluated in (expression) (Deprecated),rdae:evaluatedInExpression.en,Relates an expression to an expression of a work that examines or judges the described expression. (Deprecated),,,,,evaluated in (expression),An expression of a work that examines or judges the described expression.,rdae:P20116,property,rdac:C10006,rdae:P20202,,,Deprecated,,,
is analysed in (expression) (Deprecated),rdae:analysedInExpression.en,Relates an expression to an expression of a work that examines the source expression to identify its components and their relations. (Deprecated),,,,,analysed in (expression) (Deprecated),An expression of a work that examines the source expression to identify its components and their relations. (Deprecated),rdae:P20117,property,rdac:C10006,rdae:P20202,,,Deprecated,,,
has appendix expression,rdae:appendixExpression.en,Relates an expression to an expression of a work whose content augments an expression of a related work.,"Includes lists of references, statistical tables, and explanatory matter that are not essential to the completeness of the content.",,,,appendix expression,An expression of a work whose content augments an expression of a related work.,rdae:P20118,property,rdac:C10006,rdae:P20105,,,Published,24.5,2,
is freely translated as expression,rdae:freelyTranslatedAsExpression.en,Relates an expression to an expression of a work that is both an adaptation and a translation into another language of a source expression.,,,,,freely translated as expression,An expression of a work that is both an adaptation and a translation into another language of an expression of another work.,rdae:P20119,property,rdac:C10006,rdae:P20203,,,Published,24.5,3,
has guide expression,rdae:guideExpression.en,"Relates an expression to an expression of a work that guides a user through the use of a predominant work, using notes, learning and study aids, exercises, problems, questions and answers, or other instructor or student materials.",,,,,guide expression,"An expression of a work that guides a user through the use of a predominant work, using notes, learning and study aids, exercises, problems, questions and answers, or other instructor or student materials.",rdae:P20120,property,rdac:C10006,rdae:P20105,,,Published,24.5,2,
is abridgement of expression,rdae:abridgementOfExpression.en,Relates an expression to an expression of a work that is shortened as an expression of a related work without changing the general meaning or manner of presentation.,,,,,abridgement of expression,An expression of a work that is shortened as an expression of a related work without changing the general meaning or manner of presentation.,rdae:P20121,property,rdac:C10006,rdae:P20204,,,Published,24.5,3,
is abstract of expression (Deprecated),rdae:abstractOfExpression.en,"Relates an expression to an expression of a work that is abstracted, i.e., abbreviated in a brief, objective manner. (Deprecated)",,,,,abstract of expression (Deprecated),"An expression of a work that is abstracted, i.e., abbreviated in a brief, objective manner. (Deprecated)",rdae:P20122,property,rdac:C10006,rdae:P20204,,,Deprecated,24.5,2,
is dramatization of expression,rdae:dramatizationOfExpression.en,Relates an expression to an expression of a work that is adapted as a drama.,,,,,dramatization of expression,An expression of a work that is adapted as a drama.,rdae:P20123,property,rdac:C10006,rdae:P20152,,,Published,24.5,3,
is verse adaptation of expression,rdae:verseAdaptationOfExpression.en,Relates an expression to an expression of a work that is adapted as a literary composition in verse form.,,,,,verse adaptation of expression,An expression of a work that is adapted as a literary composition in verse form.,rdae:P20124,property,rdac:C10006,rdae:P20152,,,Published,24.5,3,
is motion picture adaptation of expression,rdae:motionPictureAdaptationOfExpression.en,Relates an expression to an expression of a work that is adapted as a motion picture.,,,,,motion picture adaptation of expression,An expression of a work that is adapted as a motion picture.,rdae:P20125,property,rdac:C10006,rdae:P20152,,,Published,24.5,3,
is novelization of expression,rdae:novelizationOfExpression.en,Relates an expression to an expression of a work that is adapted as a novel.,,,,,novelization of expression,An expression of a work that is adapted as a novel.,rdae:P20126,property,rdac:C10006,rdae:P20152,,,Published,24.5,3,
is radio adaptation of expression,rdae:radioAdaptationOfExpression.en,Relates an expression to an expression of a work that is adapted as a radio program.,,,,,radio adaptation of expression,An expression of a work that is adapted as a radio program.,rdae:P20127,property,rdac:C10006,rdae:P20152,,,Published,24.5,3,
is television adaptation of expression,rdae:televisionAdaptationOfExpression.en,Relates an expression to an expression of a work that is adapted as a television program.,,,,,television adaptation of expression,An expression of a work that is adapted as a television program.,rdae:P20128,property,rdac:C10006,rdae:P20152,,,Published,24.5,3,
is screenplay based on expression,rdae:screenplayBasedOnExpression.en,"Relates an expression to an expression of a work that is adapted as a screenplay for a motion picture, television program, or video.",,,,,screenplay based on expression,"An expression of a work that is adapted as a screenplay for a motion picture, television program, or video.",rdae:P20129,property,rdac:C10006,rdae:P20152,,,Published,24.5,3,
is motion picture screenplay based on expression,rdae:motionPictureScreenplayBasedOnExpression.en,Relates an expression to an expression of a work that is adapted as a screenplay for a motion picture.,,,,,motion picture screenplay based on expression,An expression of a work that is adapted as a screenplay for a motion picture.,rdae:P20130,property,rdac:C10006,rdae:P20129,,,Published,24.5,3,
is television screenplay based on expression,rdae:televisionScreenplayBasedOnExpression.en,Relates an expression to an expression of a work that is adapted as a screenplay for a television program.,,,,,television screenplay based on expression,An expression of a work that is adapted as a screenplay for a television program.,rdae:P20131,property,rdac:C10006,rdae:P20129,,,Published,24.5,3,
is video screenplay based on expression,rdae:videoScreenplayBasedOnExpression.en,Relates an expression to an expression of a work that is adapted as a screenplay for a video.,,,,,video screenplay based on expression,An expression of a work that is adapted as a screenplay for a video.,rdae:P20132,property,rdac:C10006,rdae:P20129,,,Published,24.5,3,
is radio script based on expression,rdae:radioScriptBasedOnExpression.en,Relates an expression to an expression of a work that is adapted as a script for a radio program.,,,,,radio script based on expression,An expression of a work that is adapted as a script for a radio program.,rdae:P20133,property,rdac:C10006,rdae:P20152,,,Published,24.5,3,
is video adaptation of expression,rdae:videoAdaptationOfExpression.en,Relates an expression to an expression of a work that is adapted for video.,,,,,video adaptation of expression,An expression of a work that is adapted for video.,rdae:P20134,property,rdac:C10006,rdae:P20152,,,Published,24.5,3,
is digest of expression,rdae:digestOfExpression.en,"Relates an expression to an expression of a work that is digested, i.e., systematically and comprehensively condensed.",,,,,digest of expression,"An expression of a work that is digested, i.e., systematically and comprehensively condensed.",rdae:P20135,property,rdac:C10006,rdae:P20204,,,Published,24.5,3,
is analysis of (expression) (Deprecated),rdae:analysisOfExpression.en,Relates an expression to an expression of a work that has been examined to identify its components and their relations. (Deprecated),,,,,analysis of (expression) (Deprecated),An expression of a work that has been examined to identify its components and their relations. (Deprecated),rdae:P20136,property,rdac:C10006,rdae:P20072,,,Deprecated,,,
is absorption of expression,rdae:absorptionOfExpression.en,Relates an expression to an expression of a work whose content is incorporated in the content of an expression of another work.,,,,,absorption of expression,An expression of a work whose content is incorporated in the content of an expression of another work.,rdae:P20137,property,rdac:C10006,rdae:P20154,,,Published,24.5,2,
is absorption in part of expression,rdae:absorptionInPartOfExpression.en,Relates an expression to an expression of a work whose partial content is incorporated in the content of an expression of another work.,,,,,absorption in part of expression,An expression of a work whose partial content is incorporated in the content of an expression of another work.,rdae:P20138,property,rdac:C10006,rdae:P20154,,,Published,24.5,2,
is arrangement of,rdae:arrangementOf.en,Relates an expression to an expression of a musical work whose medium of performance is modified to create a new expression that is different from another expression of the same work.,"This element applies to modifications of a work for the same medium of performance, etc., that keep the musical substance of the original composition essentially unchanged, and excludes substantial modification that results in the creation of a new musical work.",,,,arrangement of,An expression of a musical work whose medium of performance is modified to create a new expression that is different from another expression of the same work.,rdae:P20139,property,rdac:C10006,rdae:P20574,,,Published,24.5,2,
is free translation of expression,rdae:freeTranslationOfExpression.en,Relates an expression to an expression of a work that is adapted and translated into another language.,,,,,free translation of expression,An expression of a work that is adapted and translated into another language.,rdae:P20140,property,rdac:C10006,rdae:P20204,,,Published,24.5,3,
is translation of,rdae:translationOf.en,Relates an expression to an expression whose language is modified to create a new expression that is different from another expression of the same work.,,,,,translation of,An expression whose language is modified to create a new expression that is different from another expression of the same work.,rdae:P20141,property,rdac:C10006,rdae:P20574,,,Published,24.5,2,
is parodied as expression,rdae:parodiedAsExpression.en,Relates an expression to an expression of a work that imitates the style or content of an expression of another work for comic effect.,,,,,parodied as expression,An expression of a work that imitates the style or content of an expression of another work for comic effect.,rdae:P20142,property,rdac:C10006,rdae:P20114,,,Published,24.5,3,
is absorbed by expression,rdae:absorbedByExpression.en,Relates an expression to an expression of a work whose content incorporates the content of an expression of another work.,,,,,absorbed by expression,An expression of a work whose content incorporates the content of an expression of another work.,rdae:P20143,property,rdac:C10006,rdae:P20169,,,Published,24.5,2,
is absorbed in part by expression,rdae:absorbedInPartByExpression.en,Relates an expression to an expression of a work whose content incorporates the partial content of an expression of another work.,,,,,absorbed in part by expression,An expression of a work whose content incorporates the partial content of an expression of another work.,rdae:P20144,property,rdac:C10006,rdae:P20169,,,Published,24.5,2,
has part expression,rdae:partExpression.en,Relates an expression to an expression that is a discrete component of another expression.,,container of (expression),,,part expression,An expression that is a discrete component of another expression.,rdae:P20145,property,rdac:C10006,rdae:P20205,,,Published,24.5,3,
is errata to expression,rdae:errataToExpression.en,"Relates an expression to an expression of a work that is augmented by a list of errors in a predominant work, discovered after publication, with their corrections.",,,,,errata to expression,"An expression of a work that is augmented by a list of errors in a predominant work, discovered after publication, with their corrections.",rdae:P20146,property,rdac:C10006,rdae:P20192,,,Published,24.5,2,
is guide to expression,rdae:guideToExpression.en,"Relates an expression to an expression of a work that is augmented by a related work consisting of material to help the user of a predominant work, such as notes, learning and study aids, exercises, problems, questions and answers, or other instructor or student materials.",,,,,guide to expression,"An expression of a work that is augmented by a related work that consists of material to help the user of a predominant work, such as notes, learning and study aids, exercises, problems, questions and answers, or other instructor or student materials.",rdae:P20147,property,rdac:C10006,rdae:P20192,,,Published,24.5,2,
is illustrations for expression,rdae:illustrationsForExpression.en,Relates an expression to an expression of a work that is augmented by pictorial content designed to explain or decorate it.,,,,,illustrations for expression,An expression of a work that is augmented by pictorial content designed to explain or decorate it.,rdae:P20148,property,rdac:C10006,rdae:P20192,,,Published,24.5,2,
is continuation of expression,rdae:continuationOfExpression.en,Relates an expression to an expression of a work that is a completed diachronic work whose content is continued by an expression of another diachronic work.,This element applies in general to an expression of a successive work.,,,,continuation of expression,An expression of a work that is a completed diachronic work whose content is continued by an expression of another diachronic work.,rdae:P20149,property,rdac:C10006,rdae:P20154,,,Published,24.5,2,
is evaluation of (expression) (Deprecated),rdae:evaluationOfExpression.en,Relates an expression to an expression of a work that is examined or judged. (Deprecated),,,,,evaluation of (expression),An expression of a work that is examined or judged.,rdae:P20150,property,rdac:C10006,rdae:P20072,,,Deprecated,,,
is supplement to expression,rdae:supplementToExpression.en,Relates an expression to an expression of a work that is updated or otherwise complemented by an augmenting expression.,,,,,supplement to expression,An expression of a work that is updated or otherwise complemented by an augmenting expression.,rdae:P20151,property,rdac:C10006,rdae:P20192,,,Published,24.5,2,
is adaptation of expression,rdae:adaptationOfExpression.en,"Relates an expression to an expression of a work that is modified for a purpose, use, or medium other than that for which it was originally intended.",,,,,adaptation of expression,"An expression of a work that is modified for a purpose, use, or medium other than that for which it was originally intended.",rdae:P20152,property,rdac:C10006,rdae:P20204,,,Published,24.5,3,
is adapted as expression,rdae:adaptedAsExpression.en,"Relates an expression to an expression of a work that modifies an expression of another work for a purpose, use, or medium other than that for which it was originally intended.",,,,,adapted as expression,"An expression of a work that modifies an expression of another work for a purpose, use, or medium other than that for which it was originally intended.",rdae:P20153,property,rdac:C10006,rdae:P20203,,,Published,24.5,3,
is preceded by expression,rdae:precededByExpression.en,"Relates an expression to an expression of a work that precedes, that is, is earlier in time or before in narrative, etc., a succeeding expression.",,,,,preceded by expression,"An expression of a work that precedes, that is, is earlier in time or before in narrative, etc., a succeeding expression.",rdae:P20154,property,rdac:C10006,rdae:P20205,,,Published,24.5,2,
has finding aid expression (Deprecated),rdae:findingAidExpression.en,"Relates an expression to an expression of a work that provides a guide to the organization, arrangement, and contents of an archival collection. (Deprecated)",,,,,finding aid expression (Deprecated),"An expression of a work that provides a guide to the organization, arrangement, and contents of an archival collection. (Deprecated)",rdae:P20155,property,rdac:C10006,rdae:P20105,,,Deprecated,24.5,2,
has index expression (Deprecated),rdae:indexExpression.en,"Relates an expression to an expression of a work that provides a systematic, alphabetical guide to the contents of a predominant expression, usually keyed to page numbers or other reference codes. (Deprecated)",,,,,index expression (Deprecated),"An expression of a work that provides a systematic, alphabetical guide to the contents of a predominant expression, usually keyed to page numbers or other reference codes. (Deprecated)",rdae:P20156,property,rdac:C10006,rdae:P20105,,,Deprecated,24.5,2,
has screenplay expression,rdae:screenplayExpression.en,"Relates an expression to an expression of a work that provides text for a motion picture, television program or video.",,,,,screenplay expression,"An expression of a work that provides text for a motion picture, television program or video.",rdae:P20157,property,rdac:C10006,rdae:P20100,,,Published,24.5,2,
has motion picture screenplay expression,rdae:motionPictureScreenplayExpression.en,Relates an expression to an expression of a work that provides text for a motion picture.,,,,,motion picture screenplay expression,An expression of a work that provides text for a motion picture.,rdae:P20158,property,rdac:C10006,rdae:P20157,,,Published,24.5,2,
is musical setting of expression,rdae:musicalSettingOfExpression.en,"Relates an expression to an expression of a work that provides text for a non-dramatic musical work, other than an oratorio.",,,,,musical setting of expression,"An expression of a work that provides text for a non-dramatic musical work, other than an oratorio.",rdae:P20159,property,rdac:C10006,rdae:P20204,,,Published,24.5,3,
has radio script expression,rdae:radioScriptExpression.en,Relates an expression to an expression of a work that provides text for a radio program.,,,,,radio script expression,An expression of a work that provides text for a radio program.,rdae:P20160,property,rdac:C10006,rdae:P20100,,,Published,24.5,2,
has television screenplay expression,rdae:televisionScreenplayExpression.en,Relates an expression to an expression of a work that provides text for a television program.,,,,,television screenplay expression,An expression of a work that provides text for a television program.,rdae:P20161,property,rdac:C10006,rdae:P20157,,,Published,24.5,2,
has video screenplay expression,rdae:videoScreenplayExpression.en,Relates an expression to an expression of a work that provides text for a video.,,,,,video screenplay expression,An expression of a work that provides text for a video.,rdae:P20162,property,rdac:C10006,rdae:P20157,,,Published,24.5,2,
has libretto expression,rdae:librettoExpression.en,"Relates an expression to an expression of a work that provides text for an opera or other work for the musical stage, or an oratorio.",,,,,libretto expression,"An expression of a work that provides text for an opera or other work for the musical stage, or an oratorio.",rdae:P20163,property,rdac:C10006,rdae:P20100,,,Published,24.5,2,
is paraphrased as expression,rdae:paraphrasedAsExpression.en,Relates an expression to an expression of a work that restates the content of an expression of another work in a different form.,,,,,paraphrased as expression,An expression of a work that restates the content of an expression of another work in a different form.,rdae:P20164,property,rdac:C10006,rdae:P20203,,,Published,24.5,3,
is arranged as,rdae:arrangedAs.en,Relates an expression to an expression of a musical work whose medium of performance is a modification of another expression of the same work.,"This element applies to modifications of a work for the same medium of performance, etc., that keep the musical substance of the original composition essentially unchanged, and excludes substantial modification that results in the creation of a new musical work.",,,,arranged as,An expression of a musical work whose medium of performance is a modification of another expression of the same work.,rdae:P20165,property,rdac:C10006,rdae:P20575,,,Published,24.5,2,
is abridged as expression,rdae:abridgedAsExpression.en,Relates an expression to an expression of a work that shortens an expression of a related work without changing the general meaning or manner of presentation.,,,,,abridged as expression,An expression of a work that shortens an expression of a related work without changing the general meaning or manner of presentation.,rdae:P20166,property,rdac:C10006,rdae:P20203,,,Published,24.5,3,
is split from expression,rdae:splitFromExpression.en,Relates an expression to an expression of a work that is a diachronic work that is completed whose partial content is continued by an expression of another diachronic work.,This element applies in general to an expression of a successive work.,continuation in part of (expression),,,split from expression,An expression of a work that is a diachronic work that is completed whose partial content is continued by an expression of another diachronic work.,rdae:P20167,property,rdac:C10006,rdae:P20154,,,Published,24.5,2,
is separated from expression,rdae:separatedFromExpression.en,Relates an expression to an expression of a work that is a diachronic work whose partial content is continued by an expression of another diachronic work.,This element applies in general to an expression of a successive work.,,,,separated from expression,An expression of a work that is a diachronic work whose partial content is continued by an expression of another diachronic work.,rdae:P20168,property,rdac:C10006,rdae:P20154,,,Published,24.5,2,
is succeeded by expression,rdae:succeededByExpression.en,"Relates an expression to an expression of a work that succeeds, that is, is later in time or after in a narrative, etc., a preceding expression.",,,,,succeeded by expression,"An expression of a work that succeeds, that is, is later in time or after in a narrative, etc., a preceding expression.",rdae:P20169,property,rdac:C10006,rdae:P20205,,,Published,24.5,2,
is digested as expression,rdae:digestedAsExpression.en,Relates an expression to an expression of a work that systematically and comprehensively condenses a source expression.,,,,,digested as expression,An expression of a work that systematically and comprehensively condenses an expression of another work.,rdae:P20170,property,rdac:C10006,rdae:P20203,,,Published,24.5,3,
is translated as,rdae:translatedAs.en,Relates an expression to an expression whose language is a modification of another expression of the same work.,,,,,translated as,An expression whose language is a modification of another expression of the same work.,rdae:P20171,property,rdac:C10006,rdae:P20575,,,Published,24.5,2,
has supplement expression,rdae:supplementExpression.en,Relates an expression to an expression of a work that updates or otherwise complements a predominant expression.,,,,,supplement expression,An expression of a work that updates or otherwise complements a predominant expression.,rdae:P20172,property,rdac:C10006,rdae:P20105,,,Published,24.5,2,
is screenplay for motion picture expression,rdae:screenplayForMotionPictureExpression.en,Relates an expression to an expression of a work that uses the text as a screenplay for a motion picture.,,,,,screenplay for motion picture expression,An expression of a work that uses the text as a screenplay for a motion picture.,rdae:P20173,property,rdac:C10006,rdae:P20102,,,Published,24.5,2,
is screenplay for television program expression,rdae:screenplayForTelevisionProgramExpression.en,Relates an expression to an expression of a work that uses the text as a screenplay for a television program.,,,,,screenplay for television program expression,An expression of a work that uses the text as a screenplay for a television program.,rdae:P20174,property,rdac:C10006,rdae:P20102,,,Published,24.5,2,
is screenplay for video expression,rdae:screenplayForVideoExpression.en,Relates an expression to an expression of a work that uses the text as a screenplay for a video.,,,,,screenplay for video expression,An expression of a work that uses the text as a screenplay for a video.,rdae:P20175,property,rdac:C10006,rdae:P20102,,,Published,24.5,2,
is script for radio program expression,rdae:scriptForRadioProgramExpression.en,Relates an expression to an expression of a work that uses the text as a script for a radio program.,,,,,script for radio program expression,An expression of a work that uses the text as a script for a radio program.,rdae:P20176,property,rdac:C10006,rdae:P20100,,,Published,24.5,2,
is addenda to expression,rdae:addendaToExpression.en,Relates an expression to an expression of a work whose content is completed with brief content from an expression of a related work.,,,,,addenda to expression,An expression of a work whose content is completed with brief content from an expression of a related work.,rdae:P20177,property,rdac:C10006,rdae:P20192,,,Published,24.5,2,
is review of (expression) (Deprecated),rdae:reviewOfExpression.en,Relates an expression to an expression of a work that is used as the basis for a brief evaluation. (Deprecated),,,,,review of (expression) (Deprecated),An expression of a work that is used as the basis for a brief evaluation. (Deprecated),rdae:P20178,property,rdac:C10006,rdae:P20072,,,Deprecated,,,
is summary of expression (Deprecated),rdae:summaryOfExpression.en,Relates an expression to an expression of a work that is used as the basis for a brief recapitulation of its content. (Deprecated),,,,,summary of expression (Deprecated),An expression of a work that is used as the basis for a brief recapitulation of its content. (Deprecated),rdae:P20179,property,rdac:C10006,rdae:P20204,,,Deprecated,24.5,2,
is catalogue of expression (Deprecated),rdae:catalogueOfExpression.en,"Relates an expression to an expression of a work that is used as the basis for a catalogue, i.e., a complete enumeration of items arranged systematically. (Deprecated)",,,,,catalogue of expression (Deprecated),"An expression of a work that is used as the basis for a catalogue, i.e., a complete enumeration of items arranged systematically. (Deprecated)",rdae:P20180,property,rdac:C10006,rdae:P20192,,,Deprecated,24.5,2,
is concordance to expression,rdae:concordanceToExpression.en,Relates an expression to an expression that is used as the basis of a concordance work that is realized by another expression.,,,,,concordance to expression,An expression that is used as the basis of a concordance work that is realized by another expression.,rdae:P20181,property,rdac:C10006,rdae:P20203,,,Published,24.5,2,
is critique of (expression) (Deprecated),rdae:critiqueOfExpression.en,Relates an expression to an expression of a work that is used as the basis for a critical evaluation. (Deprecated),,,,,critique of (expression) (Deprecated),An expression of a work that is used as the basis for a critical evaluation. (Deprecated),rdae:P20182,property,rdac:C10006,rdae:P20072,,,Deprecated,,,
is choreographic adaptation of expression,rdae:choreographicAdaptationOfExpression.en,Relates an expression to an expression of a work that is adapted as a work that consists of movement.,,,,,choreographic adaptation of expression,An expression of a work that is adapted as a work that consists of movement.,rdae:P20183,property,rdac:C10006,rdae:P20152,,,Published,24.5,3,
is expanded version of expression,rdae:expandedVersionOfExpression.en,Relates an expression to an expression of a work that is used as the basis for a derivative work that enlarges upon the content of an expression of another work.,,,,,expanded version of expression,An expression of a work that is used as the basis for a derivative work that enlarges upon the content of an expression of another work.,rdae:P20184,property,rdac:C10006,rdae:P20204,,,Published,24.5,3,
is remake of expression,rdae:remakeOfExpression.en,"Relates an expression to an expression of a work that is used as a basis for a new motion picture, radio program, television program, or video.",,,,,remake of expression,"An expression of a work that is used as a basis for a new motion picture, radio program, television program, or video.",rdae:P20185,property,rdac:C10006,rdae:P20204,,,Published,24.5,3,
is paraphrase of expression,rdae:paraphraseOfExpression.en,Relates an expression to an expression of a work that is used as the basis for a restating of the content of an expression of another work in a different form.,,,,,paraphrase of expression,An expression of a work that is used as the basis for a restating of the content of an expression of another work in a different form.,rdae:P20186,property,rdac:C10006,rdae:P20204,,,Published,24.5,3,
is commentary on (expression) (Deprecated),rdae:commentaryOnExpression.en,Relates an expression to an expression of a work that is used as the basis for a set of explanatory or critical notes. (Deprecated),,,,,commentary on (expression) (Deprecated),An expression of a work that is used as the basis for a set of explanatory or critical notes. (Deprecated),rdae:P20187,property,rdac:C10006,rdae:P20072,,,Deprecated,,,
is index to expression (Deprecated),rdae:indexToExpression.en,"Relates an expression to an expression of a work that is used as the basis for an index, i.e., a systematic, alphabetical guide to the contents of a predominant expression, usually keyed to page numbers or other reference codes. (Deprecated)",,,,,index to expression (Deprecated),"An expression of a work that is used as the basis for an index, i.e., a systematic, alphabetical guide to the contents of a predominant expression, usually keyed to page numbers or other reference codes. (Deprecated)",rdae:P20188,property,rdac:C10006,rdae:P20192,,,Deprecated,24.5,2,
is revision of,rdae:revisionOf.en,"Relates an expression to an expression that is updated, corrected, or expanded to create a new expression of the same work.",,,,,revision of,"An expression that is updated, corrected, or expanded to create a new expression of the same work.",rdae:P20189,property,rdac:C10006,rdae:P20574,,,Published,24.5,2,
is libretto based on expression,rdae:librettoBasedOnExpression.en,"Relates an expression to an expression of a work that is used as the basis for the text of an opera or other work for the musical stage, or an oratorio.",,,,,libretto based on expression,"An expression of a work that is used as the basis for the text of an opera or other work for the musical stage, or an oratorio.",rdae:P20190,property,rdac:C10006,rdae:P20152,,,Published,24.5,3,
is continued by expression,rdae:continuedByExpression.en,Relates an expression to an expression of a work that is a diachronic work that continues the content of another diachronic work that is completed.,This element applies in general to an expression of a successive work.,,,,continued by expression,An expression of a work that is a diachronic work that continues the content of another diachronic work that is completed.,rdae:P20191,property,rdac:C10006,rdae:P20169,,,Published,24.5,2,
is augmentation of expression,rdae:augmentationOfExpression.en,Relates an expression to an expression of a work whose content is added to by a related expression.,,,,,augmentation of expression,An expression of a work whose content is added to by a related expression.,rdae:P20192,property,rdac:C10006,rdae:P20205,,,Published,24.5,2,
is abstracts for expression,rdae:abstractsForExpression.en,Relates an expression to an expression of a work whose contents have been abstracted by an abstracting and indexing service.,,,,,abstracts for expression,An expression of a work whose contents have been abstracted by an abstracting and indexing service.,rdae:P20193,property,rdac:C10006,rdae:P20204,,,Published,24.5,2,
is indexing for expression (Deprecated),rdae:indexingForExpression.en,Relates an expression to an expression of a work whose contents have been indexed by an abstracting and indexing service. (Deprecated),,,,,indexing for expression (Deprecated),An expression of a work whose contents have been indexed by an abstracting and indexing service. (Deprecated),rdae:P20194,property,rdac:C10006,rdae:P20204,,,Deprecated,24.5,2,
is imitation of expression,rdae:imitationOfExpression.en,Relates an expression to an expression of a work whose style or content is copied in a derivative work.,,,,,imitation of expression,An expression of a work whose style or content is copied in a derivative work.,rdae:P20195,property,rdac:C10006,rdae:P20204,,,Published,24.5,3,
is parody of expression,rdae:parodyOfExpression.en,Relates an expression to an expression of a work whose style or content is imitated for comic effect.,,,,,parody of expression,An expression of a work whose style or content is imitated for comic effect.,rdae:P20196,property,rdac:C10006,rdae:P20195,,,Published,24.5,3,
is finding aid for expression (Deprecated),rdae:findingAidForExpression.en,"Relates an expression to an expression of a work that is an archival collection described by a guide to the organization, arrangement, and contents of the collection. (Deprecated)",,,,,finding aid for expression (Deprecated),"An expression of a work that is an archival collection described by a guide to the organization, arrangement, and contents of the collection. (Deprecated)",rdae:P20197,property,rdac:C10006,rdae:P20192,,,Deprecated,24.5,2,
is replacement in part of expression,rdae:replacementInPartOfExpression.en,Relates an expression to an expression of a work whose content is partially superseded and rendered obsolete by the content of an expression of another work.,This element applies in general to an expression of a static work.,,,,replacement in part of expression,An expression of a work whose content is partially superseded and rendered obsolete by the content of an expression of another work.,rdae:P20198,property,rdac:C10006,rdae:P20154,,,Published,24.5,2,
is replacement of expression,rdae:replacementOfExpression.en,Relates an expression to an expression of a work whose content is superseded and rendered obsolete by the content of an expression of another work.,This element applies in general to an expression of a static work or an integrating work.,,,,replacement of expression,An expression of a work whose content is superseded and rendered obsolete by the content of an expression of another work.,rdae:P20199,property,rdac:C10006,rdae:P20154,,,Published,24.5,2,
is split into expression,rdae:splitIntoExpression.en,Relates an expression to an expression of a work that is a diachronic work that continues the partial content of another diachronic work that is completed.,This element applies in general to an expression of a successive work.,,,,split into expression,An expression of a work that is a diachronic work that continues the partial content of another diachronic work that is completed.,rdae:P20200,property,rdac:C10006,rdae:P20169,,,Published,24.5,2,
is merger of expression,rdae:mergerOfExpression.en,Relates an expression to an expression of a work that came together with one or more other expressions to form a new expression.,,,,,merger of expression,An expression of a work that came together with one or more other expressions to form a new expression.,rdae:P20201,property,rdac:C10006,rdae:P20154,,,Published,24.5,2,
is described in (expression) (Deprecated),rdae:describedInExpression.en,Relates an expression to an expression of a work that describes an expression. (Deprecated),,,,,described in (expression) (Deprecated),An expression of a work that describes an expression. (Deprecated),rdae:P20202,property,rdac:C10006,rdae:P20234,,,Deprecated,,,
has expression of derivative work,rdae:expressionOfDerivativeWork.en,Relates an expression to an expression of a work that is a modification of a source expression of a different work.,,has derivative expression,derivative expression,,expression of derivative work,An expression of a work that is a modification of a source expression of a different work.,rdae:P20203,property,rdac:C10006,rdae:P20205,,,Published,24.5,3,
has expression of source work,rdae:expressionOfSourceWork.en,Relates an expression to an expression of a work that is modified to create an expression of a derivative work.,,is based on expression,based on expression,,expression of source work,An expression of a work that is modified to create an expression of a derivative work.,rdae:P20204,property,rdac:C10006,rdae:P20205,,,Published,24.5,3,
has related expression of expression,rdae:relatedExpressionOfExpression.en,Relates an expression to an expression that is associated with an expression.,,whole-part expression relationship,sequential expression relationship,derivative expression relationship,related expression of expression,An expression that is associated with an expression.,rdae:P20205,property,rdac:C10006,rdae:P20297,rdax:P00003,,Published,,1,
