*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type
has contributor person to aggregate,rdam:contributorPersonToAggregate.en,Relates a manifestation to a person who is responsible for creating an expression of a work that is embodied by an aggregate.,,,,,,,,,,,contributor person to aggregate,A person who is responsible for creating an expression of a work that is embodied by an aggregate.,rdam:P30336,property,rdac:C10007,rdam:P30268,rdam:P30327,,Published,,2
has copyright date,rdam:copyrightDate.en,Relates a manifestation to a timespan associated with a claim of protection under copyright or a similar regime.,A copyright date includes a phonogram date associated with a claim of protection for an audio recording.,,,,,,,,,,copyright date,A timespan associated with a claim of protection under copyright or a similar regime.,rdam:P30007,property,rdac:C10007,rdam:P30278,,,Published,2.11,3
has creator agent of manifestation,rdam:creatorAgentOfManifestation.en,Relates a manifestation to an agent who is responsible for the embodiment of one or more expressions.,"A creator of manifestation includes a manufacturer, producer, and publisher.",,,,,,,,,,creator agent of manifestation,An agent who is responsible for the embodiment of one or more expressions.,rdam:P30329,property,rdac:C10007,rdam:P30267,,,Published,,2
has creator collective agent of manifestation,rdam:creatorCollectiveAgentOfManifestation.en,Relates a manifestation to a collective agent who is responsible for the embodiment of one or more expressions.,"A creator of manifestation includes a manufacturer, producer, and publisher.",,,,,,,,,,creator collective agent of manifestation,A collective agent who is responsible for the embodiment of one or more expressions.,rdam:P30392,property,rdac:C10007,rdam:P30271,rdam:P30329,,Published,,2
has creator corporate body of manifestation,rdam:creatorCorporateBodyOfManifestation.en,Relates a manifestation to a corporate body who is responsible for the embodiment of one or more expressions.,"A creator of manifestation includes a manufacturer, producer, and publisher.",,,,,,,,,,creator corporate body of manifestation,A corporate body who is responsible for the embodiment of one or more expressions.,rdam:P30421,property,rdac:C10007,rdam:P30270,rdam:P30392,,Published,,2
has creator family of manifestation,rdam:creatorFamilyOfManifestation.en,Relates a manifestation to a family who is responsible for the embodiment of one or more expressions.,"A creator of manifestation includes a manufacturer, producer, and publisher.",,,,,,,,,,creator family of manifestation,A family who is responsible for the embodiment of one or more expressions.,rdam:P30450,property,rdac:C10007,rdam:P30269,rdam:P30392,,Published,,2
has creator person of manifestation,rdam:creatorPersonOfManifestation.en,Relates a manifestation to a person who is responsible for the embodiment of one or more expressions.,"A creator of manifestation includes a manufacturer, producer, and publisher.",,,,,,,,,,creator person of manifestation,A person who is responsible for the embodiment of one or more expressions.,rdam:P30363,property,rdac:C10007,rdam:P30268,rdam:P30329,,Published,,2
is critique of (manifestation) (Deprecated),rdam:critiqueOfManifestation.en,Relates a work to a manifestation used as the basis for a critical evaluation. (Deprecated),,,,,,,,,,,critique of (manifestation) (Deprecated),A manifestation used as the basis for a critical evaluation. (Deprecated),rdam:P30042,property,rdac:C10001,rdam:P30023,,,Deprecated,,
has date of distribution,rdam:dateOfDistribution.en,Relates a manifestation to a timespan during which a published manifestation is distributed.,,,,,,,,,,,date of distribution,A timespan during which a published manifestation is distributed.,rdam:P30008,property,rdac:C10007,rdam:P30278,,,Published,2.9.6,3
has date of manifestation,rdam:dateOfManifestation.en,"Relates a manifestation to a timespan during which a published manifestation is published, released, issued, printed, duplicated, cast, or distributed, or an unpublished manifestation is inscribed, fabricated, constructed, or otherwise produced.",,,,,,,,,,,date of manifestation,"A timespan during which a published manifestation is published, released, issued, printed, duplicated, cast, or distributed, or an unpublished manifestation is inscribed, fabricated, constructed, or otherwise produced.",rdam:P30278,property,rdac:C10007,rdam:P30273,,,Published,,3
has date of manufacture,rdam:dateOfManufacture.en,"Relates a manifestation to a timespan during which a published manifestation is printed, duplicated, cast, cast, or otherwise manufactured.",,,,,,,,,,,date of manufacture,"A timespan during which a published manifestation is printed, duplicated, cast, or otherwise manufactured.",rdam:P30010,property,rdac:C10007,rdam:P30278,,,Published,2.10.6,3
has date of production,rdam:dateOfProduction.en,"Relates a manifestation to a timespan during which an unpublished manifestation is inscribed, fabricated, constructed, or otherwise produced.",,,,,,,,,,,date of production,"A timespan during which an unpublished manifestation is inscribed, fabricated, constructed, or otherwise produced.",rdam:P30009,property,rdac:C10007,rdam:P30278,,,Published,2.7.6,3
has date of publication,rdam:dateOfPublication.en,"Relates a manifestation to a timespan during which a published manifestation is published, released, or issued.",,,,,,,,,,,date of publication,"A timespan during which a published manifestation is published, released, or issued.",rdam:P30011,property,rdac:C10007,rdam:P30278,,,Published,2.8.6,3
is description of (manifestation) (Deprecated),rdam:descriptionOfManifestation.en,Relates a work to a manifestation described by a describing work. (Deprecated),,,,,,,,,,,description of (manifestation) (Deprecated),A manifestation described by a describing work. (Deprecated),rdam:P30023,property,rdac:C10001,rdam:P30211,,,Deprecated,,
has descriptive manifestation relationship with (Deprecated),rdam:descriptiveManifestationRelationship.en,Relates a manifestation to a work that is a description of the manifestation. (Deprecated),,,,,,,,,,,descriptive manifestation relationship (Deprecated),A work that is a description of the manifestation. (Deprecated),rdam:P30211,property,rdac:C10007,rdam:P30048,,,Deprecated,,
has designation of edition,rdam:designationOfEdition.en,"Relates a manifestation to a word, character, or group of words or characters, that identifies an edition to which a manifestation belongs.",,,,,,,,,,,designation of edition,"A word, character, or group of words or characters, that identifies an edition to which a manifestation belongs.",rdam:P30133,property,rdac:C10007,,,,Published,2.5.2,6
has designation of named revision of edition,rdam:designationOfNamedRevisionOfEdition.en,"Relates a manifestation to a word, character, or group of words or characters, that identifies a particular revision of a named edition.",,,,,,,,,,,designation of named revision of edition,"A word, character, or group of words or characters, that identifies a particular revision of a named edition.",rdam:P30132,property,rdac:C10007,,,,Published,2.5.6,6
has details of applied material,rdam:detailsOfAppliedMaterial.en,Relates a manifestation to details of a physical or chemical substance that is applied to a base material of a manifestation.,,,,,,,,,,,details of applied material,Details of a physical or chemical substance that is applied to a base material of a manifestation.,rdam:P30216,property,rdac:C10007,,,,Published,3.7.1.4,6
has details of base material,rdam:detailsOfBaseMaterial.en,Relates a manifestation to details of an underlying physical material of a manifestation.,,,,,,,,,,,details of base material,Details of an underlying physical material of a manifestation.,rdam:P30217,property,rdac:C10007,,,,Published,3.6.1.4,6
has details of bibliographic format,rdam:detailsOfBibliographicFormat.en,"Relates a manifestation to details of a proportional relationship between a whole sheet in a printed or manuscript resource and the individual leaves that result if that sheet is left full, cut, or folded.",,,,,,,,,,,details of bibliographic format,"Details of a proportional relationship between a whole sheet in a printed or manuscript resource and the individual leaves that result if that sheet is left full, cut, or folded.",rdam:P30218,property,rdac:C10007,,,,Published,3.12.1.4,6
has details of broadcast standard,rdam:detailsOfBroadcastStandard.en,Relates a manifestation to details of a system that is used to format a manifestation of a video for television broadcast.,,,,,,,,,,,details of broadcast standard,Details of a system that is used to format a manifestation of a video for television broadcast.,rdam:P30219,property,rdac:C10007,rdam:P30250,,,Published,3.18.3.4,6
has details of cartographic data type,rdam:detailsOfCartographicDataType.en,Relates a manifestation to details of a machine-readable representation of geospatial features.,,,,,,,,,,,details of cartographic data type,Details of a machine-readable representation of geospatial features.,rdam:P30262,property,rdac:C10007,,,,Published,3.19.8.5.4,6
has details of configuration of playback channels,rdam:detailsOfConfigurationOfPlaybackChannels.en,Relates a manifestation to details of a number of sound channels used to make a recording.,,,,,,,,,,,details of configuration of playback channels,Details of a number of sound channels used to make a recording.,rdam:P30220,property,rdac:C10007,rdam:P30245,,,Published,3.16.8.4,6
has details of digital file characteristic,rdam:detailsOfDigitalFileCharacteristic.en,"Relates a manifestation to details of a technical specification relating to the digital encoding of text, image, audio, video, or other types of data in a manifestation.",,,,,,,,,,,details of digital file characteristic,"Details of a technical specification relating to the digital encoding of text, image, audio, video, or other types of data in a manifestation.",rdam:P30221,property,rdac:C10007,,,,Published,3.19.1.4,6
has details of digital representation of cartographic content,rdam:detailsOfDigitalRepresentationOfCartographicContent.en,Relates a manifestation to details of an encoding of geospatial information in a manifestation.,,,,,,,,,,,details of digital representation of cartographic content,Details of an encoding of geospatial information in a manifestation.,rdam:P30222,property,rdac:C10007,rdam:P30221,,,Published,3.19.8.4,6
has details of emulsion on microfilm and microfiche,rdam:detailsOfEmulsionOnMicrofilmAndMicrofiche.en,Relates a manifestation to details of a suspension of light-sensitive chemicals that is used as a coating on a microfilm or microfiche.,,,,,,,,,,,details of emulsion on microfilm and microfiche,Details of a suspension of light-sensitive chemicals that is used as a coating on a microfilm or microfiche.,rdam:P30223,property,rdac:C10007,rdam:P30216,,,Published,3.7.2.4,6
has details of encoding format,rdam:detailsOfEncodingFormat.en,Relates a manifestation to details of a schema or standard used to encode the digital content of a manifestation.,,,,,,,,,,,details of encoding format,Details of a schema or standard used to encode the digital content of a manifestation.,rdam:P30224,property,rdac:C10007,rdam:P30221,,,Published,3.19.3.4,6
has details of file type,rdam:detailsOfFileType.en,Relates a manifestation to details of a general type of data content that is encoded in a computer file.,,,,,,,,,,,details of file type,Details of a general type of data content that is encoded in a computer file.,rdam:P30225,property,rdac:C10007,rdam:P30221,,,Published,3.19.2.4,6
has details of font size,rdam:detailsOfFontSize.en,Relates a manifestation to details of a size of the type that is used to represent the characters and symbols in a manifestation.,,,,,,,,,,,details of font size,Details of a size of the type that is used to represent the characters and symbols in a manifestation.,rdam:P30226,property,rdac:C10007,,,,Published,3.13.1.4,6
has details of generation,rdam:detailsOfGeneration.en,Relates a manifestation to details of a relationship between an original carrier and a carrier of a reproduction made from an original.,,,,,,,,,,,details of generation,Details of a relationship between an original carrier and a carrier of a reproduction made from an original.,rdam:P30252,property,rdac:C10007,,,,Published,3.10.1.4,6
has details of generation of audio recording (Deprecated),rdam:detailsOfGenerationOfAudioRecording.en,Relates a manifestation to details of the relationship between an original audio carrier and the carrier of a reproduction made from the original.,,,,,,,,,,,details of generation of audio recording (Deprecated),Details of the relationship between an original audio carrier and the carrier of a reproduction made from the original. (Deprecated),rdam:P30227,property,rdac:C10007,rdam:P30252,,,Deprecated,3.10.2.4,
has details of generation of digital resource (Deprecated),rdam:detailsOfGenerationOfDigitalResource.en,Relates a manifestation to details of the relationship between an original carrier of a digital resource and the carrier of a reproduction made from the original.,,,,,,,,,,,details of generation of digital resource (Deprecated),Details of the relationship between an original carrier of a digital resource and the carrier of a reproduction made from the original. (Deprecated),rdam:P30228,property,rdac:C10007,rdam:P30252,,,Deprecated,3.10.3.4,
has details of generation of microform (Deprecated),rdam:detailsOfGenerationOfMicroform.en,Relates a manifestation to details of the relationship between an original microform carrier and the carrier of a reproduction made from the original.,,,,,,,,,,,details of generation of microform (Deprecated),Details of the relationship between an original microform carrier and the carrier of a reproduction made from the original. (Deprecated),rdam:P30229,property,rdac:C10007,rdam:P30252,,,Deprecated,3.10.4.4,
has details of generation of motion picture film (Deprecated),rdam:detailsOfGenerationOfMotionPictureFilm.en,Relates a manifestation to details of the relationship between an original carrier of a motion picture film resource and the carrier of a reproduction made from the original.,,,,,,,,,,,details of generation of motion picture film (Deprecated),Details of the relationship between an original carrier of a motion picture film resource and the carrier of a reproduction made from the original. (Deprecated),rdam:P30230,property,rdac:C10007,rdam:P30252,,,Deprecated,3.10.5.4,
has details of generation of videotape (Deprecated),rdam:detailsOfGenerationOfVideotape.en,Relates a manifestation to details of the relationship between an original carrier of a videotape resource and the carrier of a reproduction made from the original.,,,,,,,,,,,details of generation of videotape (Deprecated),Details of the relationship between an original carrier of a videotape resource and the carrier of a reproduction made from the original. (Deprecated),rdam:P30231,property,rdac:C10007,rdam:P30252,,,Deprecated,3.10.6.4,
has details of groove characteristic,rdam:detailsOfGrooveCharacteristic.en,Relates a manifestation to details of a groove width of an analog disc or a groove pitch of an analog cylinder.,,,,,,,,,,,details of groove characteristic,Details of a groove width of an analog disc or a groove pitch of an analog cylinder.,rdam:P30232,property,rdac:C10007,rdam:P30245,,,Published,3.16.5.4,6
has details of layout,rdam:detailsOfLayout.en,"Relates a manifestation to details of an arrangement of text, images, tactile notation, or other content in a manifestation.",,,,,,,,,,,details of layout,"Details of an arrangement of text, images, tactile notation, or other content in a manifestation.",rdam:P30233,property,rdac:C10007,,,,Published,3.11.1.4,6
has details of mount,rdam:detailsOfMount.en,Relates a manifestation to details of a physical material that is used for the support or backing to which the base material of a manifestation has been attached.,,,,,,,,,,,details of mount,Details of a physical material that is used for the support or backing to which the base material of a manifestation has been attached.,rdam:P30234,property,rdac:C10007,,,,Published,3.8.1.4,6
has details of playing speed,rdam:detailsOfPlayingSpeed.en,Relates a manifestation to details of a speed at which an audio carrier must be operated to produce the sound intended.,,,,,,,,,,,details of playing speed,Details of a speed at which an audio carrier must be operated to produce the sound intended.,rdam:P30235,property,rdac:C10007,,,,Published,3.16.4.4,6
has details of polarity,rdam:detailsOfPolarity.en,Relates a manifestation to details of a relationship of the colours and tones in an image to the colours and tones of the object reproduced.,,,,,,,,,,,details of polarity,Details of a relationship of the colours and tones in an image to the colours and tones of the object reproduced.,rdam:P30236,property,rdac:C10007,,,,Published,3.14.1.4,6
has details of presentation format,rdam:detailsOfPresentationFormat.en,Relates a manifestation to details of a format that is used in the production of a projected image.,,,,,,,,,,,details of presentation format,Details of a format that is used in the production of a projected image.,rdam:P30237,property,rdac:C10007,,,,Published,3.17.2.4,6
has details of production method,rdam:detailsOfProductionMethod.en,Relates a manifestation to details of a process that is used to produce a manifestation.,,,,,,,,,,,details of production method,Details of a process that is used to produce a manifestation.,rdam:P30238,property,rdac:C10007,,,,Published,3.9.1.4,6
has details of production method for manuscript (Deprecated),rdam:detailsOfProductionMethodForManuscript.en,Relates a manifestation to details of a process used to produce an original manuscript or a copy. (Deprecated),,,,,,,,,,,details of production method for manuscript (Deprecated),Details of a process used to produce an original manuscript or a copy. (Deprecated),rdam:P30239,property,rdac:C10007,rdam:P30238,,,Deprecated,,
has details of production method for tactile resource (Deprecated),rdam:detailsOfProductionMethodForTactileResource.en,Relates a manifestation to details of a process used to produce a tactile resource. (Deprecated),,,,,,,,,,,details of production method for tactile resource (Deprecated),Details of a process used to produce a tactile resource. (Deprecated),rdam:P30240,property,rdac:C10007,rdam:P30238,,,Deprecated,3.9.3.4,
has details of projection characteristic of motion picture film,rdam:detailsOfProjectionCharacteristicOfMotionPictureFilm.en,Relates a manifestation to details of a technical specification relating to the projection of a motion picture film.,,,,,,,,,,,details of projection characteristic of motion picture film,Details of a technical specification relating to the projection of a motion picture film.,rdam:P30241,property,rdac:C10007,,,,Published,3.17.1.4,6
has details of projection speed,rdam:detailsOfProjectionSpeed.en,Relates a manifestation to details of a speed at which a projected carrier must be operated to produce the moving image intended.,,,,,,,,,,,details of projection speed,Details of a speed at which a projected carrier must be operated to produce the moving image intended.,rdam:P30242,property,rdac:C10007,rdam:P30241,,,Published,3.17.3.4,6
has details of recording medium,rdam:detailsOfRecordingMedium.en,Relates a manifestation to details of a type of medium that is used to record sound on an audio carrier.,,,,,,,,,,,details of recording medium,Details of a type of medium that is used to record sound on an audio carrier.,rdam:P30243,property,rdac:C10007,rdam:P30245,,,Published,3.16.3.4,6
has details of reduction ratio designation,rdam:detailsOfReductionRatioDesignation.en,Relates a manifestation to details of a general designation of the size of a micro-image in relation to the original from which it was produced.,,,,,,,,,,,details of reduction ratio designation,Details of a general designation of the size of a micro-image in relation to the original from which it was produced.,rdam:P30244,property,rdac:C10007,,,,Published,3.15.1.5.1.4,6
has details of regional encoding,rdam:detailsOfRegionalEncoding.en,"Relates a manifestation to details of a designation for one or more regions of the world for which a videodisc or video game carrier has been encoded, indicating that playback is restricted to a device configured to decode it.",,,,,,,,,,,details of regional encoding,"Details of a designation for one or more regions of the world for which a videodisc or video game carrier has been encoded, indicating that playback is restricted to a device configured to decode it.",rdam:P30275,property,rdac:C10007,rdam:P30221,,,Published,3.19.6.4,6
has details of sound characteristic,rdam:detailsOfSoundCharacteristic.en,Relates a manifestation to details of a technical specification relating to the encoding of sound in a manifestation.,,,,,,,,,,,details of sound characteristic,Details of a technical specification relating to the encoding of sound in a manifestation.,rdam:P30245,property,rdac:C10007,,,,Published,3.16.1.4,6
has details of special playback characteristic,rdam:detailsOfSpecialPlaybackCharacteristic.en,"Relates a manifestation to details of an equalization system, noise-reduction system, or other processing that is used in making an audio recording.",,,,,,,,,,,details of special playback characteristic,"Details of an equalization system, noise-reduction system, or other processing that is used in making an audio recording.",rdam:P30246,property,rdac:C10007,rdam:P30245,,,Published,3.16.9.4,6
has details of tape configuration,rdam:detailsOfTapeConfiguration.en,Relates a manifestation to details of a number of tracks on an audiotape.,,,,,,,,,,,details of tape configuration,Details of a number of tracks on an audiotape.,rdam:P30247,property,rdac:C10007,rdam:P30245,,,Published,3.16.7.4,6
has details of track configuration,rdam:detailsOfTrackConfiguration.en,Relates a manifestation to details of a configuration of the audio track on a sound-track film.,,,,,,,,,,,details of track configuration,Details of a configuration of the audio track on a sound-track film.,rdam:P30248,property,rdac:C10007,rdam:P30245,,,Published,3.16.6.4,6
has details of type of recording,rdam:detailsOfTypeOfRecording.en,Relates a manifestation to details of a method that is used to encode audio content for playback.,,,,,,,,,,,details of type of recording,Details of a method that is used to encode audio content for playback.,rdam:P30249,property,rdac:C10007,rdam:P30245,,,Published,3.16.2.4,6
has details of video characteristic,rdam:detailsOfVideoCharacteristic.en,Relates a manifestation to details of a technical specification relating to the encoding of video images in a manifestation.,,,,,,,,,,,details of video characteristic,Details of a technical specification relating to the encoding of video images in a manifestation.,rdam:P30250,property,rdac:C10007,,,,Published,3.18.1.4,6
has details of video format,rdam:detailsOfVideoFormat.en,Relates a manifestation to details of a schema or standard that is used to encode the analog video content of a manifestation.,,,,,,,,,,,details of video format,Details of a schema or standard that is used to encode the analog video content of a manifestation.,rdam:P30251,property,rdac:C10007,rdam:P30250,,,Published,3.18.2.4,6
has digital file characteristic,rdam:digitalFileCharacteristic.en,"Relates a manifestation to a technical specification relating to the digital encoding of text, image, audio, video, or other types of data in a manifestation.",,,,,,,,,,,digital file characteristic,"A technical specification relating to the digital encoding of text, image, audio, video, or other types of data in a manifestation.",rdam:P30124,property,rdac:C10007,,,,Published,3.19,4
has digital representation of cartographic content,rdam:digitalRepresentationOfCartographicContent.en,Relates a manifestation to a set of technical details relating to the encoding of geospatial information in a manifestation.,,,,,,,,,,,digital representation of cartographic content,A set of technical details relating to the encoding of geospatial information in a manifestation.,rdam:P30102,property,rdac:C10007,rdam:P30124,,,Published,3.19.8,4
is digital transfer of item of,rdam:digitalTransferOfItemOf.en,Relates a manifestation to an item in a digital format that is transferred to a manifestation in another digital format.,,digital transfer of (item),,,,,,,,,digital transfer of item of,An item in a digital format that is transferred to a manifestation in another digital format.,rdam:P30298,property,rdac:C10007,rdam:P30303,,,Published,,2
has digital transfer of manifestation,rdam:digitalTransferOfManifestation.en,Relates a manifestation to a manifestation in a digital format that results from the transfer of a manifestation in another digital format.,,digital transfer (manifestation),,,,,,,,,digital transfer of manifestation,A manifestation in a digital format that results from the transfer of a manifestation in another digital format.,rdam:P30029,property,rdac:C10007,rdam:P30039,,,Published,24.5,2
is digital transfer of manifestation of,rdam:digitalTransferOfManifestationOf.en,Relates a manifestation to a manifestation in a digital format that is transferred to another digital format.,,digital transfer of (manifestation),,,,,,,,,digital transfer of manifestation of,A manifestation in a digital format that is transferred to another digital format.,rdam:P30040,property,rdac:C10007,rdam:P30043,,,Published,24.5,2
has dimensions,rdam:dimensions.en,Relates a manifestation to a measurement of a carrier or a container of a manifestation.,"Dimensions include measurements of height, width, depth, length, gauge, and diameter.",,,,,,,,,,dimensions,A measurement of a carrier or a container of a manifestation.,rdam:P30169,property,rdac:C10007,,,,Published,3.5,6
has dimensions of cartographic image,rdam:dimensionsOfCartographicImage.en,"Relates a manifestation to a measurement of a face of a map or cartographic diagram, view, profile, or section.",,"dimensions of map, etc.",,,,,,,,,dimensions of cartographic image,"A measurement of a face of a map or cartographic diagram, view, profile, or section.",rdam:P30170,property,rdac:C10007,rdam:P30171,,,Published,3.5.2,6
has dimensions of still image,rdam:dimensionsOfStillImage.en,Relates a manifestation to a measurement of the pictorial area of a still image.,,,,,,,,,,,dimensions of still image,A measurement of a pictorial area of a still image.,rdam:P30171,property,rdac:C10007,rdam:P30169,,,Published,3.5.3,6
has distribution statement,rdam:distributionStatement.en,"Relates a manifestation to a statement that identifies a place of distribution, a distributor, or a date of distribution of a published manifestation.",,,,,,,,,,,distribution statement,"A statement that identifies a place of distribution, a distributor, or a date of distribution of a published manifestation.",rdam:P30108,property,rdac:C10007,,,,Published,2.9,6
has distributor agent,rdam:distributorAgent.en,Relates a manifestation to an agent who is responsible for distributing a published manifestation.,,distributor,,,,,,,,,distributor agent,An agent who is responsible for distributing a published manifestation.,rdam:P30080,property,rdac:C10007,rdam:P30267,,,Published,21.4,2
has distributor collective agent,rdam:distributorCollectiveAgent.en,Relates a manifestation to a collective agent who is responsible for distributing a published manifestation.,,,,,,,,,,,distributor collective agent,A collective agent who is responsible for distributing a published manifestation.,rdam:P30388,property,rdac:C10007,rdam:P30271,rdam:P30080,,Published,,2
has distributor corporate body,rdam:distributorCorporateBody.en,Relates a manifestation to a corporate body who is responsible for distributing a published manifestation.,,,,,,,,,,,distributor corporate body,A corporate body who is responsible for distributing a published manifestation.,rdam:P30417,property,rdac:C10007,rdam:P30270,rdam:P30388,,Published,,2
has distributor family,rdam:distributorFamily.en,Relates a manifestation to a family who is responsible for distributing a published manifestation.,,,,,,,,,,,distributor family,A family who is responsible for distributing a published manifestation.,rdam:P30446,property,rdac:C10007,rdam:P30269,rdam:P30388,,Published,,2
has distributor person,rdam:distributorPerson.en,Relates a manifestation to a person who is responsible for distributing a published manifestation.,,,,,,,,,,,distributor person,A person who is responsible for distributing a published manifestation.,rdam:P30359,property,rdac:C10007,rdam:P30268,rdam:P30080,,Published,,2
has earlier title proper (Deprecated),rdam:earlierTitleProper.en,Relates a manifestation to a title proper appearing on an earlier iteration of an integrating resource that differs from that on the current iteration. (Deprecated),,,,,,,,,,,earlier title proper (Deprecated),A title proper appearing on an earlier iteration of an integrating resource that differs from that on the current iteration. (Deprecated),rdam:P30130,property,rdac:C10007,rdam:P30156,,,Deprecated,2.3.7,3
has edition statement,rdam:editionStatement.en,Relates a manifestation to a statement that identifies an edition to which a manifestation belongs.,An edition statement sometimes includes a designation of a named revision of an edition. An edition statement sometimes includes a statement of responsibility relating to the edition or to a named revision of an edition.,,,,,,,,,,edition statement,A statement that identifies an edition to which a manifestation belongs.,rdam:P30107,property,rdac:C10007,,,,Published,2.5,6
is electronic reproduction of item of,rdam:electronicReproductionOfItemOf.en,Relates a manifestation to an item in an analog format that is transferred to a manifestation in a digital format.,,electronic reproduction of (item),,,,,,,,,electronic reproduction of item of,An item in an analog format that is transferred to manifestation in a digital format.,rdam:P30299,property,rdac:C10007,rdam:P30303,,,Published,,2
has electronic reproduction of manifestation,rdam:electronicReproductionOfManifestation.en,Relates a manifestation to a manifestation in a digital format that is the result of the transfer of a manifestation in an analog format.,,electronic reproduction (manifestation),,,,,,,,,electronic reproduction of manifestation,A manifestation in a digital format that is the result of the transfer of a manifestation in an analog format.,rdam:P30016,property,rdac:C10007,rdam:P30039,,,Published,24.5,2
is electronic reproduction of manifestation of,rdam:electronicReproductionOfManifestationOf.en,Relates a manifestation to a manifestation in an analog format that is transferred to a digital format.,,electronic reproduction of (manifestation),,,,,,,,,electronic reproduction of manifestation of,A manifestation in an analog format that is transferred to a digital format.,rdam:P30136,property,rdac:C10007,rdam:P30043,,,Published,24.5,2
has emulsion on microfilm and microfiche,rdam:emulsionOnMicrofilmAndMicrofiche.en,Relates a manifestation to a suspension of light-sensitive chemicals that is used as a coating on a microfilm or microfiche.,,,,,,,,,,,emulsion on microfilm and microfiche,A suspension of light-sensitive chemicals that is used as a coating on a microfilm or microfiche.,rdam:P30122,property,rdac:C10007,rdam:P30084,,,Published,3.7.2,4
has encoded bitrate,rdam:encodedBitrate.en,"Relates a manifestation to a speed at which streaming audio, video, or other content is designed to play.",,,,,,,,,,,encoded bitrate,"A speed at which streaming audio, video, or other content is designed to play.",rdam:P30202,property,rdac:C10007,rdam:P30124,,,Published,3.19.7,5
has encoding format,rdam:encodingFormat.en,Relates a manifestation to a schema or standard that is used to encode the digital content of a manifestation.,,,,,,,,,,,encoding format,A schema or standard that is used to encode the digital content of a manifestation.,rdam:P30096,property,rdac:C10007,rdam:P30124,,,Published,3.19.3,5
has engraver agent,rdam:engraverAgent.en,"Relates a manifestation to an agent who is responsible for manufacturing a manifestation by cutting letters, figures, or other marks on a surface such as a wooden or metal plate used for printing.",,engraver,,,,,,,,,engraver agent,"An agent who is responsible for manufacturing a manifestation by cutting letters, figures, or other marks on a surface such as a wooden or metal plate used for printing.",rdam:P30070,property,rdac:C10007,rdam:P30082,,,Published,18.5,2
has engraver collective agent,rdam:engraverCollectiveAgent.en,"Relates a manifestation to a collective agent who is responsible for manufacturing a manifestation by cutting letters, figures, or other marks on a surface such as a wooden or metal plate used for printing.",,,,,,,,,,,engraver collective agent,"A collective agent who is responsible for manufacturing a manifestation by cutting letters, figures, or other marks on a surface such as a wooden or metal plate used for printing.",rdam:P30379,property,rdac:C10007,rdam:P30390,rdam:P30070,,Published,,2
has engraver corporate body,rdam:engraverCorporateBody.en,"Relates a manifestation to a corporate body who is responsible for manufacturing a manifestation by cutting letters, figures, or other marks on a surface such as a wooden or metal plate used for printing.",,,,,,,,,,,engraver corporate body,"A corporate body who is responsible for manufacturing a manifestation by cutting letters, figures, or other marks on a surface such as a wooden or metal plate used for printing.",rdam:P30408,property,rdac:C10007,rdam:P30419,rdam:P30379,,Published,,2
has engraver family,rdam:engraverFamily.en,"Relates a manifestation to a family who is responsible for manufacturing a manifestation by cutting letters, figures, or other marks on a surface such as a wooden or metal plate used for printing.",,,,,,,,,,,engraver family,"A family who is responsible for manufacturing a manifestation by cutting letters, figures, or other marks on a surface such as a wooden or metal plate used for printing.",rdam:P30437,property,rdac:C10007,rdam:P30448,rdam:P30379,,Published,,2
has engraver person,rdam:engraverPerson.en,"Relates a manifestation to a person who is responsible for manufacturing a manifestation by cutting letters, figures, or other marks on a surface such as a wooden or metal plate used for printing.",,,,,,,,,,,engraver person,"A person who is responsible for manufacturing a manifestation by cutting letters, figures, or other marks on a surface such as a wooden or metal plate used for printing.",rdam:P30350,property,rdac:C10007,rdam:P30361,rdam:P30070,,Published,,2
has equipment or system requirement,rdam:equipmentOrSystemRequirement.en,Relates a manifestation to a system or equipment required for access to the content of an electronic analog or digital manifestation.,,,,,,,,,,,equipment or system requirement,A system or equipment required for access to the content of an electronic analog or digital manifestation.,rdam:P30162,property,rdac:C10007,,,,Published,3.2,6
has equivalent manifestation,rdam:equivalentManifestation.en,Relates a manifestation to a manifestation that embodies the same expression of a work.,,equivalent manifestation relationship,,,,,,,,,equivalent manifestation,A manifestation that embodies the same expression of a work.,rdam:P30024,property,rdac:C10007,rdam:P30048,,,Published,24.5,2
has equivalent manifestation relationship with (Deprecated),rdam:equivalentManifestationRelationship.en,Relates a manifestation to a manifestation that is equivalent to another manifestation. (Deprecated),,,,,,,,,,,equivalent manifestation relationship (Deprecated),A manifestation that is equivalent to another manifestation. (Deprecated),rdam:P30212,property,rdac:C10007,rdam:P30048,,,Deprecated,24.5,
has etcher agent,rdam:etcherAgent.en,"Relates a manifestation to an agent who is responsible for manufacturing a manifestation by subjecting metal, glass, or some other surface used for printing, to acid or another corrosive substance.",,etcher,,,,,,,,,etcher agent,"An agent who is responsible for manufacturing a manifestation by subjecting metal, glass, or some other surface used for printing, to acid or another corrosive substance.",rdam:P30076,property,rdac:C10007,rdam:P30082,,,Published,18.5,2
