reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subClassOf[0],subPropertyOf[0],subPropertyOf[1],*status,"has element type"
33919,"is name of place of",rdan:nameOfPlaceOf.en,"Relates a nomen to a place that has an appellation of place in natural language and phrasing used in common discourse.",,,"name of place of","A place that has an appellation of place in natural language and phrasing used in common discourse.",rdan:P80051,property,nameOfPlaceOf,rdac:C10012,,rdau:P60920,,rdan:P80041,rdan:P80161,Published,2
33920,"is name of producer of",rdan:nameOfProducerOf.en,"Relates a nomen to a manifestation that is unpublished that has a name of agent who is responsible for inscription, fabrication, construction, etc.",,,"name of producer of","A manifestation that is unpublished that has a name of agent who is responsible for inscription, fabrication, construction, etc.",rdan:P80117,property,nameOfProducerOf,rdac:C10012,,rdau:P60949,,rdan:P80114,,Published,2
33921,"is name of publisher of",rdan:nameOfPublisherOf.en,"Relates a nomen to a manifestation that is published that has a name of agent who is responsible for its publication.","Publication includes release and issuance.",,"name of publisher of","A manifestation that is published that has a name of agent who is responsible for its publication.",rdan:P80118,property,nameOfPublisherOf,rdac:C10012,,rdau:P60950,,rdan:P80114,,Published,2
33922,"is name of timespan of",rdan:nameOfTimespanOf.en,"Relates a nomen to a timespan that has an appellation of timespan in natural language and phrasing used in common discourse.",,,"name of timespan of","A timespan that has an appellation of timespan in natural language and phrasing used in common discourse.",rdan:P80044,property,nameOfTimespanOf,rdac:C10012,,rdau:P60920,,rdan:P80043,rdan:P80161,Published,2
33923,"has nomen string",rdan:nomenString.en,"Relates a nomen to the combination of signs that forms an appellation associated with an entity.","The string can be expressed as a notation in any form, such as a combination of signs within a writing system, chemical structure symbols, mathematical notation, or by any other kind of sign, such as sounds, etc.",,"nomen string","The combination of signs that forms an appellation associated with an entity.",rdan:P80068,property,nomenString,rdac:C10012,,rdau:P60913,,,,Published,6
33924,"has note on nomen",rdan:noteOnNomen.en,"Relates a nomen to a broad unstructured description of one or more attributes of a nomen.",,,"note on nomen","A broad unstructured description of one or more attributes of a nomen.",rdan:P80071,property,noteOnNomen,rdac:C10012,,rdau:P60936,,rdax:P00015,,Published,6
33925,"is numeric designation of musical work of",rdan:numericDesignationOfMusicalWorkOf.en,"Relates a nomen to a musical work that has an identifier for work that is a serial number, opus number, or thematic index number assigned to a musical work by a composer, publisher, or a musicologist. ",,,"numeric designation of musical work of","A musical work that has an identifier for work that is a serial number, opus number, or thematic index number assigned to a musical work by a composer, publisher, or a musicologist. ",rdan:P80119,property,numericDesignationOfMusicalWorkOf,rdac:C10012,,rdau:P60963,,rdan:P80049,,Published,2
33926,"has part nomen",rdan:partNomen.en,"Relates a nomen to a nomen that is a discrete component of another nomen.",,,"part nomen","A nomen that is a discrete component of another nomen.",rdan:P80058,property,partNomen,rdac:C10012,,rdau:P61114,,rdan:P80009,,Published,2
33927,"is part of nomen",rdan:partOfNomen.en,"Relates a nomen to a nomen that has another nomen as a discrete component.",,,"part of nomen","A nomen that has another nomen as a discrete component.",rdan:P80059,property,partOfNomen,rdac:C10012,,rdau:P61115,,rdan:P80009,,Published,2
33928,"is preferred name of place of",rdan:preferredNameOfPlaceOf.en,"Relates a nomen to a place that has a name of place that is selected for preference in a specific application or context.",,,"preferred name of place of","A place that has a name of place that is selected for preference in a specific application or context.",rdan:P80087,property,preferredNameOfPlaceOf,rdac:C10012,,rdau:P60923,,rdan:P80051,rdan:P80163,Published,2
33929,"is preferred name of timespan of",rdan:preferredNameOfTimespanOf.en,"Relates a nomen to a timespan that has a name of timespan that is selected for preference in a specific application or context.",,,"preferred name of timespan of","A timespan that has a name of timespan that is selected for preference in a specific application or context.",rdan:P80083,property,preferredNameOfTimespanOf,rdac:C10012,,rdau:P60924,,rdan:P80044,rdan:P80163,Published,2
33930,"is preferred title of expression of",rdan:preferredTitleOfExpressionOf.en,"Relates a nomen to an expression that has a title of expression that is selected for preference in a specific application or context.",,,"preferred title of expression of","An expression that has a title of expression that is selected for preference in a specific application or context.",rdan:P80097,property,preferredTitleOfExpressionOf,rdac:C10012,,rdau:P60933,,rdan:P80039,rdan:P80163,Published,2
33931,"is preferred title of item of",rdan:preferredTitleOfItemOf.en,"Relates a nomen to an item that has a title of item that is selected for preference in a specific application or context.",,,"preferred title of item of","An item that has a title of item that is selected for preference in a specific application or context.",rdan:P80093,property,preferredTitleOfItemOf,rdac:C10012,,rdau:P60933,,rdan:P80017,rdan:P80163,Published,2
33932,"is preferred title of work of",rdan:preferredTitleOfWorkOf.en,"Relates a nomen to a work that has a title of work that is selected for preference in a specific application or context.",,,"preferred title of work of","A work that has a title of work that is selected for preference in a specific application or context.",rdan:P80109,property,preferredTitleOfWorkOf,rdac:C10012,,rdau:P60933,,rdan:P80064,rdan:P80163,Published,2
33933,"has scheme of nomen",rdan:schemeOfNomen.en,"Relates a nomen to a scheme in which an appellation is established.","The scheme can be a value or vocabulary encoding scheme or a syntax encoding scheme.",,"scheme of nomen","A scheme in which an appellation is established.",rdan:P80069,property,schemeOfNomen,rdac:C10012,,rdau:P61156,,,,Published,5
33934,"has script of nomen",rdan:scriptOfNomen.en,"Relates a nomen to a set of characters or symbols with which an appellation is formed.",,,"script of nomen","A set of characters or symbols with which an appellation is formed.",rdan:P80070,property,scriptOfNomen,rdac:C10012,,rdau:P61157,,,,Published,5
33935,"is title of expression of",rdan:titleOfExpressionOf.en,"Relates a nomen to an expression that has an appellation of expression in natural language and phrasing used in common discourse.",,,"title of expression of","An expression that has an appellation of expression in natural language and phrasing used in common discourse.",rdan:P80039,property,titleOfExpressionOf,rdac:C10012,,rdau:P60912,,rdan:P80038,rdan:P80161,Published,2
33936,"is title of item of",rdan:titleOfItemOf.en,"Relates a nomen to an item that has an appellation of item in natural language and phrasing used in common discourse.",,,"title of item of","An item that has an appellation of item in natural language and phrasing used in common discourse.",rdan:P80017,property,titleOfItemOf,rdac:C10012,,rdau:P60912,,rdan:P80016,rdan:P80161,Published,2
33937,"is title of manifestation of",rdan:titleOfManifestationOf.en,"Relates a nomen to a manifestation that has an appellation of manifestation in natural language and phrasing used in common discourse.",,,"title of manifestation of","A manifestation that has an appellation of manifestation in natural language and phrasing used in common discourse.",rdan:P80062,property,titleOfManifestationOf,rdac:C10012,,rdau:P60912,,rdan:P80040,rdan:P80161,Published,2
33938,"is title of work of",rdan:titleOfWorkOf.en,"Relates a nomen to a work that has an appellation of work in natural language and phrasing used in common discourse.",,,"title of work of","A work that has an appellation of work in natural language and phrasing used in common discourse.",rdan:P80064,property,titleOfWorkOf,rdac:C10012,,rdau:P60912,,rdan:P80045,rdan:P80161,Published,2
33939,"is title proper of",rdan:titleProperOf.en,"Relates a nomen to a manifestation that has a title of manifestation that is selected for preference in a specific application or context.",,,"title proper of","A manifestation that has a title of manifestation that is selected for preference in a specific application or context.",rdan:P80063,property,titleProperOf,rdac:C10012,,rdau:P60957,,rdan:P80062,,Published,2
33940,"is variant access point for agent of",rdan:variantAccessPointForAgentOf.en,"Relates a nomen to an agent who has an access point for agent that is not selected for preference in a specific vocabulary encoding scheme.",,,"variant access point for agent of","An agent who has an access point for agent that is not selected for preference in a specific vocabulary encoding scheme.",rdan:P80100,property,variantAccessPointForAgentOf,rdac:C10012,,rdau:P60934,,rdan:P80018,rdan:P80165,Published,2
33941,"is variant access point for collective agent of",rdan:variantAccessPointForCollectiveAgentOf.en,"Relates a nomen to a collective agent who has an access point for collective agent that is not selected for preference in a specific vocabulary encoding scheme.",,,"variant access point for collective agent of","A collective agent who has an access point for collective agent that is not selected for preference in a specific vocabulary encoding scheme.",rdan:P80102,property,variantAccessPointForCollectiveAgentOf,rdac:C10012,,rdau:P60934,,rdan:P80019,rdan:P80100,Published,2
33942,"is variant access point for corporate body of",rdan:variantAccessPointForCorporateBodyOf.en,"Relates a nomen to a corporate body who has an access point for corporate body that is not selected for preference in a specific vocabulary encoding scheme.",,,"variant access point for corporate body of","A corporate body who has an access point for corporate body that is not selected for preference in a specific vocabulary encoding scheme.",rdan:P80104,property,variantAccessPointForCorporateBodyOf,rdac:C10012,,rdau:P60934,,rdan:P80020,rdan:P80102,Published,2
33943,"is variant access point for expression of",rdan:variantAccessPointForExpressionOf.en,"Relates a nomen to an expression that has an access point for expression that is not selected for preference in a specific vocabulary encoding scheme.",,,"variant access point for expression of","An expression that has an access point for expression that is not selected for preference in a specific vocabulary encoding scheme.",rdan:P80096,property,variantAccessPointForExpressionOf,rdac:C10012,,rdau:P60934,,rdan:P80023,rdan:P80165,Published,2
33944,"is variant access point for family of",rdan:variantAccessPointForFamilyOf.en,"Relates a nomen to a family who has an access point for family that is not selected for preference in a specific vocabulary encoding scheme.",,,"variant access point for family of","A family who has an access point for family that is not selected for preference in a specific vocabulary encoding scheme.",rdan:P80106,property,variantAccessPointForFamilyOf,rdac:C10012,,rdau:P60934,,rdan:P80021,rdan:P80102,Published,2
33945,"is variant access point for item of",rdan:variantAccessPointForItemOf.en,"Relates a nomen to an item that has an access point for item that is not selected for preference in a specific vocabulary encoding scheme.",,,"variant access point for item of","An item that has an access point for item that is not selected for preference in a specific vocabulary encoding scheme.",rdan:P80092,property,variantAccessPointForItemOf,rdac:C10012,,rdau:P60934,,rdan:P80015,rdan:P80165,Published,2
33946,"is variant access point for manifestation of",rdan:variantAccessPointForManifestationOf.en,"Relates a nomen to a manifestation that has an access point for manifestation that is not selected for preference in a specific vocabulary encoding scheme.",,,"variant access point for manifestation of","A manifestation that has an access point for manifestation that is not selected for preference in a specific vocabulary encoding scheme.",rdan:P80090,property,variantAccessPointForManifestationOf,rdac:C10012,,rdau:P60934,,rdan:P80024,rdan:P80165,Published,2
33947,"is variant access point for person of",rdan:variantAccessPointForPersonOf.en,"Relates a nomen to a person who has an access point for person that is not selected for preference in a specific vocabulary encoding scheme.",,,"variant access point for person of","A person who has an access point for person that is not selected for preference in a specific vocabulary encoding scheme.",rdan:P80108,property,variantAccessPointForPersonOf,rdac:C10012,,rdau:P60934,,rdan:P80022,rdan:P80100,Published,2
33948,"is variant access point for place of",rdan:variantAccessPointForPlaceOf.en,"Relates a nomen to a place that has an access point for place that is not selected for preference in a specific vocabulary encoding scheme.",,,"variant access point for place of","A place that has an access point for place that is not selected for preference in a specific vocabulary encoding scheme.",rdan:P80086,property,variantAccessPointForPlaceOf,rdac:C10012,,rdau:P60934,,rdan:P80025,rdan:P80165,Published,2
33949,"is variant access point for timespan of",rdan:variantAccessPointForTimespanOf.en,"Relates a nomen to a timespan that has an access point for timespan that is not selected for preference in a specific vocabulary encoding scheme.",,,"variant access point for timespan of","A timespan that has an access point for timespan that is not selected for preference in a specific vocabulary encoding scheme.",rdan:P80082,property,variantAccessPointForTimespanOf,rdac:C10012,,rdau:P60934,,rdan:P80026,rdan:P80165,Published,2
33950,"is variant access point for work of",rdan:variantAccessPointForWorkOf.en,"Relates a nomen to a work that has an access point for work that is not selected for preference in a specific vocabulary encoding scheme.",,,"variant access point for work of","A work that has an access point for work that is not selected for preference in a specific vocabulary encoding scheme.",rdan:P80080,property,variantAccessPointForWorkOf,rdac:C10012,,rdau:P60934,,rdan:P80027,rdan:P80165,Published,2
33951,"is variant name of place of",rdan:variantNameOfPlaceOf.en,"Relates a nomen to a place that has a name of place that is not selected for preference in a specific application or context.",,,"variant name of place of","A place that has a name of place that is not selected for preference in a specific application or context.",rdan:P80088,property,variantNameOfPlaceOf,rdac:C10012,,rdau:P60922,,rdan:P80051,rdan:P80164,Published,2
33952,"is variant name of timespan of",rdan:variantNameOfTimespanOf.en,"Relates a nomen to a timespan that has a name of timespan that is not selected for preference in a specific application or context.",,,"variant name of timespan of","A timespan that has a name of timespan that is not selected for preference in a specific application or context.",rdan:P80084,property,variantNameOfTimespanOf,rdac:C10012,,rdau:P60932,,rdan:P80044,rdan:P80164,Published,2
33953,"is variant title of expression of",rdan:variantTitleOfExpressionOf.en,"Relates a nomen to an expression that has a title of expression that is not selected for preference in a specific application or context.",,,"variant title of expression of","An expression that has a title of expression that is not selected for preference in a specific application or context.",rdan:P80098,property,variantTitleOfExpressionOf,rdac:C10012,,rdau:P60925,,rdan:P80039,rdan:P80164,Published,2
33954,"is variant title of item of",rdan:variantTitleOfItemOf.en,"Relates a nomen to an item that has a title of item that is not selected for preference in a specific application or context.",,,"variant title of item of","An item that has a title of item that is not selected for preference in a specific application or context.",rdan:P80094,property,variantTitleOfItemOf,rdac:C10012,,rdau:P60925,,rdan:P80017,rdan:P80164,Published,2
33955,"is variant title of manifestation of",rdan:variantTitleOfManifestationOf.en,"Relates a nomen to a manifestation that has a title of manifestation that is not selected for preference in a specific application or context.",,,"variant title of manifestation of","A manifestation that has a title of manifestation that is not selected for preference in a specific application or context.",rdan:P80111,property,variantTitleOfManifestationOf,rdac:C10012,,rdau:P60925,,rdan:P80062,rdan:P80164,Published,2
33956,"is variant title of work of",rdan:variantTitleOfWorkOf.en,"Relates a nomen to a work that has a title of work that is not selected for preference in a specific application or context.","A variant title of work includes a title or form of title appearing on a manifestation of the work or found in reference sources, a title resulting from a different transliteration of a title, etc.",,"variant title of work of","A work that has a title of work that is not selected for preference in a specific application or context.",rdan:P80110,property,variantTitleOfWorkOf,rdac:C10012,,rdau:P60925,,rdan:P80064,rdan:P80164,Published,2
34266,"is opus number of",rdan:opusNumberOf.en,"Relates a nomen to a musical work that has an identifier for work that is a numeric designation assigned from a list of works of a composer indicating chronological order of composition.",,,"opus number of","A musical work that has an identifier for work that is a numeric designation assigned from a list of works of a composer indicating chronological order of composition.",rdan:P80120,property,opusNumberOf,rdac:C10012,,rdau:P60962,,rdan:P80119,,Published,2
34267,"is serial number of musical work of",rdan:serialNumberOfMusicalWorkOf.en,"Relates a nomen to a musical work that has a numeric designation of musical work assigned by a composer or a reference source that indicates a sequence of musical works that share the same title or that share the same title and the same representative medium of performance.",,,"serial number of musical work of","A musical work that has a numeric designation of musical work assigned by a composer or a reference source that indicates a sequence of musical works that share the same title or that share the same title and the same representative medium of performance.",rdan:P80121,property,serialNumberOfMusicalWorkOf,rdac:C10012,,rdau:P60961,,rdan:P80119,,Published,2
34268,"is thematic index number of",rdan:thematicIndexNumberOf.en,"Relates a nomen to a musical work that has an identifier for work that is a numeric designation assigned from a list of works of a composer, usually arranged in chronological order or by categories, with the theme given for each composition or for each section of large compositions.",,,"thematic index number of","A musical work that has an identifier for work that is a numeric designation assigned from a list of works of a composer, usually arranged in chronological order or by categories, with the theme given for each composition or for each section of large compositions.",rdan:P80122,property,thematicIndexNumberOf,rdac:C10012,,rdau:P60960,,rdan:P80119,,Published,2
34269,"is earlier title proper of",,,,,,,rdan:P80123,property,earlierTitleProperOf,,,,,,,Deprecated,2
34270,"is later title proper of (Deprecated)",rdan:laterTitleProperOf.en,,,,,,rdan:P80124,property,laterTitleProperOf,,,,,,,Deprecated,2
34271,"is title of series of",rdan:titleOfSeriesOf.en,"Relates a nomen to a manifestation that has a title that identifies a series to which a manifestation belongs.",,,"title of series of","A manifestation that has a title that identifies a series to which a manifestation belongs.",rdan:P80125,property,titleOfSeriesOf,rdac:C10012,,rdau:P60958,,rdan:P80062,,Published,2
34272,"is title proper of subseries of (Deprecated)",rdan:titleProperOfSubseriesOf.en,"Relates a nomen to a manifestation of an issue of a subseries that has a name of series appearing on it. (Deprecated)",,,"title proper of subseries of (Deprecated)","A manifestation of an issue of a subseries that has a name of series appearing on it. (Deprecated)",rdan:P80126,property,titleProperOfSubseriesOf,rdac:C10012,,rdau:P60959,,rdan:P80125,,Deprecated,2
34273,"is parallel name of distributor of",rdan:parallelNameOfDistributorOf.en,"Relates a nomen to a manifestation that has a name of distributor in another language or script.",,,"parallel name of distributor of","A manifestation that has a name of distributor in another language or script.",rdan:P80127,property,parallelNameOfDistributorOf,rdac:C10012,,rdau:P60946,,rdan:P80115,,Published,2
34274,"is parallel name of manufacturer of",rdan:parallelNameOfManufacturerOf.en,"Relates a nomen to a manifestation that has a name of manufacturer in another language or script.",,,"parallel name of manufacturer of","A manifestation that has a name of manufacturer in another language or script.",rdan:P80128,property,parallelNameOfManufacturerOf,rdac:C10012,,rdau:P60948,,rdan:P80116,,Published,2
34275,"is parallel name of producer of",rdan:parallelNameOfProducerOf.en,"Relates a nomen to a manifestation that has a name of producer in another language or script.",,,"parallel name of producer of","A manifestation that has a name of producer in another language or script.",rdan:P80129,property,parallelNameOfProducerOf,rdac:C10012,,rdau:P60949,,rdan:P80117,,Published,2
34276,"is parallel name of publisher of",rdan:parallelNameOfPublisherOf.en,"Relates a nomen to a manifestation that has a name of publisher in another language or script.",,,"parallel name of publisher of","A manifestation that has a name of publisher in another language or script.",rdan:P80130,property,parallelNameOfPublisherOf,rdac:C10012,,rdau:P60950,,rdan:P80118,,Published,2
34309,"is parallel title proper of",rdan:parallelTitleProperOf.en,"Relates a nomen to a manifestation that has a title proper in another language or script.",,,"parallel title proper of","A manifestation that has a title proper in another language or script.",rdan:P80135,property,parallelTitleProperOf,rdac:C10012,,rdau:P61116,,rdan:P80063,,Published,2
34310,"is parallel title of series of",rdan:parallelTitleOfSeriesOf.en,"Relates a nomen to a manifestation that has a title of series in another language or script.",,,"parallel title of series of","A manifestation that has a title of series in another language or script.",rdan:P80136,property,parallelTitleOfSeriesOf,rdac:C10012,,,,rdan:P80125,rdan:P80135,Published,2
34311,"is parallel title proper of subseries of (Deprecated)",rdan:parallelTitleProperOfSubseriesOf.en,"Relates a nomen to a manifestation that has a title proper of subseries in another language or script. (Deprecated)",,,"parallel title proper of subseries of (Deprecated)","A manifestation that has a title proper of subseries in another language or script. (Deprecated)",rdan:P80137,property,parallelTitleProperOfSubseriesOf,rdac:C10012,,,,rdan:P80126,rdan:P80136,Deprecated,2
34312,"is fingerprint of",rdan:fingerprintOf.en,"Relates a nomen to a manifestation that has an identifier for manifestation that consists of a group of characters from specified locations in a manifestation combined with a date of publication or other element.",,,"fingerprint of","A manifestation that has an identifier for manifestation that consists of a group of characters from specified locations in a manifestation combined with a date of publication or other element.",rdan:P80138,property,fingerprintOf,rdac:C10012,,rdau:P61158,,rdan:P80048,,Published,2
34313,"has reference source",rdan:referenceSource.en,"Relates a nomen to a source in which there is evidence for the use of a nomen.",,"source consulted","reference source","A source in which there is evidence for the use of a nomen.",rdan:P80139,property,referenceSource,rdac:C10012,,rdau:P61159,,,,Published,3
34329,"is preferred name of agent of",rdan:preferredNameOfAgentOf.en,"Relates a nomen to an agent who has a name of agent that is selected for preference in a specific application or context.",,,"preferred name of agent of","An agent who has a name of agent that is selected for preference in a specific application or context.",rdan:P80140,property,preferredNameOfAgentOf,rdac:C10012,,rdau:P60927,,rdan:P80052,rdan:P80163,Published,2
34330,"is preferred name of collective agent of",rdan:preferredNameOfCollectiveAgentOf.en,"Relates a nomen to a collective agent who has a name of collective agent that is selected for preference in a specific application or context.",,,"preferred name of collective agent of","A collective agent who has a name of collective agent that is selected for preference in a specific application or context.",rdan:P80141,property,preferredNameOfCollectiveAgentOf,rdac:C10012,,rdau:P60927,,rdan:P80053,rdan:P80140,Published,2
34331,"is variant name of agent of",rdan:variantNameOfAgentOf.en,"Relates a nomen to an agent who has a name of agent that is not selected for preference in a specific application or context.",,,"variant name of agent of","An agent who has a name of agent that is not selected for preference in a specific application or context.",rdan:P80142,property,variantNameOfAgentOf,rdac:C10012,,rdau:P60921,,rdan:P80052,rdan:P80164,Published,2
34332,"is variant name of collective agent of",rdan:variantNameOfCollectiveAgentOf.en,"Relates a nomen to a collective agent who has a name of collective agent that is not selected for preference in a specific application or context.",,,"variant name of collective agent of","A collective agent who has a name of collective agent that is not selected for preference in a specific application or context.",rdan:P80143,property,variantNameOfCollectiveAgentOf,rdac:C10012,,rdau:P60921,,rdan:P80053,rdan:P80142,Published,2
34383,"is preferred name of corporate body of",rdan:preferredNameOfCorporateBodyOf.en,"Relates a nomen to a corporate body who has a name of corporate body that is selected for preference in a specific application or context.",,,"preferred name of corporate body of","A corporate body who has a name of corporate body that is selected for preference in a specific application or context.",rdan:P80144,property,preferredNameOfCorporateBodyOf,rdac:C10012,,rdau:P60927,,rdan:P80054,rdan:P80141,Published,2
34384,"is preferred name of family of",rdan:preferredNameOfFamilyOf.en,"Relates a nomen to a family who has a name of family that is selected for preference in a specific application or context.",,,"preferred name of family of","A family who has a name of family that is selected for preference in a specific application or context.",rdan:P80145,property,preferredNameOfFamilyOf,rdac:C10012,,rdau:P60927,,rdan:P80055,rdan:P80141,Published,2
34385,"is preferred name of person of",rdan:preferredNameOfPersonOf.en,"Relates a nomen to a person who has a name of person that is selected for preference in a specific application or context.",,,"preferred name of person of","A person who has a name of person that is selected for preference in a specific application or context.",rdan:P80146,property,preferredNameOfPersonOf,rdac:C10012,,rdau:P60927,,rdan:P80056,rdan:P80140,Published,2
34386,"is variant name of corporate body of",rdan:variantNameOfCorporateBodyOf.en,"Relates a nomen to a corporate body who has a name of corporate body that is not selected for preference in a specific application or context.",,,"variant name of corporate body of","A corporate body who has a name of corporate body that is not selected for preference in a specific application or context.",rdan:P80147,property,variantNameOfCorporateBodyOf,rdac:C10012,,rdau:P60921,,rdan:P80054,rdan:P80143,Published,2
34387,"is variant name of family of",rdan:variantNameOfFamilyOf.en,"Relates a nomen to a family who has a name of family that is not selected for preference in a specific application or context.",,,"variant name of family of","A family who has a name of family that is not selected for preference in a specific application or context.",rdan:P80148,property,variantNameOfFamilyOf,rdac:C10012,,rdau:P60921,,rdan:P80055,rdan:P80143,Published,2
34388,"is variant name of person of",rdan:variantNameOfPersonOf.en,"Relates a nomen to a person who has a name of person that is not selected for preference in a specific application or context.",,,"variant name of person of","A person who has a name of person that is not selected for preference in a specific application or context.",rdan:P80149,property,variantNameOfPersonOf,rdac:C10012,,rdau:P60921,,rdan:P80056,rdan:P80142,Published,2
34406,"is address of corporate body of",,,,,,,rdan:P80150,property,addressOfCorporateBodyOf,,,,,,,Deprecated,2
34407,"is address of person of",,,,,,,rdan:P80151,property,addressOfPersonOf,,,,,,,Deprecated,2
34408,"is address of family of",,,,,,,rdan:P80152,property,addressOfFamilyOf,,,,,,,Deprecated,2
34409,"is address of agent of",,,,,,,rdan:P80153,property,addressOfAgentOf,,,,,,,Deprecated,2
34410,"is address of collective agent of",,,,,,,rdan:P80154,property,addressOfCollectiveAgentOf,,,,,,,Deprecated,2
34438,"is plate number for notated music of",rdan:plateNumberForNotatedMusicOf.en,"Relates a nomen to a manifestation of a notated music expression that has an identifier for manifestation other than a publisher number for notated music, assigned by a publisher to indicate the printing plate used in the printing process.","The number normally appears at the bottom of each page, and sometimes on the title page. The number may include initials, abbreviations, or words identifying the publisher, or followed by a number corresponding to the number of pages or plates or a number corresponding to an individual page or plate.",,"plate number for notated music of","A manifestation of a notated music expression that has an identifier for manifestation other than a publisher number for notated music, assigned by a publisher to indicate the printing plate used in the printing process.",rdan:P80155,property,plateNumberForNotatedMusicOf,rdac:C10012,,rdau:P60988,,rdan:P80048,,Published,2
34439,"is publisher number for notated music of",rdan:publisherNumberForNotatedMusicOf.en,"Relates a nomen to a manifestation of a notated music expression that has an identifier for manifestation other than a plate number for notated music, assigned by a publisher.",,,"publisher number for notated music of","A manifestation of a notated music expression that has an identifier for manifestation other than a plate number for notated music, assigned by a publisher.",rdan:P80156,property,publisherNumberForNotatedMusicOf,rdac:C10012,,rdau:P60989,,rdan:P80048,,Published,2
34493,"is alternate identity of person of",rdan:alternateIdentityOfPersonOf.en,"Relates a nomen to a person that has an appellation of person that is a pseudonym or other assumed identity.",,,"alternate identity of person of","A person that has an appellation of person that is a pseudonym or other assumed identity.",rdan:P80157,property,alternateIdentityOfPersonOf,rdac:C10012,,rdau:P61112,,rdan:P80032,,Published,2
34494,"is real identity of person of",rdan:realIdentityOfPersonOf.en,"Relates a nomen to a person that has an appellation of person that is a real identity.",,,"real identity of person of","A person that has an appellation of person that is a real identity.",rdan:P80158,property,realIdentityOfPersonOf,rdac:C10012,,rdau:P61113,,rdan:P80032,,Published,2
34653,"is access point for RDA entity of",rdan:accessPointForRDAEntityOf.en,"Relates a nomen to an RDA entity that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",,,"access point for RDA entity of","An RDA entity that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",rdan:P80159,property,accessPointForRDAEntityOf,rdac:C10012,,rdau:P60910,,rdan:P80112,,Published,2
34654,"is identifier for RDA entity of",rdan:identifierForRDAEntityOf.en,"Relates a nomen to an RDA entity that has an appellation of RDA Entity that is a reference code taken from a vocabulary encoding scheme.",,,"identifier for RDA entity of","An RDA entity that has an appellation of work that is a reference code taken from a vocabulary encoding scheme.",rdan:P80160,property,identifierForRDAEntityOf,rdac:C10012,,rdau:P60928,,rdan:P80112,,Published,2
34655,"is name of RDA entity of",rdan:nameOfRDAEntityOf.en,"Relates a nomen to an RDA entity that has an appellation of RDA entity in natural language and phrasing used in common discourse.",,,"name of RDA entity of","An RDA entity that has an appellation of RDA entity in natural language and phrasing used in common discourse.",rdan:P80161,property,nameOfRDAEntityOf,rdac:C10012,,rdau:P60947,,rdan:P80112,,Published,2
34656,"is authorized access point for RDA entity of",rdan:authorizedAccessPointForRDAEntityOf.en,"Relates a nomen to an RDA entity that has an access point for RDA entity that is selected for preference in a specific vocabulary encoding scheme.",,,"authorized access point for RDA entity of","An RDA entity that has an access point for RDA entity that is selected for preference in a specific vocabulary encoding scheme.",rdan:P80162,property,authorizedAccessPointForRDAEntityOf,rdac:C10012,,rdau:P60918,,rdan:P80159,,Published,2
34657,"is preferred name of RDA entity of",rdan:preferredNameOfRDAEntityOf.en,"Relates a nomen to an RDA entity that has a name of RDA entity that is selected for preference in a specific application or context.",,,"preferred name of RDA entity of","An RDA entity that has a name of RDA entity that is selected for preference in a specific application or context.",rdan:P80163,property,preferredNameOfRDAEntityOf,rdac:C10012,,rdau:P60951,,rdan:P80161,,Published,2
34658,"is variant name of RDA entity of",rdan:variantNameOfRDAEntityOf.en,"Relates a nomen to an RDA entity that has a name of RDA entity that is not selected for preference in a specific application or context.",,,"variant name of RDA entity of","An RDA entity that has a name of RDA entity that is not selected for preference in a specific application or context.",rdan:P80164,property,variantNameOfRDAEntityOf,rdac:C10012,,rdau:P60952,,rdan:P80161,,Published,2
34659,"is variant access point for RDA entity of",rdan:variantAccessPointForRDAEntityOf.en,"Relates a nomen to an RDA entity that has an access point for entity that is not selected for preference in a specific vocabulary encoding scheme.",,,"variant access point for RDA entity of","An RDA entity that has an access point for RDA entity that is not selected for preference in a specific vocabulary encoding scheme.",rdan:P80165,property,variantAccessPointForRDAEntityOf,rdac:C10012,,rdau:P60952,,rdan:P80159,,Published,2
34683,"has date of usage",rdan:dateOfUsage.en,"Relates a nomen to a date or range of dates that is associated with the use of an appellation of an RDA entity.",,,"date of usage","A date or range of dates that is associated with the use of an appellation of an RDA entity.",rdan:P80166,property,dateOfUsage,rdac:C10012,,rdau:P61120,,rdan:P80008,,Published,3
34684,"has scope of usage (Deprecated)",rdan:scopeOfUsage.en,"Relates a nomen to a type or form of work associated with the usage of a name of agent.",,,"scope of usage","A type or form of work associated with the usage of a name of agent.",rdan:P80167,property,scopeOfUsage,rdac:C10012,,rdau:P60822,,,,Deprecated,3
34685,"has status of identification",rdan:statusOfIdentification.en,"Relates a nomen to an indication of a level of authentication of the nomen of an entity.",,,"status of identification","An indication of a level of authentication of the nomen of an entity.",rdan:P80168,property,statusOfIdentification,rdac:C10012,,rdau:P61160,,,,Published,3
