*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],*status,instructionNumber,has element type,See Also[0]
has motion picture screenplay work,rdaw:motionPictureScreenplayWork.en,Relates a work to a work that is textual work that complements a work that is a motion picture.,,,,,,motion picture screenplay work,A work that is textual work that complements a work that is a motion picture.,rdaw:P10160,property,rdac:C10001,rdaw:P10159,,Published,24.5,2,
is musical setting of work,rdaw:musicalSettingOfWork.en,"Relates a work to a work that provides text for a non-dramatic musical work, other than an oratorio.",,,,,,musical setting of work,"A work that provides text for a non-dramatic musical work, other than an oratorio.",rdaw:P10161,property,rdac:C10001,rdaw:P10190,,Published,24.5,2,
has radio script work,rdaw:radioScriptWork.en,Relates a work to a work that is textual work that complements a work that is a radio program.,,,,,,radio script work,A work that is a textual work that complements a work that is a radio program.,rdaw:P10162,property,rdac:C10001,rdaw:P10371,,Published,24.5,2,
has television screenplay work,rdaw:televisionScreenplayWork.en,Relates a work to a work that is a textual work that complements a work that is a television program.,,,,,,television screenplay work,A work that is a textual work that complements a work that is a television program.,rdaw:P10163,property,rdac:C10001,rdaw:P10159,,Published,24.5,2,
has video screenplay work,rdaw:videoScreenplayWork.en,Relates a work to a work that is a textual work that complements a work that is a video.,,,,,,video screenplay work,A work that is a textual work that complements a work that is a video.,rdaw:P10164,property,rdac:C10001,rdaw:P10159,,Published,24.5,2,
has libretto work,rdaw:librettoWork.en,"Relates a work to a work that is a textual work that complements a work that is a musical or choreographic work such as an opera, a ballet, or other work for the musical stage, or an oratorio.",,,,,,libretto work,"A work that is a textual work that complements a work that is a musical or choreographic work such as an opera, a ballet, or other work for the musical stage, or an oratorio.",rdaw:P10165,property,rdac:C10001,rdaw:P10371,,Published,24.5,2,
is paraphrased as work,rdaw:paraphrasedAsWork.en,Relates a work to a work that restates the content of another work in a different form.,,,,,,paraphrased as work,A work that restates the content of another work in a different form.,rdaw:P10166,property,rdac:C10001,rdaw:P10340,,Published,24.5,2,
is abridged as work,rdaw:abridgedAsWork.en,Relates a work to a work that shortens a related work without changing the general meaning or manner of presentation.,,,,,,abridged as work,A work that shortens a related work without changing the general meaning or manner of presentation.,rdaw:P10167,property,rdac:C10001,rdaw:P10148,,Published,24.5,2,
is split from work,rdaw:splitFromWork.en,Relates a work to a work that is a diachronic work that is completed whose partial content is continued by another diachronic work.,This element applies in general to a successive work.,continuation in part of (work),,,,split from work,A work that is a diachronic work that is completed whose partial content is continued by another diachronic work.,rdaw:P10168,property,rdac:C10001,rdaw:P10156,,Published,24.5,2,
is separated from work,rdaw:separatedFromWork.en,Relates a work to a work that is a diachronic work that is continuing whose partial content is continued by another diachronic work.,This element applies in general to a successive work.,,,,,separated from work,A work that is a diachronic work that is continuing whose partial content is continued by another diachronic work.,rdaw:P10169,property,rdac:C10001,rdaw:P10156,,Published,24.5,2,
is succeeded by work,rdaw:succeededByWork.en,Relates a work to a work whose chronological coverage is after that of another work.,,,,,,succeeded by work,A work whose chronological coverage is after that of another work.,rdaw:P10170,property,rdac:C10001,rdaw:P10344,,Published,24.5,2,
is digested as work,rdaw:digestedAsWork.en,Relates a work to a work that systematically and comprehensively condenses a related work.,,,,,,digested as work,A work that systematically and comprehensively condenses a related work.,rdaw:P10171,property,rdac:C10001,rdaw:P10148,,Published,24.5,2,
has supplement work,rdaw:supplementWork.en,Relates a work to a work that updates or otherwise complements a predominant work.,,,,,,supplement work,A work that updates or otherwise complements a predominant work.,rdaw:P10172,property,rdac:C10001,rdaw:P10108,,Published,24.5,2,
is screenplay for motion picture work,rdaw:screenplayForMotionPictureWork.en,Relates a work to a work that is a motion picture that is complemented by a textual work.,,,,,,screenplay for motion picture work,A work that is a motion picture that is complemented by a textual work.,rdaw:P10173,property,rdac:C10001,rdaw:P10105,,Published,24.5,2,
is screenplay for television program work,rdaw:screenplayForTelevisionProgramWork.en,Relates a work to a work that is a television program that is complemented by a textual work.,,,,,,screenplay for television program work,A work that is a television program that is complemented by a textual work.,rdaw:P10174,property,rdac:C10001,rdaw:P10105,,Published,24.5,2,
is screenplay for video work,rdaw:screenplayForVideoWork.en,Relates a work to a work that is a video that is complemented by a textual work.,,,,,,screenplay for video work,A work that is a video that is complemented by a textual work.,rdaw:P10175,property,rdac:C10001,rdaw:P10105,,Published,24.5,2,
is script for radio program work,rdaw:scriptForRadioProgramWork.en,Relates a work to a work that is a radio program that is complemented by a textual work.,,,,,,script for radio program work,A work that is a radio program that is complemented by a textual work.,rdaw:P10176,property,rdac:C10001,rdaw:P10372,,Published,24.5,2,
is addenda to work,rdaw:addendaToWork.en,Relates a work to a work whose content is completed with brief content from a related work.,,,,,,addenda to work,A work whose content is completed with brief content from a related work.,rdaw:P10177,property,rdac:C10001,rdaw:P10192,,Published,24.5,2,
is review of work,rdaw:reviewOfWork.en,Relates a work to a work that is briefly evaluated by a work.,,,,,,review of work,A work that is briefly evaluated by a work.,rdaw:P10178,property,rdac:C10001,rdaw:P10153,,Published,23.5,2,
is summary of,rdaw:summaryOf.en,Relates a work to a work that is briefly described by a work.,,summary of work,,,,summary of,A work that is briefly described by a work.,rdaw:P10179,property,rdac:C10001,rdaw:P10100,,Published,24.5,2,
is catalogue of work (Deprecated),rdaw:catalogueOfWork.en,Relates a work to a work used as a basis for a complete enumeration of items arranged systematically. (Deprecated),,,,,,catalogue of work (Deprecated),A work used as a basis for a complete enumeration of items arranged systematically. (Deprecated),rdaw:P10180,property,rdac:C10001,rdaw:P10192,,Deprecated,24.5,2,
is concordance to work (Deprecated),rdaw:concordanceToWork.en,Relates a work to a work used as a basis for an index of all or selected words that occur in a realization of a textual work. (Deprecated),,,,,,concordance to work (Deprecated),A work used as a basis for an index of all or selected words that occur in a realization of a textual work. (Deprecated),rdaw:P10181,property,rdac:C10001,rdaw:P10192,,Deprecated,24.5,2,
is critique of work,rdaw:critiqueOfWork.en,Relates a work to a work that is critically evaluated by a work.,,,,,,critique of work,A work that is critically evaluated by a work.,rdaw:P10182,property,rdac:C10001,rdaw:P10153,,Published,23.5,2,
is choreographic adaptation of work,rdaw:choreographicAdaptationOfWork.en,Relates a work to a work that is adapted as a choreographic work.,,,,,,choreographic adaptation of work,A work that is adapted as a choreographic work.,rdaw:P10183,property,rdac:C10001,rdaw:P10142,,Published,24.5,2,
is expanded version of work,rdaw:expandedVersionOfWork.en,Relates a work to a work used as a basis for a derivative work that enlarges upon the content of another work.,,,,,,expanded version of work,A work used as a basis for a derivative work that enlarges upon the content of another work.,rdaw:P10184,property,rdac:C10001,rdaw:P10190,,Published,24.5,2,
is remake of work,rdaw:remakeOfWork.en,"Relates a work to a work used as a basis for a new motion picture, radio program, television program, or video.",,,,,,remake of work,"A work used as a basis for a new motion picture, radio program, television program, or video.",rdaw:P10185,property,rdac:C10001,rdaw:P10341,,Published,24.5,2,
is paraphrase of work,rdaw:paraphraseOfWork.en,Relates a work to a work used as a basis for a restating of the content of another work in a different form.,,,,,,paraphrase of work,A work used as a basis for a restating of the content of another work in a different form.,rdaw:P10186,property,rdac:C10001,rdaw:P10341,,Published,24.5,2,
is commentary on work,rdaw:commentaryOnWork.en,Relates a work to a work used as a basis for a set of explanatory or critical notes.,,,,,,commentary on work,A work used as a basis for a set of explanatory or critical notes.,rdaw:P10187,property,rdac:C10001,rdaw:P10100,,Published,23.5,2,
is index to work (Deprecated),rdaw:indexToWork.en,"Relates a work to a work that is used as a basis for a work that is a systematic, alphabetical guide to its contents. (Deprecated)",,,,,,index to work (Deprecated),"A work that is used as a basis for a work that is a systematic, alphabetical guide to its contents. (Deprecated)",rdaw:P10188,property,rdac:C10001,rdaw:P10192,,Deprecated,24.5,2,
is libretto based on work,rdaw:librettoBasedOnWork.en,"Relates a work to a work that provides text for a musical or choreographic work such as an opera, a ballet, or other work for the musical stage, or an oratorio.",,,,,,libretto based on work,"A work that provides text for a musical or choreographic work such as an opera, a ballet, or other work for the musical stage, or an oratorio.",rdaw:P10189,property,rdac:C10001,rdaw:P10142,,Published,24.5,2,
has source work,rdaw:sourceWork.en,Relates a work to a work that is modified to create a new work.,,based on work,is based on work,,,source work,A work that is modified to create a new work.,rdaw:P10190,property,rdac:C10001,rdaw:P10343,,Published,24.5,2,
is continued by work,rdaw:continuedByWork.en,Relates a work to a work that is a diachronic work that continues the content of another diachronic work that is completed.,This element applies in general to a successive work.,,,,,continued by work,A work that is a diachronic work that continues the content of another diachronic work that is completed.,rdaw:P10191,property,rdac:C10001,rdaw:P10170,,Published,24.5,2,
is augmentation of work,rdaw:augmentationOfWork.en,Relates a work to a work whose content is added to by a related work.,,,,,,augmentation of work,A work whose content is added to by a related work.,rdaw:P10192,property,rdac:C10001,rdaw:P10198,,Published,24.5,2,
is abstracts for work,rdaw:abstractsForWork.en,Relates a work to a work that is abstracted by another work.,,,,,,abstracts for work,A work that is abstracted by another work.,rdaw:P10193,property,rdac:C10001,rdaw:P10190,,Published,24.5,2,
is indexing for work (Deprecated),rdaw:indexingForWork.en,Relates a work to a work whose contents have been indexed by a related work. (Deprecated),,,,,,indexing for work (Deprecated),A work whose contents have been indexed by a related work. (Deprecated),rdaw:P10194,property,rdac:C10001,rdaw:P10190,,Deprecated,24.5,2,
is prequel to (Deprecated),rdaw:prequelTo.en,Relates a work to a work whose narrative is extended backwards in time by a later work. (Deprecated),,,,,,prequel to (Deprecated),A work whose narrative is extended backwards in time by a later work. (Deprecated),rdaw:P10195,property,rdac:C10001,rdaw:P10170,,Deprecated,24.5,2,
is imitation of work,rdaw:imitationOfWork.en,Relates a work to a work whose style or content is copied in a derivative work.,,,,,,imitation of work,A work whose style or content is copied in a derivative work.,rdaw:P10196,property,rdac:C10001,rdaw:P10341,,Published,24.5,2,
is parody of work,rdaw:parodyOfWork.en,Relates a work to a work whose style or content is imitated for comic effect.,,,,,,parody of work,A work whose style or content is imitated for comic effect.,rdaw:P10197,property,rdac:C10001,rdaw:P10196,,Published,24.5,2,
has related work of work,rdaw:relatedWorkOfWork.en,Relates a work to a work that is associated with a work.,,referential work relationship,whole-part work relationship,derivative work relationship,sequential work relationship,related work of work,A work that is associated with a work.,rdaw:P10198,property,rdac:C10001,rdaw:P10307,rdax:P00002,Published,,1,
has epoch,rdaw:epoch.en,Relates a work to a timespan to which measurements of position for a body or orientation for an orbit are referred.,,,,,,epoch,A timespan to which measurements of position for a body or orientation for an orbit are referred.,rdaw:P10199,property,rdac:C10001,rdaw:P10317,,Published,7.6,2,
has landscape architect agent,rdaw:landscapeArchitectAgent.en,Relates a work to an agent who is an architect who is responsible for creating landscape works.,,landscape architect,,,,landscape architect agent,An agent who is an architect who is responsible for creating landscape works.,rdaw:P10200,property,rdac:C10001,rdaw:P10062,,Published,18.5,2,
is finding aid for work (Deprecated),rdaw:findingAidForWork.en,"Relates a work to a work that is an archival collection described by a guide to the organization, arrangement, and contents of the collection. (Deprecated)",,,,,,finding aid for work (Deprecated),"A work that is an archival collection described by a guide to the organization, arrangement, and contents of the collection. (Deprecated)",rdaw:P10201,property,rdac:C10001,rdaw:P10192,,Deprecated,24.5,2,
has sculptor agent,rdaw:sculptorAgent.en,"Relates a work to an agent who is an artist who is responsible for creating a three-dimensional work by modeling, carving, or similar technique.",,sculptor,,,,sculptor agent,"An agent who is an artist who is responsible for creating a three-dimensional work by modeling, carving, or similar technique.",rdaw:P10202,property,rdac:C10001,rdaw:P10058,,Published,18.5,2,
has screenwriter agent,rdaw:screenwriterAgent.en,"Relates a work to an agent who is an author of a screenplay, script, or scene.",,screenwriter,,,,screenwriter agent,"An agent who is an author of a screenplay, script, or scene.",rdaw:P10203,property,rdac:C10001,rdaw:P10061,,Published,18.5,2,
has lyricist agent,rdaw:lyricistAgent.en,"Relates a work to an agent who is an author of the words of a popular song, including a song from a musical.",Authoring of only the dialogue from a musical is excluded.,lyricist,,,,lyricist agent,"An agent who is an author of the words of a popular song, including a song from a musical.",rdaw:P10204,property,rdac:C10001,rdaw:P10061,,Published,18.5,2,rdaw:P10205
has librettist agent,rdaw:librettistAgent.en,"Relates a work to an agent who is an author of the words of a musical or choreographic work such as an opera, a ballet, or other work for the musical stage, or an oratorio.",Authoring of the words of only the songs from a musical is excluded.,librettist,,,,librettist agent,"An agent who is an author of the words of a musical or choreographic work such as an opera, a ballet, or other work for the musical stage, or an oratorio.",rdaw:P10205,property,rdac:C10001,rdaw:P10061,,Published,18.5,2,rdaw:P10204
is replacement in part of work,rdaw:replacementInPartOfWork.en,Relates a work to a work whose content is partially superseded and rendered obsolete by the content of another work.,This element applies in general to a static work or an integrating work.,,,,,replacement in part of work,A work whose content is partially superseded and rendered obsolete by the content of another work.,rdaw:P10206,property,rdac:C10001,rdaw:P10156,,Published,24.5,2,
is replacement of work,rdaw:replacementOfWork.en,Relates a work to a work whose content is superseded and rendered obsolete by the content of another work.,This element applies in general to a static work or an integrating work.,,,,,replacement of work,A work whose content is superseded and rendered obsolete by the content of another work.,rdaw:P10207,property,rdac:C10001,rdaw:P10156,,Published,24.5,2,
has granting institution or faculty (Deprecated),rdaw:grantingInstitutionOrFaculty.en,Relates a work to a corporate body that is an institution or faculty conferring an academic degree on a candidate.(Deprecated),,,,,,granting institution or faculty (Deprecated),A corporate body that is an institution or faculty conferring an academic degree on a candidate. (Deprecated),rdaw:P10208,property,rdac:C10001,rdaw:P10311,,Deprecated,7.9.3,2,
has dissertation or thesis information,rdaw:dissertationOrThesisInformation.en,"Relates a work to a statement that identifies an academic institution, degree, or year for which a work was presented.",,,,,,dissertation or thesis information,"A statement that identifies an academic institution, degree, or year for which a work was presented.",rdaw:P10209,property,rdac:C10001,,,Published,7.9,6,
has history of work,rdaw:historyOfWork.en,Relates a work to a summary of information about the history of a work.,,,,,,history of work,A summary of information about the history of a work.,rdaw:P10210,property,rdac:C10001,,,Published,6.7,6,
is split into work,rdaw:splitIntoWork.en,Relates a work to a work that is a diachronic work that continues the partial content of another diachronic work that is completed.,This element applies in general to a successive work.,,,,,split into work,A work that is a diachronic work that continues the partial content of another diachronic work that is completed.,rdaw:P10211,property,rdac:C10001,rdaw:P10170,,Published,24.5,2,
is merged to form work,rdaw:mergedToFormWork.en,Relates a work to a work that is formed from the coming together of two or more works.,,,,,,merged to form work,A work that is formed from the coming together of two or more works.,rdaw:P10212,property,rdac:C10001,rdaw:P10170,,Published,24.5,2,
is merger of work,rdaw:mergerOfWork.en,Relates a work to a work that came together with one or more other works to form a new work.,,,,,,merger of work,A work that came together with one or more other works to form a new work.,rdaw:P10213,property,rdac:C10001,rdaw:P10156,,Published,24.5,2,
has equinox,rdaw:equinox.en,"Relates a work to a timespan that is a point of intersection of the ecliptic and the celestial equator, occupied by the sun when its declination is 0°.",,,,,,equinox,"A timespan that is a point of intersection of the ecliptic and the celestial equator, occupied by the sun when its declination is 0°.",rdaw:P10214,property,rdac:C10001,rdaw:P10317,,Published,7.5,2,
has year degree granted,rdaw:yearDegreeGranted.en,Relates a work to a timespan during which an academic degree is conferred by a granting institution or faculty.,,,,,,year degree granted,A timespan during which an academic degree is conferred by a granting institution or faculty.,rdaw:P10215,property,rdac:C10001,rdaw:P10219,,Published,7.9.4,2,
has coverage of content,rdaw:coverageOfContent.en,Relates a work to a chronological or geographic coverage of the content of a work.,,,,,,coverage of content,A chronological or geographic coverage of the content of a work.,rdaw:P10216,property,rdac:C10001,,,Published,7.3,6,
has intended audience of representative expression,rdaw:intendedAudienceOfRepresentativeExpression.en,"Relates a work to a category of user for whom a representative expression of a work is intended, or for whom a representative expression of a work is considered suitable.",,intended audience,,,,intended audience of representative expression,"A category of user for whom a representative expression of a work is intended, or for whom a representative expression of a work is considered suitable.",rdaw:P10217,property,rdac:C10001,,,Published,7.7,5,
has place of origin of work,rdaw:placeOfOriginOfWork.en,Relates a work to a place from which a work originated.,,,,,,place of origin of work,A place from which a work originated.,rdaw:P10218,property,rdac:C10001,rdaw:P10316,,Published,6.5,2,
has date of work,rdaw:dateOfWork.en,Relates a work to a timespan that is the earliest associated with a work.,,,,,,date of work,A timespan that is the earliest associated with a work.,rdaw:P10219,property,rdac:C10001,rdaw:P10317,,Published,6.4,3,
has medium of performance of musical content of representative expression,rdaw:mediumOfPerformanceOfMusicalContentOfRepresentativeExpression.en,"Relates a work to an instrument, voice, or ensemble used, or intended to be used, for performance of musical content of a representative expression of a work.",,,,,,medium of performance of musical content of representative expression,"An instrument, voice, or ensemble used, or intended to be used, for performance of musical content of a representative expression of a work.",rdaw:P10220,property,rdac:C10001,,,Published,6.15,5,
has key of representative expression,rdaw:keyOfRepresentativeExpression.en,"Relates a work to a set of pitch relationships that establishes the tonal centre, or principal tonal centre, used, or intended to be used, for performance of musical content of a representative expression.",,,,,,key of representative expression,"A set of pitch relationships that establishes the tonal centre, or principal tonal centre, used, or intended to be used, for performance of musical content of a representative expression of a work.",rdaw:P10221,property,rdac:C10001,,,Published,6.17,5,
has nature of content,rdaw:natureOfContent.en,Relates a work to a specific character of the primary content of a work.,,,,,,nature of content,A specific character of the primary content of a work.,rdaw:P10222,property,rdac:C10001,,,Published,7.2,6,
has preferred title of work,rdaw:preferredTitleOfWork.en,Relates a work to a nomen that is a title of work that is selected for preference in a specific application or context.,,preferred title for work,,,,preferred title of work,A nomen that is a title of work that is selected for preference in a specific application or context.,rdaw:P10223,property,rdac:C10001,rdaw:P10088,rdax:P00021,Published,6.2.2,3,
is absorption of work,rdaw:absorptionOfWork.en,Relates a work to a work whose content is incorporated in the content of another work.,,,,,,absorption of work,A work whose content is incorporated in the content of another work.,rdaw:P10224,property,rdac:C10001,rdaw:P10156,,Published,24.5,2,
is absorption in part of work,rdaw:absorptionInPartOfWork.en,Relates a work to a work whose partial content is incorporated in the content of another work.,,,,,,absorption in part of work,A work whose partial content is incorporated in the content of another work.,rdaw:P10225,property,rdac:C10001,rdaw:P10156,,Published,24.5,2,
is continuation of work,rdaw:continuationOfWork.en,Relates a work to a work that is a diachronic work that is completed whose content is continued by another diachronic work.,This element applies in general to a successive work.,,,,,continuation of work,A work that is a diachronic work that is completed whose content is continued by another diachronic work.,rdaw:P10226,property,rdac:C10001,rdaw:P10156,,Published,24.5,2,
is sequel to (Deprecated),rdaw:sequelTo.en,Relates a work to a work whose narrative is continued by a later work. (Deprecated),,,,,,sequel to (Deprecated),A work whose narrative is continued by a later work. (Deprecated),rdaw:P10227,property,rdac:C10001,rdaw:P10156,,Deprecated,24.5,2,
has accompanying work relationship with (Deprecated),rdaw:accompanyingWorkRelationship.en,"Relates a work to a work that is an augmentation of, or is augmented by, or is complemented by another work. (Deprecated)","Accompanying works include supplements, concordances, indexes, catalogues, teacher’s guides, music for a motion picture, etc. (Deprecated)",,,,,accompanying work relationship (Deprecated),"A work that is an augmentation of, or is augmented by, or is complemented by another work. (Deprecated)",rdaw:P10228,property,rdac:C10001,rdaw:P10198,,Deprecated,24.5,2,
has derivative work relationship with (Deprecated),rdaw:derivativeWorkRelationship.en,Relates a work to a work that is based on or is a derivative of another work. (Deprecated),"Derivative works include summaries, abstracts, digests, adaptations, dramatizations, novelizations, screenplays, free translations, paraphrases, imitations, parodies, etc.",,,,,derivative work relationship (Deprecated),A work that is based on or is a derivative of another work. (Deprecated),rdaw:P10229,property,rdac:C10001,rdaw:P10198,,Deprecated,24.5,,
has descriptive work relationship with (Deprecated),rdaw:descriptiveWorkRelationship.en,Relates a work to a work that is described in or is a description of the work. (Deprecated),"Descriptive works include descriptions, critiques, evaluations, reviews, commentaries, etc.",,,,,descriptive work relationship (Deprecated),A work that is described in or is a description of the work. (Deprecated),rdaw:P10230,property,rdac:C10001,,,Deprecated,,,
has sequential work relationship with (Deprecated),rdaw:sequentialWorkRelationship.en,Relates a work to a work that is preceded by or succeeded by another work. (Deprecated),"Sequential works include sequels, prequels, continuations, superseding works, etc.",,,,,sequential work relationship (Deprecated),A work that is preceded by or succeeded by another work. (Deprecated),rdaw:P10231,property,rdac:C10001,rdaw:P10198,,Deprecated,24.5,,
has whole-part work relationship with (Deprecated),rdaw:wholePartWorkRelationship.en,Relates a work to a work that is contained in or contains a related work. (Deprecated),"Parts of works include discrete components such as subseries, and individual poems, stories, or essays in a collection or anthology.",,,,,whole-part work relationship (Deprecated),A work that is contained in or contains a related work. (Deprecated),rdaw:P10232,property,rdac:C10001,rdaw:P10198,,Deprecated,24.5,2,
is musical theatre adaptation of work,rdaw:musicalTheatreAdaptationOfWork.en,Relates a work to a work that is adapted as a musical theatre work.,,musical theater adaptation of work,,,,musical theatre adaptation of work,A work that is adapted as a musical theatre work.,rdaw:P10233,property,rdac:C10001,rdaw:P10142,,Published,24.5,2,
is opera adaptation of work,rdaw:operaAdaptationOfWork.en,Relates a work to a work that is adapted as an opera.,,,,,,opera adaptation of work,A work that is adapted as opera.,rdaw:P10234,property,rdac:C10001,rdaw:P10142,,Published,24.5,2,
is adapted as musical theatre work,rdaw:adaptedAsMusicalTheatreWork.en,Relates a work to a work that is a musical theatre work based on another work.,,adapted as musical theater work,,,,adapted as musical theatre work,A work that is a musical theatre work based on another work.,rdaw:P10235,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
is adapted as opera work,rdaw:adaptedAsOperaWork.en,Relates a work to a work that is an opera that is based on another work.,,,,,,adapted as opera work,A work that is an opera that is based on another work.,rdaw:P10236,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
has music work,rdaw:musicWork.en,Relates a work to a work that is a musical work that complements a work.,,,,,,music work,A work that is a musical work that complements a work.,rdaw:P10237,property,rdac:C10001,rdaw:P10103,,Published,24.5,2,
is music for work,rdaw:musicForWork.en,Relates a work to a work that is complemented by a musical work.,,,,,,music for work,A work that is complemented by a musical work.,rdaw:P10238,property,rdac:C10001,rdaw:P10103,,Published,24.5,2,
has video music work,rdaw:videoMusicWork.en,Relates a work to a work that is a musical work that complements a work that is a video.,,,,,,video music work,A work that is a musical work that complements a work that is a video.,rdaw:P10239,property,rdac:C10001,rdaw:P10237,,Published,24.5,2,
is music for video work,rdaw:musicForVideoWork.en,Relates a work to a work that is a video that is complemented by a musical work.,,,,,,music for video work,A work that is a video that is complemented by a musical work.,rdaw:P10240,property,rdac:C10001,rdaw:P10238,,Published,24.5,2,
has television program music work,rdaw:televisionProgramMusicWork.en,Relates a work to a work that is a musical work that complements a work that is a television program.,,,,,,television program music work,A work that is a musical work that complements a work that is a television program.,rdaw:P10241,property,rdac:C10001,rdaw:P10237,,Published,24.5,2,
is music for television program work,rdaw:musicForTelevisionProgramWork.en,Relates a work to a work that is a television program that is complemented by a musical work.,,,,,,music for television program work,A work that is a television program that is complemented by a musical work.,rdaw:P10242,property,rdac:C10001,rdaw:P10238,,Published,24.5,2,
has radio program music work,rdaw:radioProgramMusicWork.en,Relates a work to a work that is a musical work that complements a work that is a radio program.,,,,,,radio program music work,A work that is a musical work that complements a work that is a radio program.,rdaw:P10243,property,rdac:C10001,rdaw:P10237,,Published,24.5,2,
is music for radio program work,rdaw:musicForRadioProgramWork.en,Relates a work to a work that is a radio program that is complemented by a musical work.,,,,,,music for radio program work,A work that is a radio program that is complemented by a musical work.,rdaw:P10244,property,rdac:C10001,rdaw:P10238,,Published,24.5,2,
is music for motion picture work,rdaw:musicForMotionPictureWork.en,Relates a work to a work that is a motion picture that is complemented by a musical work.,,,,,,music for motion picture work,A work that is a motion picture that is complemented by a musical work.,rdaw:P10245,property,rdac:C10001,rdaw:P10238,,Published,24.5,2,
has motion picture music work,rdaw:motionPictureMusicWork.en,Relates a work to A work that is a musical work that complements a work that is a motion picture.,,,,,,motion picture music work,A work that is a musical work that complements a work that is a motion picture.,rdaw:P10246,property,rdac:C10001,rdaw:P10237,,Published,24.5,2,
has choreography work,rdaw:choreographyWork.en,Relates a work to a work that is a choreographic work that complements a work.,,,,,,choreography work,A work that is a choreographic work that complements a work.,rdaw:P10247,property,rdac:C10001,rdaw:P10103,,Published,24.5,2,
is choreography for work,rdaw:choreographyForWork.en,Relates a work to a work that is complemented by a choreographic work.,,,,,,choreography for work,A work that is complemented by a choreographic work.,rdaw:P10248,property,rdac:C10001,rdaw:P10103,,Published,24.5,2,
is adapted as video game work,rdaw:adaptedAsVideoGameWork.en,Relates a work to a work that is a video game that is based on another work.,,,,,,adapted as video game work,A work that is a video game that is based on another work.,rdaw:P10249,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
is video game adaptation of work,rdaw:videoGameAdaptationOfWork.en,Relates a work to a work that is adapted as a video game.,,,,,,video game adaptation of work,A work that is adapted as a video game.,rdaw:P10250,property,rdac:C10001,rdaw:P10142,,Published,24.5,2,
is adapted as graphic novel work,rdaw:adaptedAsGraphicNovelWork.en,Relates a work to a work that is a graphic novel based on another work.,,,,,,adapted as graphic novel work,A work that is a graphic novel based on another work.,rdaw:P10251,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
is graphic novelization of work,rdaw:graphicNovelizationOfWork.en,Relates a work to a work that is adapted as a graphic novel.,,,,,,graphic novelization of work,A work that is adapted as a graphic novel.,rdaw:P10252,property,rdac:C10001,rdaw:P10142,,Published,24.5,2,
has calligrapher agent,rdaw:calligrapherAgent.en,"Relates a work to an agent who is an artist who is responsible for calligraphy where the focus of interest lies in the aesthetic value of the penmanship or graphic artistry, regardless of whether the same agent is also responsible for the inscribed text.",,calligrapher,,,,calligrapher agent,"An agent who is an artist who is responsible for calligraphy where the focus of interest lies in the aesthetic value of the penmanship or graphic artistry, regardless of whether the same agent is also responsible for the inscribed text.",rdaw:P10253,property,rdac:C10001,rdaw:P10058,,Published,18.5,2,
has book artist agent,rdaw:bookArtistAgent.en,Relates a work to an agent who is an artist who is responsible for exploiting the book form or altering its physical structure.,,book artist,,,,book artist agent,An agent who is an artist who is responsible for exploiting the book form or altering its physical structure.,rdaw:P10254,property,rdac:C10001,rdaw:P10058,,Published,18.5,2,
has rapporteur agent,rdaw:rapporteurAgent.en,Relates a work to an agent who is an author who is appointed by an organization to report on the proceedings of its meetings.,Responsibility limited to taking minutes is excluded.,rapporteur,,,,rapporteur agent,An agent who is an author who is appointed by an organization to report on the proceedings of its meetings.,rdaw:P10255,property,rdac:C10001,rdaw:P10061,,Published,18.5,2,rdae:P20058
has subject,rdaw:subject.en,Relates a work to a topic that a work is about.,,subject relationship,,,,subject,A topic that a work is about.,rdaw:P10256,property,rdac:C10001,rdaw:P10405,,Published,23.5,5,
has subject work,rdaw:subjectWork.en,Relates a work to a work that a work is about.,,,,,,subject work,A work that a work is about.,rdaw:P10257,property,rdac:C10001,rdaw:P10198,rdaw:P10324,Published,,2,
has subject expression,rdaw:subjectExpression.en,Relates a work to an expression that a work is about.,,,,,,subject expression,An expression that a work is about.,rdaw:P10258,property,rdac:C10001,rdaw:P10308,rdaw:P10324,Published,,2,
has subject manifestation,rdaw:subjectManifestation.en,Relates a work to a manifestation that a work is about.,,,,,,subject manifestation,A manifestation that a work is about.,rdaw:P10259,property,rdac:C10001,rdaw:P10309,rdaw:P10324,Published,,2,
has subject item,rdaw:subjectItem.en,Relates a work to an item that a work is about.,,,,,,subject item,An item that a work is about.,rdaw:P10260,property,rdac:C10001,rdaw:P10310,rdaw:P10324,Published,,2,
has subject person,rdaw:subjectPerson.en,Relates a work to a person whom a work is about.,,,,,,subject person,A person whom a work is about.,rdaw:P10261,property,rdac:C10001,rdaw:P10312,rdaw:P10319,Published,,2,
has subject family,rdaw:subjectFamily.en,Relates a work to a family whom a work is about.,,,,,,subject family,A family whom a work is about.,rdaw:P10262,property,rdac:C10001,rdaw:P10313,rdaw:P10320,Published,,2,
